"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-123.706367,48.165287,"gbif1",-123.706367,48.165287,NA,NA,NA,NA,NA,NA
"2",-121.680757,36.144058,"gbif10",-121.680757,36.144058,NA,NA,NA,NA,NA,NA
"3",-124.723096869791,47.9177473138199,"gbif100",-124.663117,47.955172,-124.685157391336,47.9483486277933,-124.723096869791,47.9177473138199,6.11554113324202,4.42877675243733
"4",-123.704367,48.165771,"gbif1000",-123.704367,48.165771,NA,NA,NA,NA,NA,NA
"5",-122.456010372291,47.7176732123009,"gbif1001",-122.401803,47.698158,-122.397488031369,47.6983044922835,-122.456010372291,47.7176732123009,4.61051165606704,4.89140109600204
"6",-117.921837377292,33.5791033716191,"gbif1002",-117.874402,33.593113,-117.874836128715,33.5928521075678,-117.921837377292,33.5791033716191,4.66956828202473,4.62196249767388
"7",-125.205236,49.966728,"gbif1003",-125.205236,49.966728,NA,NA,NA,NA,NA,NA
"8",-123.379143,48.412872,"gbif1004",-123.379143,48.412872,NA,NA,NA,NA,NA,NA
"9",-118.317117,33.714012,"gbif1005",-118.317117,33.714012,NA,NA,NA,NA,NA,NA
"10",-122.522689386924,37.4472026676547,"gbif1006",-122.497113,37.495349,-122.508336157318,37.4900021112325,-122.522689386924,37.4472026676547,5.80285725278523,4.91696541382657
"11",-124.169821426247,44.1832383417741,"gbif1007",-124.117245,44.182121,-124.169821426247,44.1832383417741,-124.169821426247,44.1832383417741,4.20582232357574,0
"12",-123.722911650306,49.1848832901075,"gbif1008",-123.818455,49.134184,-123.747245759845,49.1608311211682,-123.722911650306,49.1848832901075,8.96409372005333,3.20994932431538
"13",-122.438306371968,37.2628588837901,"gbif1009",-122.413688,37.264192,-122.438306371968,37.2628588837901,-122.438306371968,37.2628588837901,2.18874271300934,0
"14",-122.456010372291,47.5842904779548,"gbif101",-122.400305,47.584422,-122.390816688355,47.5845915245971,-122.456010372291,47.5842904779548,4.1903313578727,4.90414807685473
"15",-118.316513,33.714262,"gbif1010",-118.316513,33.714262,NA,NA,NA,NA,NA,NA
"16",-118.316475,33.714262,"gbif1011",-118.316475,33.714262,NA,NA,NA,NA,NA,NA
"17",-118.317092,33.713963,"gbif1012",-118.317092,33.713963,NA,NA,NA,NA,NA,NA
"18",-123.100592154504,38.3648216749857,"gbif1013",-123.079069,38.374514,-123.100592154504,38.3648216749857,-123.100592154504,38.3648216749857,2.16686859243238,0
"19",-118.316712,33.714175,"gbif1014",-118.316712,33.714175,NA,NA,NA,NA,NA,NA
"20",-118.316545,33.714267,"gbif1015",-118.316545,33.714267,NA,NA,NA,NA,NA,NA
"21",-117.321726245601,32.9121896998889,"gbif1016",-117.253337,32.871148,-117.27989381065,32.879182390928,-117.321726245601,32.9121896998889,7.85266874761841,5.35902382736362
"22",-122.614538,48.58107,"gbif1017",-122.614538,48.58107,NA,NA,NA,NA,NA,NA
