"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-158.065954,21.648656,-158.085732935498,21.6639473129665,-158.129283200593,21.6413486476473,6.60540341645976,5.15585413150902,-158.129283200593,21.6413486476473
"2","gbif10",34.792457,25.342175,34.8081218656324,25.3509977570951,34.8081218656324,25.3509977570951,1.85522525401335,0,34.8081218656324,25.3509977570951
"3","gbif100",55.23527,-21.10488,NA,NA,NA,NA,NA,NA,55.23527,-21.10488
"4","gbif1000",-162.39873,6.38217,NA,NA,NA,NA,NA,NA,-162.39873,6.38217
"5","gbif1001",-162.3462,6.38198,NA,NA,NA,NA,NA,NA,-162.3462,6.38198
"6","gbif1002",-162.3421,6.3924,NA,NA,NA,NA,NA,NA,-162.3421,6.3924
"7","gbif1003",-162.37753,6.38582,NA,NA,NA,NA,NA,NA,-162.37753,6.38582
"8","gbif1004",-162.06893,5.86778,NA,NA,NA,NA,NA,NA,-162.06893,5.86778
"9","gbif1005",-162.3843,6.38223,NA,NA,NA,NA,NA,NA,-162.3843,6.38223
"10","gbif1006",-162.42845,6.38337,NA,NA,NA,NA,NA,NA,-162.42845,6.38337
"11","gbif1007",-162.3462,6.38198,NA,NA,NA,NA,NA,NA,-162.3462,6.38198
"12","gbif1008",-162.38545,6.40215,NA,NA,NA,NA,NA,NA,-162.38545,6.40215
"13","gbif1009",-162.39873,6.38217,NA,NA,NA,NA,NA,NA,-162.39873,6.38217
"14","gbif101",55.34153,-20.92147,NA,NA,NA,NA,NA,NA,55.34153,-20.92147
"15","gbif1010",-162.1269,5.86397,NA,NA,NA,NA,NA,NA,-162.1269,5.86397
"16","gbif1011",-162.37047,6.42075,NA,NA,NA,NA,NA,NA,-162.37047,6.42075
"17","gbif1012",-162.04858,5.86593,NA,NA,NA,NA,NA,NA,-162.04858,5.86593
"18","gbif1013",-162.04858,5.86593,NA,NA,NA,NA,NA,NA,-162.04858,5.86593
"19","gbif1014",-177.386167,28.2693,NA,NA,NA,NA,NA,NA,-177.386167,28.2693
"20","gbif1015",-178.328283,28.45365,NA,NA,NA,NA,NA,NA,-178.328283,28.45365
"21","gbif1016",-178.366167,28.43205,NA,NA,NA,NA,NA,NA,-178.366167,28.43205
"22","gbif1017",-162.3421,6.3924,NA,NA,NA,NA,NA,NA,-162.3421,6.3924
"23","gbif1018",-162.37753,6.38582,NA,NA,NA,NA,NA,NA,-162.37753,6.38582
"24","gbif1019",-162.03178,5.86379,NA,NA,NA,NA,NA,NA,-162.03178,5.86379
"25","gbif102",55.28503,-21.1654,55.2999914178883,-21.160425422,55.2435636228932,-21.1745090774361,4.42289870134071,6.06415742999476,55.2435636228932,-21.1745090774361
