"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",174.571223,-37.010187,174.525001174019,-37.0280212338221,174.525001174019,-37.0280212338221,4.56465861018002,0,174.525001174019,-37.0280212338221
"2","gbif10",173.977332,-39.097604,NA,NA,NA,NA,NA,NA,173.977332,-39.097604
"3","gbif100",173.7089,-42.4285,173.73217262456,-42.4610716681854,173.73217262456,-42.5157465728047,9.87881301681258,6.07349914639432,173.73217262456,-42.5157465728047
"4","gbif101",173.7098,-42.4302,173.73217262456,-42.4610716681854,173.73217262456,-42.5157465728047,9.67927411148967,6.07349914639432,173.73217262456,-42.5157465728047
"5","gbif102",173.7089,-42.4285,173.73217262456,-42.4610716681854,173.73217262456,-42.5157465728047,9.87881301681258,6.07349914639432,173.73217262456,-42.5157465728047
"6","gbif103",173.7089,-42.4285,173.73217262456,-42.4610716681854,173.73217262456,-42.5157465728047,9.87881301681258,6.07349914639432,173.73217262456,-42.5157465728047
"7","gbif104",173.7115,-42.4307,173.73217262456,-42.4610716681854,173.73217262456,-42.5157465728047,9.59900823083278,6.07349914639432,173.73217262456,-42.5157465728047
"8","gbif105",173.7098,-42.4302,173.73217262456,-42.4610716681854,173.73217262456,-42.5157465728047,9.67927411148967,6.07349914639432,173.73217262456,-42.5157465728047
"9","gbif106",170.62924,-45.8299,170.77329135025,-45.7836235642831,170.77329135025,-45.7836235642831,12.3222958454712,0,170.77329135025,-45.7836235642831
"10","gbif107",170.62924,-45.8299,170.77329135025,-45.7836235642831,170.77329135025,-45.7836235642831,12.3222958454712,0,170.77329135025,-45.7836235642831
"11","gbif108",170.63932,-45.82436,170.77329135025,-45.7836235642831,170.77329135025,-45.7836235642831,11.3561028933045,0,170.77329135025,-45.7836235642831
"12","gbif109",168.12667,-46.87667,168.235440704802,-46.8321603123537,168.235440704802,-46.8321603123537,9.65878286344366,0,168.235440704802,-46.8321603123537
"13","gbif11",174.691975,-36.57388,174.859149772786,-36.5920548789526,174.859149772786,-36.5920548789526,15.0967024231199,0,174.859149772786,-36.5920548789526
"14","gbif110",168.12333,-46.8625,168.225484387898,-46.8207301902468,168.264493424708,-46.8506854390515,10.8448241853281,4.46606042300236,168.264493424708,-46.8506854390515
"15","gbif111",168.13583,-46.90667,168.261241292747,-46.8934561338406,168.264493424708,-46.8506854390515,11.6157993397013,4.7612535445632,168.264493424708,-46.8506854390515
"16","gbif112",168.12667,-46.87667,168.235440704802,-46.8321603123537,168.235440704802,-46.8321603123537,9.65878286344366,0,168.235440704802,-46.8321603123537
