"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-128.350006,51.983334,NA,NA,NA,NA,NA,NA,-128.350006,51.983334
"2","gbif10",-126.143333,48.408333,NA,NA,NA,NA,NA,NA,-126.143333,48.408333
"3","gbif100",-128.495916,51.502,NA,NA,NA,NA,NA,NA,-128.495916,51.502
"4","gbif1000",-175.5,59.56,NA,NA,NA,NA,NA,NA,-175.5,59.56
"5","gbif1001",-177.5,59.56,NA,NA,NA,NA,NA,NA,-177.5,59.56
"6","gbif1002",-175.16,59.37,NA,NA,NA,NA,NA,NA,-175.16,59.37
"7","gbif1003",-178.16,59.37,NA,NA,NA,NA,NA,NA,-178.16,59.37
"8","gbif1004",-176.5,59.37,NA,NA,NA,NA,NA,NA,-176.5,59.37
"9","gbif1005",-176.5,59.18,NA,NA,NA,NA,NA,NA,-176.5,59.18
"10","gbif1006",-171.5,58.8,NA,NA,NA,NA,NA,NA,-171.5,58.8
"11","gbif1007",-173.16,58.43,NA,NA,NA,NA,NA,NA,-173.16,58.43
"12","gbif1008",-175.16,58.43,NA,NA,NA,NA,NA,NA,-175.16,58.43
"13","gbif1009",-170.5,56.98,NA,NA,NA,NA,NA,NA,-170.5,56.98
"14","gbif101",-129.501566,51.2181,NA,NA,NA,NA,NA,NA,-129.501566,51.2181
"15","gbif1010",-170.83,56.98,NA,NA,NA,NA,NA,NA,-170.83,56.98
"16","gbif1011",-171.5,56.63,NA,NA,NA,NA,NA,NA,-171.5,56.63
"17","gbif1012",-172.5,56.63,NA,NA,NA,NA,NA,NA,-172.5,56.63
"18","gbif1013",-164.83,56.28,NA,NA,NA,NA,NA,NA,-164.83,56.28
"19","gbif1014",-168.5,56.28,NA,NA,NA,NA,NA,NA,-168.5,56.28
"20","gbif1015",-169.16,56.28,NA,NA,NA,NA,NA,NA,-169.16,56.28
"21","gbif1016",-169.83,56.11,NA,NA,NA,NA,NA,NA,-169.83,56.11
"22","gbif1017",-166.16,54.91,NA,NA,NA,NA,NA,NA,-166.16,54.91
"23","gbif1018",-160.16,54.24,NA,NA,NA,NA,NA,NA,-160.16,54.24
"24","gbif1019",-175.16,59.37,NA,NA,NA,NA,NA,NA,-175.16,59.37
"25","gbif102",-124.915633,48.640833,NA,NA,NA,NA,NA,NA,-124.915633,48.640833
"26","gbif1020",-175.83,59.37,NA,NA,NA,NA,NA,NA,-175.83,59.37
"27","gbif1021",-174.83,59.18,NA,NA,NA,NA,NA,NA,-174.83,59.18
"28","gbif1022",-176.16,58.8,NA,NA,NA,NA,NA,NA,-176.16,58.8
"29","gbif1023",-174.16,58.61,NA,NA,NA,NA,NA,NA,-174.16,58.61
"30","gbif1024",-172.5,58.43,NA,NA,NA,NA,NA,NA,-172.5,58.43
"31","gbif1025",-173.16,58.06,NA,NA,NA,NA,NA,NA,-173.16,58.06
"32","gbif1026",-172.83,57.88,NA,NA,NA,NA,NA,NA,-172.83,57.88
"33","gbif1027",-172.83,56.98,NA,NA,NA,NA,NA,NA,-172.83,56.98
"34","gbif1028",-172.83,56.81,NA,NA,NA,NA,NA,NA,-172.83,56.81
"35","gbif1029",-163.16,56.63,NA,NA,NA,NA,NA,NA,-163.16,56.63
"36","gbif103",-124.915633,48.640833,NA,NA,NA,NA,NA,NA,-124.915633,48.640833
"37","gbif1030",-170.5,56.63,NA,NA,NA,NA,NA,NA,-170.5,56.63
"38","gbif1031",-166.83,56.28,NA,NA,NA,NA,NA,NA,-166.83,56.28
"39","gbif1032",-164.16,56.11,NA,NA,NA,NA,NA,NA,-164.16,56.11
"40","gbif1033",-164.160004,55.419998,NA,NA,NA,NA,NA,NA,-164.160004,55.419998
"41","gbif1034",-165.160004,54.740002,NA,NA,NA,NA,NA,NA,-165.160004,54.740002
"42","gbif1035",-164.16,59.37,NA,NA,NA,NA,NA,NA,-164.16,59.37
"43","gbif1036",-170.83,58.25,NA,NA,NA,NA,NA,NA,-170.83,58.25
"44","gbif1037",-167.83,58.06,NA,NA,NA,NA,NA,NA,-167.83,58.06
"45","gbif1038",-171.160004,57.52,NA,NA,NA,NA,NA,NA,-171.160004,57.52
"46","gbif1039",-170.83,57.16,NA,NA,NA,NA,NA,NA,-170.83,57.16
"47","gbif104",-166.83,57.7,NA,NA,NA,NA,NA,NA,-166.83,57.7
"48","gbif1040",-171.5,57.16,NA,NA,NA,NA,NA,NA,-171.5,57.16
"49","gbif1041",-167.160004,56.98,NA,NA,NA,NA,NA,NA,-167.160004,56.98
"50","gbif1042",-167.83,56.98,NA,NA,NA,NA,NA,NA,-167.83,56.98
"51","gbif1043",-167.83,56.81,NA,NA,NA,NA,NA,NA,-167.83,56.81
"52","gbif1044",-167.16,56.63,NA,NA,NA,NA,NA,NA,-167.16,56.63
"53","gbif1045",-163.5,55.93,NA,NA,NA,NA,NA,NA,-163.5,55.93
"54","gbif1046",-164.16,55.59,NA,NA,NA,NA,NA,NA,-164.16,55.59
"55","gbif1047",-174.16,51.99,NA,NA,NA,NA,NA,NA,-174.16,51.99
"56","gbif1048",-172.16,60.33,NA,NA,NA,NA,NA,NA,-172.16,60.33
"57","gbif1049",-172.830002,59.560001,NA,NA,NA,NA,NA,NA,-172.830002,59.560001
"58","gbif105",-166.16,57.34,NA,NA,NA,NA,NA,NA,-166.16,57.34
"59","gbif1050",-174.5,59.37,NA,NA,NA,NA,NA,NA,-174.5,59.37
"60","gbif1051",-176.5,59.37,NA,NA,NA,NA,NA,NA,-176.5,59.37
"61","gbif1052",-172.83,58.99,NA,NA,NA,NA,NA,NA,-172.83,58.99
"62","gbif1053",-173.83,58.61,NA,NA,NA,NA,NA,NA,-173.83,58.61
"63","gbif1054",-170.83,57.34,NA,NA,NA,NA,NA,NA,-170.83,57.34
"64","gbif1055",-173.16,57.34,NA,NA,NA,NA,NA,NA,-173.16,57.34
"65","gbif1056",-166.5,56.63,NA,NA,NA,NA,NA,NA,-166.5,56.63
"66","gbif1057",-165.83,56.28,NA,NA,NA,NA,NA,NA,-165.83,56.28
"67","gbif1058",-170.16,56.28,NA,NA,NA,NA,NA,NA,-170.16,56.28
"68","gbif1059",-165.5,56.11,NA,NA,NA,NA,NA,NA,-165.5,56.11
"69","gbif106",-166.5,57.34,NA,NA,NA,NA,NA,NA,-166.5,57.34
"70","gbif1060",-169.5,56.11,NA,NA,NA,NA,NA,NA,-169.5,56.11
"71","gbif1061",-168.5,55.93,NA,NA,NA,NA,NA,NA,-168.5,55.93
"72","gbif1062",-165.16,55.08,NA,NA,NA,NA,NA,NA,-165.16,55.08
"73","gbif1063",-176.16,60.13,NA,NA,NA,NA,NA,NA,-176.16,60.13
"74","gbif1064",-176.5,59.75,NA,NA,NA,NA,NA,NA,-176.5,59.75
"75","gbif1065",-173.5,59.560001,NA,NA,NA,NA,NA,NA,-173.5,59.560001
"76","gbif1066",-173.16,59.18,NA,NA,NA,NA,NA,NA,-173.16,59.18
"77","gbif1067",-174.5,58.43,NA,NA,NA,NA,NA,NA,-174.5,58.43
"78","gbif1068",-172.16,58.06,NA,NA,NA,NA,NA,NA,-172.16,58.06
"79","gbif1069",-170.83,57.16,NA,NA,NA,NA,NA,NA,-170.83,57.16
"80","gbif107",-173.83,59.94,NA,NA,NA,NA,NA,NA,-173.83,59.94
"81","gbif1070",-170.5,56.81,NA,NA,NA,NA,NA,NA,-170.5,56.81
"82","gbif1071",-168.5,56.63,NA,NA,NA,NA,NA,NA,-168.5,56.63
"83","gbif1072",-169.83,56.63,NA,NA,NA,NA,NA,NA,-169.83,56.63
"84","gbif1073",-167.5,57.34,NA,NA,NA,NA,NA,NA,-167.5,57.34
"85","gbif1074",-170.16,56.63,NA,NA,NA,NA,NA,NA,-170.16,56.63
"86","gbif1075",-164.5,56.11,NA,NA,NA,NA,NA,NA,-164.5,56.11
"87","gbif1076",-162.5,55.93,NA,NA,NA,NA,NA,NA,-162.5,55.93
"88","gbif1077",-163.83,55.42,NA,NA,NA,NA,NA,NA,-163.83,55.42
"89","gbif1078",-164.83,54.74,NA,NA,NA,NA,NA,NA,-164.83,54.74
"90","gbif1079",-173.830002,52.299999,NA,NA,NA,NA,NA,NA,-173.830002,52.299999
"91","gbif108",-174.16,59.75,NA,NA,NA,NA,NA,NA,-174.16,59.75
"92","gbif1080",-173.830002,60.130001,NA,NA,NA,NA,NA,NA,-173.830002,60.130001
"93","gbif1081",-172.83,59.18,NA,NA,NA,NA,NA,NA,-172.83,59.18
"94","gbif1082",-175.5,59.18,NA,NA,NA,NA,NA,NA,-175.5,59.18
"95","gbif1083",-173.5,57.34,NA,NA,NA,NA,NA,NA,-173.5,57.34
"96","gbif1084",-163.5,55.93,NA,NA,NA,NA,NA,NA,-163.5,55.93
"97","gbif1085",-164.5,55.08,NA,NA,NA,NA,NA,NA,-164.5,55.08
"98","gbif1086",172.83,53.1,NA,NA,NA,NA,NA,NA,172.83,53.1
"99","gbif1087",-176.5,59.75,NA,NA,NA,NA,NA,NA,-176.5,59.75
"100","gbif1088",-172.83,58.99,NA,NA,NA,NA,NA,NA,-172.83,58.99
"101","gbif1089",-173.83,58.99,NA,NA,NA,NA,NA,NA,-173.83,58.99
"102","gbif109",-178.5,59.560001,NA,NA,NA,NA,NA,NA,-178.5,59.560001
"103","gbif1090",-171.830002,56.810001,NA,NA,NA,NA,NA,NA,-171.830002,56.810001
"104","gbif1091",-166.16,54.74,NA,NA,NA,NA,NA,NA,-166.16,54.74
"105","gbif1092",-164.16,55.25,NA,NA,NA,NA,NA,NA,-164.16,55.25
"106","gbif1093",-166.16,57.34,NA,NA,NA,NA,NA,NA,-166.16,57.34
"107","gbif1094",-168.5,56.63,NA,NA,NA,NA,NA,NA,-168.5,56.63
"108","gbif1095",-164.16,56.28,NA,NA,NA,NA,NA,NA,-164.16,56.28
"109","gbif1096",-167.83,55.93,NA,NA,NA,NA,NA,NA,-167.83,55.93
"110","gbif1097",-174.16,60.33,NA,NA,NA,NA,NA,NA,-174.16,60.33
"111","gbif1098",-178.160004,60.330002,NA,NA,NA,NA,NA,NA,-178.160004,60.330002
"112","gbif1099",-173.5,60.33,NA,NA,NA,NA,NA,NA,-173.5,60.33
"113","gbif11",-126.095001,48.403332,NA,NA,NA,NA,NA,NA,-126.095001,48.403332
"114","gbif110",-177.16,59.37,NA,NA,NA,NA,NA,NA,-177.16,59.37
"115","gbif1100",-175.83,59.75,NA,NA,NA,NA,NA,NA,-175.83,59.75
"116","gbif1101",-173.5,59.75,NA,NA,NA,NA,NA,NA,-173.5,59.75
"117","gbif1102",-172.83,59.37,NA,NA,NA,NA,NA,NA,-172.83,59.37
"118","gbif1103",-175.83,59.37,NA,NA,NA,NA,NA,NA,-175.83,59.37
"119","gbif1104",-171.16,58.99,NA,NA,NA,NA,NA,NA,-171.16,58.99
"120","gbif1105",-175.83,58.99,NA,NA,NA,NA,NA,NA,-175.83,58.99
"121","gbif1106",-176.16,58.99,NA,NA,NA,NA,NA,NA,-176.16,58.99
"122","gbif1107",-174.5,58.99,NA,NA,NA,NA,NA,NA,-174.5,58.99
"123","gbif1108",-173.83,58.8,NA,NA,NA,NA,NA,NA,-173.83,58.8
"124","gbif1109",-176.83,58.61,NA,NA,NA,NA,NA,NA,-176.83,58.61
"125","gbif111",-173.16,59.18,NA,NA,NA,NA,NA,NA,-173.16,59.18
"126","gbif1110",-171.16,58.06,NA,NA,NA,NA,NA,NA,-171.16,58.06
"127","gbif1111",-172.83,58.06,NA,NA,NA,NA,NA,NA,-172.83,58.06
"128","gbif1112",-172.16,57.7,NA,NA,NA,NA,NA,NA,-172.16,57.7
"129","gbif1113",-167.5,56.810001,NA,NA,NA,NA,NA,NA,-167.5,56.810001
"130","gbif1114",-169.83,56.63,NA,NA,NA,NA,NA,NA,-169.83,56.63
"131","gbif1115",-170.16,56.63,NA,NA,NA,NA,NA,NA,-170.16,56.63
"132","gbif1116",-170.830002,56.630001,NA,NA,NA,NA,NA,NA,-170.830002,56.630001
"133","gbif1117",-163.16,56.45,NA,NA,NA,NA,NA,NA,-163.16,56.45
"134","gbif1118",-163.5,56.450001,NA,NA,NA,NA,NA,NA,-163.5,56.450001
"135","gbif1119",-166.16,56.45,NA,NA,NA,NA,NA,NA,-166.16,56.45
"136","gbif112",-175.16,59.18,NA,NA,NA,NA,NA,NA,-175.16,59.18
"137","gbif1120",-170.83,56.11,NA,NA,NA,NA,NA,NA,-170.83,56.11
"138","gbif1121",-163.5,55.93,NA,NA,NA,NA,NA,NA,-163.5,55.93
"139","gbif1122",-163.5,55.76,NA,NA,NA,NA,NA,NA,-163.5,55.76
"140","gbif1123",-165.16,55.42,NA,NA,NA,NA,NA,NA,-165.16,55.42
"141","gbif1124",-168.16,55.42,NA,NA,NA,NA,NA,NA,-168.16,55.42
"142","gbif1125",-168.16,55.25,NA,NA,NA,NA,NA,NA,-168.16,55.25
"143","gbif1126",-164.83,55.08,NA,NA,NA,NA,NA,NA,-164.83,55.08
"144","gbif1127",-164.83,54.74,NA,NA,NA,NA,NA,NA,-164.83,54.74
"145","gbif1128",-166.16,53.59,NA,NA,NA,NA,NA,NA,-166.16,53.59
"146","gbif1129",-175.16,59.56,NA,NA,NA,NA,NA,NA,-175.16,59.56
"147","gbif113",-177.83,59.18,NA,NA,NA,NA,NA,NA,-177.83,59.18
"148","gbif1130",-175.5,59.56,NA,NA,NA,NA,NA,NA,-175.5,59.56
"149","gbif1131",-174.5,59.18,NA,NA,NA,NA,NA,NA,-174.5,59.18
"150","gbif1132",-176.83,58.99,NA,NA,NA,NA,NA,NA,-176.83,58.99
"151","gbif1133",-174.83,58.8,NA,NA,NA,NA,NA,NA,-174.83,58.8
"152","gbif1134",-174.5,58.61,NA,NA,NA,NA,NA,NA,-174.5,58.61
"153","gbif1135",-165.5,56.45,NA,NA,NA,NA,NA,NA,-165.5,56.45
"154","gbif1136",-167.16,56.45,NA,NA,NA,NA,NA,NA,-167.16,56.45
"155","gbif1137",-165.83,56.28,NA,NA,NA,NA,NA,NA,-165.83,56.28
"156","gbif1138",-170.16,56.28,NA,NA,NA,NA,NA,NA,-170.16,56.28
"157","gbif1139",-165.83,56.11,NA,NA,NA,NA,NA,NA,-165.83,56.11
"158","gbif114",-175.5,59.18,NA,NA,NA,NA,NA,NA,-175.5,59.18
"159","gbif1140",-164.5,55.59,NA,NA,NA,NA,NA,NA,-164.5,55.59
"160","gbif1141",-165.160004,55.59,NA,NA,NA,NA,NA,NA,-165.160004,55.59
"161","gbif1142",-167.83,55.42,NA,NA,NA,NA,NA,NA,-167.83,55.42
"162","gbif1143",-165.5,55.08,NA,NA,NA,NA,NA,NA,-165.5,55.08
"163","gbif1144",-171.5,58.8,NA,NA,NA,NA,NA,NA,-171.5,58.8
"164","gbif1145",-165.5,57.7,NA,NA,NA,NA,NA,NA,-165.5,57.7
"165","gbif1146",-165.5,57.16,NA,NA,NA,NA,NA,NA,-165.5,57.16
"166","gbif1147",-166.83,56.81,NA,NA,NA,NA,NA,NA,-166.83,56.81
"167","gbif1148",-167.5,56.81,NA,NA,NA,NA,NA,NA,-167.5,56.81
"168","gbif1149",-166.83,56.28,NA,NA,NA,NA,NA,NA,-166.83,56.28
"169","gbif115",-173.5,58.99,NA,NA,NA,NA,NA,NA,-173.5,58.99
"170","gbif1150",-165.83,56.11,NA,NA,NA,NA,NA,NA,-165.83,56.11
"171","gbif1151",-165.160004,55.759998,NA,NA,NA,NA,NA,NA,-165.160004,55.759998
"172","gbif1152",-164.5,54.74,-164.663171835677,54.7532922905356,-164.663826634562,54.7869581326417,11.7699841692219,3.74792273912224,-164.663826634562,54.7869581326417
"173","gbif1153",-173.83,60.13,NA,NA,NA,NA,NA,NA,-173.83,60.13
"174","gbif1154",-172.5,60.13,NA,NA,NA,NA,NA,NA,-172.5,60.13
"175","gbif1155",-172.5,59.56,NA,NA,NA,NA,NA,NA,-172.5,59.56
"176","gbif1156",-177.83,58.99,NA,NA,NA,NA,NA,NA,-177.83,58.99
"177","gbif1157",-176.16,58.61,NA,NA,NA,NA,NA,NA,-176.16,58.61
"178","gbif1158",-170.83,57.52,NA,NA,NA,NA,NA,NA,-170.83,57.52
"179","gbif1159",-171.16,57.34,NA,NA,NA,NA,NA,NA,-171.16,57.34
"180","gbif116",-174.830002,58.799999,NA,NA,NA,NA,NA,NA,-174.830002,58.799999
"181","gbif1160",-171.83,57.34,NA,NA,NA,NA,NA,NA,-171.83,57.34
"182","gbif1161",-172.16,57.16,NA,NA,NA,NA,NA,NA,-172.16,57.16
"183","gbif1162",-169.16,56.81,NA,NA,NA,NA,NA,NA,-169.16,56.81
"184","gbif1163",-164.5,56.279999,NA,NA,NA,NA,NA,NA,-164.5,56.279999
"185","gbif1164",-163.5,56.11,NA,NA,NA,NA,NA,NA,-163.5,56.11
"186","gbif1165",-170.16,56.11,NA,NA,NA,NA,NA,NA,-170.16,56.11
"187","gbif1166",-170.83,56.11,NA,NA,NA,NA,NA,NA,-170.83,56.11
"188","gbif1167",-168.16,55.76,NA,NA,NA,NA,NA,NA,-168.16,55.76
"189","gbif1168",-164.16,55.42,NA,NA,NA,NA,NA,NA,-164.16,55.42
"190","gbif1169",-165.5,55.08,NA,NA,NA,NA,NA,NA,-165.5,55.08
"191","gbif117",-177.5,58.799999,NA,NA,NA,NA,NA,NA,-177.5,58.799999
"192","gbif1170",-164.16,53.91,NA,NA,NA,NA,NA,NA,-164.16,53.91
"193","gbif1171",-175.5,59.75,NA,NA,NA,NA,NA,NA,-175.5,59.75
"194","gbif1172",-176.16,59.37,NA,NA,NA,NA,NA,NA,-176.16,59.37
"195","gbif1173",-173.83,58.8,NA,NA,NA,NA,NA,NA,-173.83,58.8
"196","gbif1174",-173.16,58.25,NA,NA,NA,NA,NA,NA,-173.16,58.25
"197","gbif1175",-172.5,57.52,NA,NA,NA,NA,NA,NA,-172.5,57.52
"198","gbif1176",-171.16,56.45,NA,NA,NA,NA,NA,NA,-171.16,56.45
"199","gbif1177",-163.830002,56.110001,NA,NA,NA,NA,NA,NA,-163.830002,56.110001
"200","gbif1178",-177.83,59.94,NA,NA,NA,NA,NA,NA,-177.83,59.94
"201","gbif1179",-175.16,58.99,NA,NA,NA,NA,NA,NA,-175.16,58.99
"202","gbif118",-173.5,58.610001,NA,NA,NA,NA,NA,NA,-173.5,58.610001
"203","gbif1180",-166.5,58.25,NA,NA,NA,NA,NA,NA,-166.5,58.25
"204","gbif1181",-166.83,58.25,NA,NA,NA,NA,NA,NA,-166.83,58.25
"205","gbif1182",-166.830002,57.880001,NA,NA,NA,NA,NA,NA,-166.830002,57.880001
"206","gbif1183",-167.5,57.88,NA,NA,NA,NA,NA,NA,-167.5,57.88
"207","gbif1184",-165.83,57.16,NA,NA,NA,NA,NA,NA,-165.83,57.16
"208","gbif1185",-166.5,57.16,NA,NA,NA,NA,NA,NA,-166.5,57.16
"209","gbif1186",-164.83,56.28,NA,NA,NA,NA,NA,NA,-164.83,56.28
"210","gbif1187",-177.16,59.94,NA,NA,NA,NA,NA,NA,-177.16,59.94
"211","gbif1188",-174.160004,58.610001,NA,NA,NA,NA,NA,NA,-174.160004,58.610001
"212","gbif1189",-173.83,58.06,NA,NA,NA,NA,NA,NA,-173.83,58.06
"213","gbif119",-173.83,58.43,NA,NA,NA,NA,NA,NA,-173.83,58.43
"214","gbif1190",-173.83,57.52,NA,NA,NA,NA,NA,NA,-173.83,57.52
"215","gbif1191",-170.16,56.63,NA,NA,NA,NA,NA,NA,-170.16,56.63
"216","gbif1192",-173.16,58.99,NA,NA,NA,NA,NA,NA,-173.16,58.99
"217","gbif1193",-172.5,58.990002,NA,NA,NA,NA,NA,NA,-172.5,58.990002
"218","gbif1194",-167.83,56.45,NA,NA,NA,NA,NA,NA,-167.83,56.45
"219","gbif1195",-163.5,56.28,NA,NA,NA,NA,NA,NA,-163.5,56.28
