"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","DRR163884",124.230567,24.486196,124.224483248018,24.5001176677173,124.189664752732,24.5090774360875,4.85905269595918,3.66578685764873,124.189664752732,24.5090774360875
"2","DRR163885",124.250949,24.382934,124.262810559849,24.3802596410748,124.256343767364,24.3090033345684,8.20708395350319,7.91981768717709,124.256343767364,24.3090033345684
"3","DRR163886",124.250949,24.382934,124.262810559849,24.3802596410748,124.256343767364,24.3090033345684,8.20708395350319,7.91981768717709,124.256343767364,24.3090033345684
"4","DRR163887",123.775562,24.410525,NA,NA,NA,NA,NA,NA,123.775562,24.410525
"5","DRR163888",128.069563,26.556664,128.085020848551,26.5282304416924,128.085020848551,26.5282304416924,3.50678182222426,0,128.085020848551,26.5282304416924
"6","DRR163889",124.230567,24.486196,124.224483248018,24.5001176677173,124.189664752732,24.5090774360875,4.85905269595918,3.66578685764873,124.189664752732,24.5090774360875
"7","DRR163890",123.775562,24.410525,NA,NA,NA,NA,NA,NA,123.775562,24.410525
"8","DRR163891",128.069563,26.556664,128.085020848551,26.5282304416924,128.085020848551,26.5282304416924,3.50678182222426,0,128.085020848551,26.5282304416924
"9","DRR163892",123.775562,24.410525,NA,NA,NA,NA,NA,NA,123.775562,24.410525
"10","DRR163893",124.230567,24.486196,124.224483248018,24.5001176677173,124.189664752732,24.5090774360875,4.85905269595918,3.66578685764873,124.189664752732,24.5090774360875
"11","DRR163894",125.28367,24.760338,NA,NA,NA,NA,NA,NA,125.28367,24.760338
"12","DRR163895",124.250949,24.382934,124.262810559849,24.3802596410748,124.256343767364,24.3090033345684,8.20708395350319,7.91981768717709,124.256343767364,24.3090033345684
"13","DRR163896",128.069563,26.556664,128.085020848551,26.5282304416924,128.085020848551,26.5282304416924,3.50678182222426,0,128.085020848551,26.5282304416924
"14","DRR163897",124.230567,24.486196,124.224483248018,24.5001176677173,124.189664752732,24.5090774360875,4.85905269595918,3.66578685764873,124.189664752732,24.5090774360875
"15","DRR163898",124.250949,24.382934,124.262810559849,24.3802596410748,124.256343767364,24.3090033345684,8.20708395350319,7.91981768717709,124.256343767364,24.3090033345684
