"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR1766199",-2.529131,43.895548,NA,NA,NA,NA,NA,NA,-2.529131,43.895548
"2","SRR1766215",-7.000082,36.137563,NA,NA,NA,NA,NA,NA,-7.000082,36.137563
"3","SRR1766216",-1.562334,45.334415,NA,NA,NA,NA,NA,NA,-1.562334,45.334415
"4","SRR1766217",-7.000082,36.137563,NA,NA,NA,NA,NA,NA,-7.000082,36.137563
"5","SRR1766218",-1.562334,45.334415,NA,NA,NA,NA,NA,NA,-1.562334,45.334415
"6","SRR1766221",2.008707,40.312749,NA,NA,NA,NA,NA,NA,2.008707,40.312749
"7","SRR1766222",-7.000082,36.137563,NA,NA,NA,NA,NA,NA,-7.000082,36.137563
"8","SRR1766223",2.008707,40.312749,NA,NA,NA,NA,NA,NA,2.008707,40.312749
"9","SRR1766224",-1.562334,45.334415,NA,NA,NA,NA,NA,NA,-1.562334,45.334415
"10","SRR1766225",-2.529131,43.895548,NA,NA,NA,NA,NA,NA,-2.529131,43.895548
