"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR5571034",-67.0674999999999,40.651389,NA,NA,NA,NA,NA,NA,-67.0674999999999,40.651389
"2","SRR5571035",-67.0674999999999,40.651389,NA,NA,NA,NA,NA,NA,-67.0674999999999,40.651389
"3","SRR5571036",-67.0674999999999,40.651389,NA,NA,NA,NA,NA,NA,-67.0674999999999,40.651389
"4","SRR5571037",-67.0674999999999,40.651389,NA,NA,NA,NA,NA,NA,-67.0674999999999,40.651389
"5","SRR5571038",-69.6069439999999,40.000833,NA,NA,NA,NA,NA,NA,-69.6069439999999,40.000833
"6","SRR5571039",-69.6069439999999,40.000833,NA,NA,NA,NA,NA,NA,-69.6069439999999,40.000833
"7","SRR5571040",-67.0674999999999,40.651389,NA,NA,NA,NA,NA,NA,-67.0674999999999,40.651389
"8","SRR5571041",-69.6069439999999,40.000833,NA,NA,NA,NA,NA,NA,-69.6069439999999,40.000833
"9","SRR5571042",-69.6069439999999,40.000833,NA,NA,NA,NA,NA,NA,-69.6069439999999,40.000833
"10","SRR5571043",-69.6069439999999,40.000833,NA,NA,NA,NA,NA,NA,-69.6069439999999,40.000833
"11","SRR5571044",-70.6697219999999,43.011944,NA,NA,NA,NA,NA,NA,-70.6697219999999,43.011944
"12","SRR5571045",-70.6697219999999,43.011944,NA,NA,NA,NA,NA,NA,-70.6697219999999,43.011944
"13","SRR5571046",-68.171389,44.3849999999999,NA,NA,NA,NA,NA,NA,-68.171389,44.3849999999999
"14","SRR5571047",-68.171389,44.3849999999999,NA,NA,NA,NA,NA,NA,-68.171389,44.3849999999999
"15","SRR5571048",-70.6697219999999,43.011944,NA,NA,NA,NA,NA,NA,-70.6697219999999,43.011944
"16","SRR5571049",-68.3725,44.172778,NA,NA,NA,NA,NA,NA,-68.3725,44.172778
"17","SRR5571050",-68.3725,44.172778,NA,NA,NA,NA,NA,NA,-68.3725,44.172778
"18","SRR5571051",-68.3725,44.172778,NA,NA,NA,NA,NA,NA,-68.3725,44.172778
"19","SRR5571052",-68.3725,44.172778,NA,NA,NA,NA,NA,NA,-68.3725,44.172778
"20","SRR5571053",-68.171389,44.3849999999999,NA,NA,NA,NA,NA,NA,-68.171389,44.3849999999999
"21","SRR5571054",-68.171389,44.3849999999999,NA,NA,NA,NA,NA,NA,-68.171389,44.3849999999999
"22","SRR5571055",-68.171389,44.3849999999999,NA,NA,NA,NA,NA,NA,-68.171389,44.3849999999999
