"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR2568025",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"2","SRR2568026",38.841,21.676,NA,NA,NA,NA,NA,NA,38.841,21.676
"3","SRR2568027",38.841,21.676,NA,NA,NA,NA,NA,NA,38.841,21.676
"4","SRR2568028",38.841,21.676,NA,NA,NA,NA,NA,NA,38.841,21.676
"5","SRR2568029",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"6","SRR2568030",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"7","SRR2568031",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"8","SRR2568032",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"9","SRR2568033",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"10","SRR2568034",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"11","SRR2568035",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"12","SRR2568036",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"13","SRR2568037",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"14","SRR2568038",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"15","SRR2568039",37.675,24.15,NA,NA,NA,NA,NA,NA,37.675,24.15
"16","SRR2568040",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"17","SRR2568041",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"18","SRR2568042",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"19","SRR2568043",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"20","SRR2568044",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"21","SRR2568045",41.938,16.618,NA,NA,NA,NA,NA,NA,41.938,16.618
"22","SRR2568046",41.938,16.618,NA,NA,NA,NA,NA,NA,41.938,16.618
"23","SRR2568047",41.938,16.618,NA,NA,NA,NA,NA,NA,41.938,16.618
"24","SRR2568049",41.938,16.618,NA,NA,NA,NA,NA,NA,41.938,16.618
"25","SRR2568050",41.938,16.618,NA,NA,NA,NA,NA,NA,41.938,16.618
"26","SRR2568051",41.938,16.618,NA,NA,NA,NA,NA,NA,41.938,16.618
"27","SRR2568052",41.938,16.618,NA,NA,NA,NA,NA,NA,41.938,16.618
"28","SRR2568053",41.938,16.618,NA,NA,NA,NA,NA,NA,41.938,16.618
"29","SRR2568054",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"30","SRR2568055",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"31","SRR2568056",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"32","SRR2568057",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"33","SRR2568058",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"34","SRR2568060",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"35","SRR2568061",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"36","SRR2568062",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"37","SRR2568063",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"38","SRR2568064",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"39","SRR2568065",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"40","SRR2568066",34.741,28.404,NA,NA,NA,NA,NA,NA,34.741,28.404
"41","SRR2568067",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"42","SRR2568068",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"43","SRR2568069",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"44","SRR2568071",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"45","SRR2568072",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"46","SRR2568073",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"47","SRR2568074",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"48","SRR2568075",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"49","SRR2568076",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"50","SRR2568077",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"51","SRR2568078",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"52","SRR2568079",35.065,27.91,NA,NA,NA,NA,NA,NA,35.065,27.91
"53","SRR2568083",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"54","SRR2568084",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"55","SRR2568085",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"56","SRR2568086",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"57","SRR2568087",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"58","SRR2568088",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"59","SRR2568089",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"60","SRR2568090",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"61","SRR2568091",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"62","SRR2568093",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"63","SRR2568094",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"64","SRR2568095",39.961,19.89,NA,NA,NA,NA,NA,NA,39.961,19.89
"65","SRR2568096",53.907,12.659,NA,NA,NA,NA,NA,NA,53.907,12.659
"66","SRR2568097",53.907,12.659,NA,NA,NA,NA,NA,NA,53.907,12.659
"67","SRR2568098",53.907,12.659,NA,NA,NA,NA,NA,NA,53.907,12.659
"68","SRR2568099",53.907,12.659,NA,NA,NA,NA,NA,NA,53.907,12.659
"69","SRR2568100",53.907,12.659,NA,NA,NA,NA,NA,NA,53.907,12.659
"70","SRR2568101",53.907,12.659,NA,NA,NA,NA,NA,NA,53.907,12.659
"71","SRR2568102",53.907,12.659,NA,NA,NA,NA,NA,NA,53.907,12.659
"72","SRR2568104",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"73","SRR2568105",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"74","SRR2568106",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"75","SRR2568107",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"76","SRR2568108",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"77","SRR2568109",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"78","SRR2568110",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"79","SRR2568111",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"80","SRR2568112",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"81","SRR2568113",41.442,17.787,NA,NA,NA,NA,NA,NA,41.442,17.787
"82","SRR2568114",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"83","SRR2568115",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"84","SRR2568116",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"85","SRR2568117",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"86","SRR2568118",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"87","SRR2568119",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"88","SRR2568120",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"89","SRR2568121",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"90","SRR2568122",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"91","SRR2568123",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"92","SRR2568124",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
"93","SRR2568125",43.165,11.721,NA,NA,NA,NA,NA,NA,43.165,11.721
"94","SRR2568126",37.232,21.207,37.2498694690938,21.2179043420907,37.2498694690938,21.2179043420907,2.2134968884623,0,37.2498694690938,21.2179043420907
