"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR3989911",-89.5832,29.00083,NA,NA,NA,NA,NA,NA,-89.5832,29.00083
"2","SRR3989912",-89.5832,29.00083,NA,NA,NA,NA,NA,NA,-89.5832,29.00083
"3","SRR3989913",-89.5832,29.00083,NA,NA,NA,NA,NA,NA,-89.5832,29.00083
"4","SRR3989914",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"5","SRR3989915",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"6","SRR3989916",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"7","SRR3989917",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"8","SRR3989918",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"9","SRR3989919",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"10","SRR3989920",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"11","SRR3989921",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"12","SRR3989922",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"13","SRR3989923",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"14","SRR3989924",-89.5832,29.00083,NA,NA,NA,NA,NA,NA,-89.5832,29.00083
"15","SRR3989925",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"16","SRR3989926",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"17","SRR3989927",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"18","SRR3989928",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"19","SRR3989929",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"20","SRR3989930",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"21","SRR3989931",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"22","SRR3989932",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"23","SRR3989933",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"24","SRR3989934",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"25","SRR3989935",-89.5832,29.00083,NA,NA,NA,NA,NA,NA,-89.5832,29.00083
"26","SRR3989936",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"27","SRR3989937",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"28","SRR3989938",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"29","SRR3989940",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"30","SRR3989941",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"31","SRR3989942",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"32","SRR3989943",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"33","SRR3989944",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"34","SRR3989945",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"35","SRR3989946",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"36","SRR3989947",-89.5832,29.00083,NA,NA,NA,NA,NA,NA,-89.5832,29.00083
"37","SRR3989948",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"38","SRR3989949",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"39","SRR3989950",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"40","SRR3989951",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"41","SRR3989952",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"42","SRR3989953",-88.1603,30.10633,NA,NA,NA,NA,NA,NA,-88.1603,30.10633
"43","SRR3989954",-87.529,30.1455,NA,NA,NA,NA,NA,NA,-87.529,30.1455
"44","SRR3989955",-87.529,30.1455,NA,NA,NA,NA,NA,NA,-87.529,30.1455
"45","SRR3989956",-87.529,30.1455,NA,NA,NA,NA,NA,NA,-87.529,30.1455
