"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR5170599",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"2","SRR5170600",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"3","SRR5170601",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"4","SRR5170602",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"5","SRR5170603",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"6","SRR5170604",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"7","SRR5170605",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"8","SRR5170606",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"9","SRR5170607",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"10","SRR5170608",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"11","SRR5170609",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"12","SRR5170610",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"13","SRR5170611",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"14","SRR5170612",-64.9492,32.37007,NA,NA,NA,NA,NA,NA,-64.9492,32.37007
"15","SRR5170613",-64.8202,32.24465,NA,NA,NA,NA,NA,NA,-64.8202,32.24465
"16","SRR5170614",-64.8202,32.24465,NA,NA,NA,NA,NA,NA,-64.8202,32.24465
"17","SRR5170615",-64.8202,32.24465,NA,NA,NA,NA,NA,NA,-64.8202,32.24465
"18","SRR5170616",-64.8202,32.24465,NA,NA,NA,NA,NA,NA,-64.8202,32.24465
"19","SRR5170617",-64.8202,32.24465,NA,NA,NA,NA,NA,NA,-64.8202,32.24465
"20","SRR5170618",-64.8202,32.24465,NA,NA,NA,NA,NA,NA,-64.8202,32.24465
"21","SRR5170619",-64.8202,32.24465,NA,NA,NA,NA,NA,NA,-64.8202,32.24465
"22","SRR5170620",-64.8202,32.24465,NA,NA,NA,NA,NA,NA,-64.8202,32.24465
