"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR5226829",-71.046717,42.359542,NA,NA,NA,NA,NA,NA,-71.046717,42.359542
"2","SRR5226830",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"3","SRR5226831",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"4","SRR5226832",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"5","SRR5226833",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"6","SRR5226834",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"7","SRR5226835",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"8","SRR5226836",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"9","SRR5226837",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"10","SRR5226838",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"11","SRR5226839",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"12","SRR5226840",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"13","SRR5226841",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"14","SRR5226842",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"15","SRR5226843",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"16","SRR5226844",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"17","SRR5226845",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"18","SRR5226846",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"19","SRR5226847",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"20","SRR5226848",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"21","SRR5226849",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"22","SRR5226850",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"23","SRR5226851",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"24","SRR5226852",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"25","SRR5226853",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"26","SRR5226854",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"27","SRR5226855",124.365331,9.326334,NA,NA,NA,NA,NA,NA,124.365331,9.326334
"28","SRR5226863",145.82166,-15.998523,NA,NA,NA,NA,NA,NA,145.82166,-15.998523
"29","SRR5226864",145.82166,-15.998523,NA,NA,NA,NA,NA,NA,145.82166,-15.998523
"30","SRR5226865",145.802339,-15.493175,NA,NA,NA,NA,NA,NA,145.802339,-15.493175
"31","SRR5226867",145.700372,-14.991008,NA,NA,NA,NA,NA,NA,145.700372,-14.991008
"32","SRR5226868",145.700372,-14.991008,NA,NA,NA,NA,NA,NA,145.700372,-14.991008
"33","SRR5226872",145.786889,-15.551748,NA,NA,NA,NA,NA,NA,145.786889,-15.551748
"34","SRR5226873",145.802339,-15.493175,NA,NA,NA,NA,NA,NA,145.802339,-15.493175
"35","SRR5226874",145.802339,-15.493175,NA,NA,NA,NA,NA,NA,145.802339,-15.493175
"36","SRR5226875",145.802339,-15.493175,NA,NA,NA,NA,NA,NA,145.802339,-15.493175
"37","SRR5226876",145.802339,-15.493175,NA,NA,NA,NA,NA,NA,145.802339,-15.493175
"38","SRR5226877",145.802339,-15.493175,NA,NA,NA,NA,NA,NA,145.802339,-15.493175
"39","SRR5226878",145.82166,-15.998523,NA,NA,NA,NA,NA,NA,145.82166,-15.998523
"40","SRR5226879",145.82166,-15.998523,NA,NA,NA,NA,NA,NA,145.82166,-15.998523
"41","SRR5226880",145.82166,-15.998523,NA,NA,NA,NA,NA,NA,145.82166,-15.998523
"42","SRR5226925",178.682012,-17.24407,NA,NA,NA,NA,NA,NA,178.682012,-17.24407
"43","SRR5226926",178.082167,-18.253296,178.05157712935,-18.3359169141175,178.066308575662,-18.3734716561689,13.4067022735369,4.4387355230506,178.066308575662,-18.3734716561689
"44","SRR5226927",178.682012,-17.24407,NA,NA,NA,NA,NA,NA,178.682012,-17.24407
"45","SRR5226928",178.682012,-17.24407,NA,NA,NA,NA,NA,NA,178.682012,-17.24407
"46","SRR5226929",178.082167,-18.253296,178.05157712935,-18.3359169141175,178.066308575662,-18.3734716561689,13.4067022735369,4.4387355230506,178.066308575662,-18.3734716561689
"47","SRR5226930",178.082167,-18.253296,178.05157712935,-18.3359169141175,178.066308575662,-18.3734716561689,13.4067022735369,4.4387355230506,178.066308575662,-18.3734716561689
"48","SRR5226931",178.682012,-17.24407,NA,NA,NA,NA,NA,NA,178.682012,-17.24407
"49","SRR5226932",178.682012,-17.24407,NA,NA,NA,NA,NA,NA,178.682012,-17.24407
"50","SRR5226933",-170.698799,-14.33951,NA,NA,NA,NA,NA,NA,-170.698799,-14.33951
"51","SRR5226934",-170.698799,-14.33951,NA,NA,NA,NA,NA,NA,-170.698799,-14.33951
"52","SRR5226935",-170.698799,-14.33951,NA,NA,NA,NA,NA,NA,-170.698799,-14.33951
"53","SRR5226936",-170.698799,-14.33951,NA,NA,NA,NA,NA,NA,-170.698799,-14.33951
