"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",166.887562,9.336824,"SRR5233889",166.887562,9.336824,NA,NA,NA,NA,NA,NA
"2",166.887562,9.336824,"SRR5233890",166.887562,9.336824,NA,NA,NA,NA,NA,NA
"3",166.887562,9.336824,"SRR5233891",166.887562,9.336824,NA,NA,NA,NA,NA,NA
"4",171.378,7.098,"SRR5233892",171.378,7.098,NA,NA,NA,NA,NA,NA
"5",134.454091,7.343139,"SRR5233893",134.454091,7.343139,NA,NA,NA,NA,NA,NA
"6",134.454091,7.343139,"SRR5233894",134.454091,7.343139,NA,NA,NA,NA,NA,NA
"7",-159.45,21.85,"SRR5233895",-159.45,21.85,NA,NA,NA,NA,NA,NA
"8",-157.75,21.5,"SRR5233896",-157.75,21.5,NA,NA,NA,NA,NA,NA
"9",115.388034821263,-8.70322341608002,"SRR5233897",115.368666,-8.666038,115.363181959679,-8.65837622757943,115.388034821263,-8.70322341608002,4.63220774869178,5.66414906301425
"10",-157.432919,1.885,"SRR5233898",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"11",-157.432919,1.885,"SRR5233899",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"12",171.378,7.098,"SRR5233900",171.378,7.098,NA,NA,NA,NA,NA,NA
"13",171.378,7.098,"SRR5233901",171.378,7.098,NA,NA,NA,NA,NA,NA
"14",-159.45,21.85,"SRR5233902",-159.45,21.85,NA,NA,NA,NA,NA,NA
"15",-157.75,21.5,"SRR5233903",-157.75,21.5,NA,NA,NA,NA,NA,NA
"16",-157.75,21.5,"SRR5233904",-157.75,21.5,NA,NA,NA,NA,NA,NA
"17",-157.432919,1.885,"SRR5233905",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"18",-157.432919,1.885,"SRR5233906",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"19",-157.432919,1.885,"SRR5233907",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"20",-157.432919,1.885,"SRR5233908",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"21",134.454091,7.343139,"SRR5233909",134.454091,7.343139,NA,NA,NA,NA,NA,NA
"22",134.454091,7.343139,"SRR5233910",134.454091,7.343139,NA,NA,NA,NA,NA,NA
"23",-159.45,21.85,"SRR5233911",-159.45,21.85,NA,NA,NA,NA,NA,NA
"24",-159.45,21.85,"SRR5233912",-159.45,21.85,NA,NA,NA,NA,NA,NA
"25",-159.45,21.85,"SRR5233913",-159.45,21.85,NA,NA,NA,NA,NA,NA
"26",115.388034821263,-8.70322341608002,"SRR5233914",115.368666,-8.666038,115.363181959679,-8.65837622757943,115.388034821263,-8.70322341608002,4.63220774869178,5.66414906301425
"27",115.388034821263,-8.70322341608002,"SRR5233915",115.368666,-8.666038,115.363181959679,-8.65837622757943,115.388034821263,-8.70322341608002,4.63220774869178,5.66414906301425
"28",115.388034821263,-8.70322341608002,"SRR5233916",115.368666,-8.666038,115.363181959679,-8.65837622757943,115.388034821263,-8.70322341608002,4.63220774869178,5.66414906301425
"29",115.388034821263,-8.70322341608002,"SRR5233917",115.368666,-8.666038,115.363181959679,-8.65837622757943,115.388034821263,-8.70322341608002,4.63220774869178,5.66414906301425
"30",115.388034821263,-8.70322341608002,"SRR5233918",115.368666,-8.666038,115.363181959679,-8.65837622757943,115.388034821263,-8.70322341608002,4.63220774869178,5.66414906301425
"31",-157.432919,1.885,"SRR5233919",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"32",-157.75,21.5,"SRR5233920",-157.75,21.5,NA,NA,NA,NA,NA,NA
"33",-157.75,21.5,"SRR5233921",-157.75,21.5,NA,NA,NA,NA,NA,NA
"34",134.454091,7.343139,"SRR5233922",134.454091,7.343139,NA,NA,NA,NA,NA,NA
"35",134.454091,7.343139,"SRR5233923",134.454091,7.343139,NA,NA,NA,NA,NA,NA
"36",-157.75,21.5,"SRR5233924",-157.75,21.5,NA,NA,NA,NA,NA,NA
"37",115.388034821263,-8.70322341608002,"SRR5233925",115.368666,-8.666038,115.363181959679,-8.65837622757943,115.388034821263,-8.70322341608002,4.63220774869178,5.66414906301425
"38",115.388034821263,-8.70322341608002,"SRR5233926",115.368666,-8.666038,115.363181959679,-8.65837622757943,115.388034821263,-8.70322341608002,4.63220774869178,5.66414906301425
"39",-157.432919,1.885,"SRR5233927",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"40",-157.432919,1.885,"SRR5233928",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"41",-157.432919,1.885,"SRR5233929",-157.432919,1.885,NA,NA,NA,NA,NA,NA
"42",-157.75,21.5,"SRR5233930",-157.75,21.5,NA,NA,NA,NA,NA,NA
