"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR5494320",-75.61,10.26,-75.612543196839,10.2617310914076,-75.647342100389,10.2371248610597,4.81020146689204,4.68417421518572,-75.647342100389,10.2371248610597
"2","SRR5494321",-75.61,10.26,-75.612543196839,10.2617310914076,-75.647342100389,10.2371248610597,4.81020146689204,4.68417421518572,-75.647342100389,10.2371248610597
"3","SRR5494322",-75.61,10.26,-75.612543196839,10.2617310914076,-75.647342100389,10.2371248610597,4.81020146689204,4.68417421518572,-75.647342100389,10.2371248610597
"4","SRR5494323",-75.61,10.26,-75.612543196839,10.2617310914076,-75.647342100389,10.2371248610597,4.81020146689204,4.68417421518572,-75.647342100389,10.2371248610597
"5","SRR5494324",-75.61,10.26,-75.612543196839,10.2617310914076,-75.647342100389,10.2371248610597,4.81020146689204,4.68417421518572,-75.647342100389,10.2371248610597
"6","SRR5494325",-75.61,10.26,-75.612543196839,10.2617310914076,-75.647342100389,10.2371248610597,4.81020146689204,4.68417421518572,-75.647342100389,10.2371248610597
"7","SRR5494326",-75.62,10.26,NA,NA,NA,NA,NA,NA,-75.62,10.26
"8","SRR5494327",-75.62,10.26,NA,NA,NA,NA,NA,NA,-75.62,10.26
"9","SRR5494328",-75.61,10.27,-75.6079394077512,10.2689237484945,-75.647342100389,10.2371248610597,5.47339234416682,5.56816797740721,-75.647342100389,10.2371248610597
"10","SRR5494329",-75.59,10.27,-75.6024102837894,10.2775615677508,-75.647342100389,10.3038162282327,7.31063604413193,5.71468117913285,-75.647342100389,10.3038162282327
"11","SRR5494330",-81.74,12.5,NA,NA,NA,NA,NA,NA,-81.74,12.5
"12","SRR5494331",-81.74,12.5,NA,NA,NA,NA,NA,NA,-81.74,12.5
"13","SRR5494332",-81.46,12.39,NA,NA,NA,NA,NA,NA,-81.46,12.39
"14","SRR5494333",-81.46,12.39,NA,NA,NA,NA,NA,NA,-81.46,12.39
"15","SRR5494334",-75.73,10.23,NA,NA,NA,NA,NA,NA,-75.73,10.23
"16","SRR5494335",-75.73,10.23,NA,NA,NA,NA,NA,NA,-75.73,10.23
"17","SRR5494336",-75.73,10.23,NA,NA,NA,NA,NA,NA,-75.73,10.23
"18","SRR5494337",-75.73,10.23,NA,NA,NA,NA,NA,NA,-75.73,10.23
"19","SRR5494338",-81.74,12.5,NA,NA,NA,NA,NA,NA,-81.74,12.5
"20","SRR5494339",-81.74,12.5,NA,NA,NA,NA,NA,NA,-81.74,12.5
"21","SRR5494340",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"22","SRR5494341",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"23","SRR5494342",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"24","SRR5494343",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"25","SRR5494344",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"26","SRR5494345",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"27","SRR5494346",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"28","SRR5494347",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"29","SRR5494348",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"30","SRR5494349",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"31","SRR5494350",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"32","SRR5494351",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"33","SRR5494352",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"34","SRR5494353",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"35","SRR5494354",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"36","SRR5494355",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"37","SRR5494356",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"38","SRR5494357",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"39","SRR5500688",-75.61,10.26,-75.612543196839,10.2617310914076,-75.647342100389,10.2371248610597,4.81020146689204,4.68417421518572,-75.647342100389,10.2371248610597
"40","SRR5500689",-75.61,10.26,-75.612543196839,10.2617310914076,-75.647342100389,10.2371248610597,4.81020146689204,4.68417421518572,-75.647342100389,10.2371248610597
"41","SRR5500690",-75.73,10.23,NA,NA,NA,NA,NA,NA,-75.73,10.23
"42","SRR5500691",-81.74,12.5,NA,NA,NA,NA,NA,NA,-81.74,12.5
"43","SRR5500692",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
"44","SRR5500693",-81.69,12.54,NA,NA,NA,NA,NA,NA,-81.69,12.54
