"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",169.920952962618,-46.4572003760867,"SRR6336081",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"2",169.920952962618,-46.4572003760867,"SRR6336082",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"3",169.920952962618,-46.4572003760867,"SRR6336083",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"4",169.920952962618,-46.4572003760867,"SRR6336084",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"5",169.920952962618,-46.4572003760867,"SRR6336085",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"6",169.920952962618,-46.4572003760867,"SRR6336086",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"7",169.920952962618,-46.4572003760867,"SRR6336087",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"8",169.920952962618,-46.4572003760867,"SRR6336088",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"9",169.920952962618,-46.4572003760867,"SRR6336089",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"10",169.920952962618,-46.4572003760867,"SRR6336090",169.82,-46.45,169.920952962618,-46.4572003760867,169.920952962618,-46.4572003760867,7.79717732362479,0
"11",168.88,-43.86,"SRR6336091",168.88,-43.86,NA,NA,NA,NA,NA,NA
"12",168.88,-43.86,"SRR6336092",168.88,-43.86,NA,NA,NA,NA,NA,NA
"13",171.46,-41.74,"SRR6336093",171.46,-41.74,NA,NA,NA,NA,NA,NA
"14",171.46,-41.74,"SRR6336094",171.46,-41.74,NA,NA,NA,NA,NA,NA
"15",168.88,-43.86,"SRR6336095",168.88,-43.86,NA,NA,NA,NA,NA,NA
"16",168.88,-43.86,"SRR6336096",168.88,-43.86,NA,NA,NA,NA,NA,NA
"17",168.88,-43.86,"SRR6336097",168.88,-43.86,NA,NA,NA,NA,NA,NA
"18",168.88,-43.86,"SRR6336098",168.88,-43.86,NA,NA,NA,NA,NA,NA
"19",168.88,-43.86,"SRR6336099",168.88,-43.86,NA,NA,NA,NA,NA,NA
"20",168.88,-43.86,"SRR6336100",168.88,-43.86,NA,NA,NA,NA,NA,NA
"21",168.88,-43.86,"SRR6336101",168.88,-43.86,NA,NA,NA,NA,NA,NA
"22",168.88,-43.86,"SRR6336102",168.88,-43.86,NA,NA,NA,NA,NA,NA
"23",172.665308390443,-43.8495739162653,"SRR6336113",172.8,-43.86,172.720697548481,-43.8711634853414,172.665308390443,-43.8495739162653,10.8911847696309,5.05797661080268
"24",172.665308390443,-43.8495739162653,"SRR6336114",172.8,-43.86,172.720697548481,-43.8711634853414,172.665308390443,-43.8495739162653,10.8911847696309,5.05797661080268
"25",172.665308390443,-43.8495739162653,"SRR6336115",172.8,-43.86,172.720697548481,-43.8711634853414,172.665308390443,-43.8495739162653,10.8911847696309,5.05797661080268
"26",172.665308390443,-43.8495739162653,"SRR6336116",172.8,-43.86,172.720697548481,-43.8711634853414,172.665308390443,-43.8495739162653,10.8911847696309,5.05797661080268
"27",172.665308390443,-43.8495739162653,"SRR6336117",172.8,-43.86,172.720697548481,-43.8711634853414,172.665308390443,-43.8495739162653,10.8911847696309,5.05797661080268
"28",172.665308390443,-43.8495739162653,"SRR6336118",172.8,-43.86,172.720697548481,-43.8711634853414,172.665308390443,-43.8495739162653,10.8911847696309,5.05797661080268
"29",172.665308390443,-43.8495739162653,"SRR6336119",172.8,-43.86,172.720697548481,-43.8711634853414,172.665308390443,-43.8495739162653,10.8911847696309,5.05797661080268
"30",172.665308390443,-43.8495739162653,"SRR6336120",172.8,-43.86,172.720697548481,-43.8711634853414,172.665308390443,-43.8495739162653,10.8911847696309,5.05797661080268
