"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR6927560",-89.6722,-1.3758,NA,NA,NA,NA,NA,NA,-89.6722,-1.3758
"2","SRR6927562",-91.1353,-0.8292,-91.1626334245254,-0.704609894953087,-91.1626334245254,-0.704609894953087,14.1082776554274,0,-91.1626334245254,-0.704609894953087
"3","SRR6927568",-90.4314,-1.3083,-90.4252960171127,-1.28619829484131,-90.4500833487683,-1.23379029270099,8.49713251918694,6.41803693883609,-90.4500833487683,-1.23379029270099
"4","SRR6927573",-91.1353,-0.8292,-91.1626334245254,-0.704609894953087,-91.1626334245254,-0.704609894953087,14.1082776554274,0,-91.1626334245254,-0.704609894953087
"5","SRR6927574",-89.6722,-1.3758,NA,NA,NA,NA,NA,NA,-89.6722,-1.3758
"6","SRR6927582",-90.3019,-0.752,-90.277217104552,-0.803250292826263,-90.277217104552,-0.803250292826263,6.29777759946789,0,-90.277217104552,-0.803250292826263
"7","SRR6927583",-90.3019,-0.752,-90.277217104552,-0.803250292826263,-90.277217104552,-0.803250292826263,6.29777759946789,0,-90.277217104552,-0.803250292826263
"8","SRR6927584",-87.0574,5.5282,NA,NA,NA,NA,NA,NA,-87.0574,5.5282
"9","SRR6927589",-90.3019,-0.752,-90.277217104552,-0.803250292826263,-90.277217104552,-0.803250292826263,6.29777759946789,0,-90.277217104552,-0.803250292826263
"10","SRR6927609",-90.4314,-1.3083,-90.4252960171127,-1.28619829484131,-90.4500833487683,-1.23379029270099,8.49713251918694,6.41803693883609,-90.4500833487683,-1.23379029270099
