"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-70.305,41.34,"SRR7007286",-70.305,41.34,NA,NA,NA,NA,NA,NA
"2",-70.305,41.34,"SRR7007287",-70.305,41.34,NA,NA,NA,NA,NA,NA
"3",-70.305,41.34,"SRR7007290",-70.305,41.34,NA,NA,NA,NA,NA,NA
"4",-70.305,41.34,"SRR7007291",-70.305,41.34,NA,NA,NA,NA,NA,NA
"5",-70.305,41.34,"SRR7007292",-70.305,41.34,NA,NA,NA,NA,NA,NA
"6",-70.305,41.34,"SRR7007293",-70.305,41.34,NA,NA,NA,NA,NA,NA
"7",-70.305,41.34,"SRR7007294",-70.305,41.34,NA,NA,NA,NA,NA,NA
"8",-70.305,41.34,"SRR7007295",-70.305,41.34,NA,NA,NA,NA,NA,NA
"9",-70.305,41.34,"SRR7007296",-70.305,41.34,NA,NA,NA,NA,NA,NA
"10",-70.305,41.34,"SRR7007297",-70.305,41.34,NA,NA,NA,NA,NA,NA
"11",-59.916,43.916,"SRR7007298",-59.916,43.916,NA,NA,NA,NA,NA,NA
"12",-59.916,43.916,"SRR7007299",-59.916,43.916,NA,NA,NA,NA,NA,NA
"13",-59.916,43.916,"SRR7007300",-59.916,43.916,NA,NA,NA,NA,NA,NA
"14",-59.916,43.916,"SRR7007301",-59.916,43.916,NA,NA,NA,NA,NA,NA
"15",-59.916,43.916,"SRR7007302",-59.916,43.916,NA,NA,NA,NA,NA,NA
"16",-59.916,43.916,"SRR7007303",-59.916,43.916,NA,NA,NA,NA,NA,NA
"17",-59.916,43.916,"SRR7007304",-59.916,43.916,NA,NA,NA,NA,NA,NA
"18",-59.916,43.916,"SRR7007305",-59.916,43.916,NA,NA,NA,NA,NA,NA
"19",-59.916,43.916,"SRR7007306",-59.916,43.916,NA,NA,NA,NA,NA,NA
"20",-59.916,43.916,"SRR7007307",-59.916,43.916,NA,NA,NA,NA,NA,NA
"21",-59.916,43.916,"SRR7007308",-59.916,43.916,NA,NA,NA,NA,NA,NA
