"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",151.9245,-23.4552,"SRR7031118",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"2",151.9245,-23.4552,"SRR7031119",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"3",151.9245,-23.4552,"SRR7031120",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"4",151.9245,-23.4552,"SRR7031121",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"5",151.9245,-23.4552,"SRR7031122",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"6",151.9245,-23.4552,"SRR7031123",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"7",151.9245,-23.4552,"SRR7031124",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"8",151.9245,-23.4552,"SRR7031125",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"9",151.9245,-23.4552,"SRR7031126",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"10",151.9245,-23.4552,"SRR7031127",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
"11",151.9263,-23.454,"SRR7031128",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"12",151.9263,-23.454,"SRR7031129",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"13",151.9263,-23.454,"SRR7031130",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"14",151.9263,-23.454,"SRR7031131",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"15",151.9263,-23.454,"SRR7031132",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"16",151.9263,-23.454,"SRR7031133",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"17",151.9263,-23.454,"SRR7031134",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"18",151.9263,-23.454,"SRR7031135",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"19",151.9263,-23.454,"SRR7031136",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"20",151.9263,-23.454,"SRR7031137",151.9263,-23.454,NA,NA,NA,NA,NA,NA
"21",151.9245,-23.4552,"SRR7031138",151.9245,-23.4552,NA,NA,NA,NA,NA,NA
