"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-122.98944248935,47.5689001624533,"SRR7079333",-123,47.55,-122.98944248935,47.5689001624533,-122.98944248935,47.5689001624533,2.246566277926,0
"2",-128.4,50.4,"SRR7079341",-128.4,50.4,NA,NA,NA,NA,NA,NA
"3",-127.6,51,"SRR7079342",-127.6,51,NA,NA,NA,NA,NA,NA
"4",-123,48.5,"SRR7079343",-123,48.5,NA,NA,NA,NA,NA,NA
"5",-123,48.5,"SRR7079344",-123,48.5,NA,NA,NA,NA,NA,NA
"6",-127.6,51,"SRR7079345",-127.6,51,NA,NA,NA,NA,NA,NA
"7",-128.4,50.4,"SRR7079346",-128.4,50.4,NA,NA,NA,NA,NA,NA
"8",-128.4,50.4,"SRR7079347",-128.4,50.4,NA,NA,NA,NA,NA,NA
"9",-128.4,50.4,"SRR7079348",-128.4,50.4,NA,NA,NA,NA,NA,NA
"10",-124.5,48.4,"SRR7079349",-124.5,48.4,NA,NA,NA,NA,NA,NA
"11",-124.5,48.4,"SRR7079350",-124.5,48.4,NA,NA,NA,NA,NA,NA
"12",-124.5,48.4,"SRR7079351",-124.5,48.4,NA,NA,NA,NA,NA,NA
"13",-124.5,48.4,"SRR7079352",-124.5,48.4,NA,NA,NA,NA,NA,NA
"14",-123,48.5,"SRR7079353",-123,48.5,NA,NA,NA,NA,NA,NA
"15",-123,48.5,"SRR7079354",-123,48.5,NA,NA,NA,NA,NA,NA
"16",-124.5,48.4,"SRR7079355",-124.5,48.4,NA,NA,NA,NA,NA,NA
"17",-124.5,48.4,"SRR7079356",-124.5,48.4,NA,NA,NA,NA,NA,NA
"18",-124.434196860975,45.6206779153605,"SRR7079357",-124.434196860975,45.6206779153605,NA,NA,NA,NA,NA,NA
"19",-124.659007083181,44.6144596288495,"SRR7079358",-124.659007083181,44.6144596288495,NA,NA,NA,NA,NA,NA
"20",-122.650935445886,37.358406984504,"SRR7079359",-122.650935445886,37.358406984504,NA,NA,NA,NA,NA,NA
"21",-124.434196860975,45.6206779153605,"SRR7079360",-124.434196860975,45.6206779153605,NA,NA,NA,NA,NA,NA
