"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR7189595",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"2","SRR7189596",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"3","SRR7189597",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"4","SRR7189599",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"5","SRR7189600",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"6","SRR7189602",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"7","SRR7189605",-109.216531,10.302699,NA,NA,NA,NA,NA,NA,-109.216531,10.302699
"8","SRR7189606",-80.3316,-8.15873333333333,NA,NA,NA,NA,NA,NA,-80.3316,-8.15873333333333
"9","SRR7189607",-109.216531,10.302699,NA,NA,NA,NA,NA,NA,-109.216531,10.302699
"10","SRR7189608",-109.216531,10.302699,NA,NA,NA,NA,NA,NA,-109.216531,10.302699
"11","SRR7189610",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"12","SRR7189611",-85.72,10.58,NA,NA,NA,NA,NA,NA,-85.72,10.58
"13","SRR7189613",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"14","SRR7189614",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"15","SRR7189618",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"16","SRR7189619",-26,38,NA,NA,NA,NA,NA,NA,-26,38
"17","SRR7189620",31.113281,-29.731328,31.1827512935878,-29.7621763602259,31.239118355251,-29.7776954427566,13.2120613169398,5.71614615955139,31.239118355251,-29.7776954427566
"18","SRR7189621",113.7777667,28.882925,113.187627338396,23.3253056687662,113.254306353028,22.9751759911078,656.600147071219,39.3721447295726,113.254306353028,22.9751759911078
"19","SRR7189624",113.7777667,28.882925,113.187627338396,23.3253056687662,113.254306353028,22.9751759911078,656.600147071219,39.3721447295726,113.254306353028,22.9751759911078
"20","SRR7189625",31.113281,-29.731328,31.1827512935878,-29.7621763602259,31.239118355251,-29.7776954427566,13.2120613169398,5.71614615955139,31.239118355251,-29.7776954427566
"21","SRR7189626",31.113281,-29.731328,31.1827512935878,-29.7621763602259,31.239118355251,-29.7776954427566,13.2120613169398,5.71614615955139,31.239118355251,-29.7776954427566
"22","SRR7189627",30.859652,-30.125626,30.9416825674818,-30.1645883307035,30.9416825674818,-30.1645883307035,9.00649389882255,0,30.9416825674818,-30.1645883307035
"23","SRR7189628",-156,22,NA,NA,NA,NA,NA,NA,-156,22
"24","SRR7189629",-80.3316,-8.15873333333333,NA,NA,NA,NA,NA,NA,-80.3316,-8.15873333333333
"25","SRR7189630",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"26","SRR7189631",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"27","SRR7189632",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"28","SRR7189633",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"29","SRR7189635",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"30","SRR7189636",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"31","SRR7189637",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"32","SRR7189638",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"33","SRR7189639",-80.24148,27.350766,NA,NA,NA,NA,NA,NA,-80.24148,27.350766
"34","SRR7189642",-143.546104,-16.618596,NA,NA,NA,NA,NA,NA,-143.546104,-16.618596
"35","SRR7189643",-143.546104,-16.618596,NA,NA,NA,NA,NA,NA,-143.546104,-16.618596
"36","SRR7189650",-50.3547,-33.9058,NA,NA,NA,NA,NA,NA,-50.3547,-33.9058
"37","SRR7189651",-140.696666666667,30.2,NA,NA,NA,NA,NA,NA,-140.696666666667,30.2
