"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR7235989",-65.03515,18.3569,NA,NA,NA,NA,NA,NA,-65.03515,18.3569
"2","SRR7235990",-80.94595,24.71182,NA,NA,NA,NA,NA,NA,-80.94595,24.71182
"3","SRR7235991",-81.12417,24.9225,NA,NA,NA,NA,NA,NA,-81.12417,24.9225
"4","SRR7235992",-80.50417,25.03222,NA,NA,NA,NA,NA,NA,-80.50417,25.03222
"5","SRR7235993",-80.60778,25.2155,-80.5373232393881,25.1571593051856,-80.5373232393881,25.1571593051856,9.60221991452913,0,-80.5373232393881,25.1571593051856
"6","SRR7235994",-80.59389,25.16472,NA,NA,NA,NA,NA,NA,-80.59389,25.16472
"7","SRR7235996",-68.78301,12.04069,NA,NA,NA,NA,NA,NA,-68.78301,12.04069
"8","SRR7235998",-64.9063,18.40191,-64.9120207445823,18.3854979682822,-64.9120207445823,18.440163023342,4.27694907566696,6.05058714661597,-64.9120207445823,18.440163023342
"9","SRR7235999",-65.03515,18.3569,NA,NA,NA,NA,NA,NA,-65.03515,18.3569
"10","SRR7236021",-64.8499,18.3333,NA,NA,NA,NA,NA,NA,-64.8499,18.3333
"11","SRR7236022",-64.9892,18.31701,NA,NA,NA,NA,NA,NA,-64.9892,18.31701
"12","SRR7236027",-88.0830056,16.7909389,NA,NA,NA,NA,NA,NA,-88.0830056,16.7909389
"13","SRR7236028",-87.75973,16.88806,NA,NA,NA,NA,NA,NA,-87.75973,16.88806
"14","SRR7236029",-68.8966,12.0842,-68.8956334940589,12.102677301475,-68.9127616225227,12.0377917747314,5.42695160024102,7.41604488022429,-68.9127616225227,12.0377917747314
"15","SRR7236030",-68.8966,12.0842,-68.8956334940589,12.102677301475,-68.9127616225227,12.0377917747314,5.42695160024102,7.41604488022429,-68.9127616225227,12.0377917747314
"16","SRR7236031",-88.11755,16.77913,NA,NA,NA,NA,NA,NA,-88.11755,16.77913
"17","SRR7236032",-88.0825,16.80132,NA,NA,NA,NA,NA,NA,-88.0825,16.80132
"18","SRR7236033",-87.75973,16.88806,NA,NA,NA,NA,NA,NA,-87.75973,16.88806
"19","SRR7236034",-88.11755,16.77913,NA,NA,NA,NA,NA,NA,-88.11755,16.77913
"20","SRR7236036",-68.85997,12.066,NA,NA,NA,NA,NA,NA,-68.85997,12.066
"21","SRR7236037",-68.8966,12.0842,-68.8956334940589,12.102677301475,-68.9127616225227,12.0377917747314,5.42695160024102,7.41604488022429,-68.9127616225227,12.0377917747314
