"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-80.94296,25.13404,"SRR7501518",-80.94296,25.13404,NA,NA,NA,NA,NA,NA
"2",-80.94293,25.13407,"SRR7501519",-80.94293,25.13407,NA,NA,NA,NA,NA,NA
"3",-81.4036921037284,25.8020405790454,"SRR7501520",-81.38274,25.84296,-81.4036921037284,25.8020405790454,-81.4036921037284,25.8020405790454,4.9963926855649,0
"4",-81.4037002379148,25.8020439698263,"SRR7501521",-81.38276,25.84294,-81.4037002379148,25.8020439698263,-81.4037002379148,25.8020439698263,4.9935413344389,0
"5",-81.4037083720918,25.8020473606028,"SRR7501522",-81.38278,25.84292,-81.4037083720918,25.8020473606028,-81.4037083720918,25.8020473606028,4.99068998333297,0
"6",-81.4037165062427,25.8020507513677,"SRR7501523",-81.3828,25.8429,-81.4037165062427,25.8020507513677,-81.4037165062427,25.8020507513677,4.98783863224216,0
"7",-80.9429,25.1341,"SRR7501524",-80.9429,25.1341,NA,NA,NA,NA,NA,NA
"8",-80.94241,25.1242,"SRR7501525",-80.94241,25.1242,NA,NA,NA,NA,NA,NA
"9",-81.403580166909,25.8019939174914,"SRR7501526",-81.38261,25.84295,-81.403580166909,25.8019939174914,-81.403580166909,25.8019939174914,5.00083949364542,0
"10",-81.4036839694822,25.8020371882388,"SRR7501527",-81.38272,25.84298,-81.4036839694822,25.8020371882388,-81.4036839694822,25.8020371882388,4.99924403669595,0
"11",-16.5697351361363,13.571693219711,"SRR7501528",-16.55,13.63,-16.5670284894624,13.621856349976,-16.5697351361363,13.571693219711,6.79510294443353,5.55751732900579
"12",-62.9811867763186,18.0813522184569,"SRR7501529",-63.01384,18.08103,-62.9811867763186,18.0813522184569,-62.9811867763186,18.0813522184569,3.45673835227828,0
"13",-65.7788479348027,18.440163023342,"SRR7501530",-65.75627,18.37989,-65.7465724871183,18.395261946205,-65.7788479348027,18.440163023342,7.08497230257664,6.02721661469063
"14",-65.6454899055381,18.373471656169,"SRR7501531",-65.71092,18.37302,-65.7107039132999,18.3757221617227,-65.6454899055381,18.373471656169,6.91483191413429,6.89626153558176
"15",-65.7788479348027,18.440163023342,"SRR7501532",-65.75641,18.37996,-65.7467085405666,18.3953387892423,-65.7788479348027,18.440163023342,7.07270529329881,6.01207465866302
"16",-65.7788479348027,18.440163023342,"SRR7501533",-65.75634,18.37993,-65.7466428297648,18.3953016757782,-65.7788479348027,18.440163023342,7.07831526423714,6.019386854677
"17",-65.7788479348027,18.440163023342,"SRR7501534",-65.75655,18.38004,-65.7468492273704,18.3954182490258,-65.7788479348027,18.440163023342,7.05941304646661,5.99642577434405
"18",-65.7788479348027,18.440163023342,"SRR7501535",-65.75648,18.38,-65.7467788838244,18.3953785190749,-65.7788479348027,18.440163023342,7.06605703724547,6.00424911786358
"19",-62.981187526579,18.0814120948473,"SRR7501536",-63.01381,18.08109,-62.981187526579,18.0814120948473,-62.981187526579,18.0814120948473,3.4534820987477,0
"20",-62.981187131334,18.081380551349,"SRR7501537",-63.01371,18.08106,-62.981187131334,18.081380551349,-62.981187131334,18.081380551349,3.4429376953221,0
"21",-81.76786,24.55284,"SRR7501538",-81.76786,24.55284,NA,NA,NA,NA,NA,NA
"22",-81.7677,24.5528,"SRR7501539",-81.7677,24.5528,NA,NA,NA,NA,NA,NA
"23",-81.76774,24.55281,"SRR7501540",-81.76774,24.55281,NA,NA,NA,NA,NA,NA
"24",-80.5910278872673,28.0803123278621,"SRR7501541",-80.6052,28.0743,-80.5910278872673,28.0803123278621,-80.5910278872673,28.0803123278621,1.54414531780164,0
"25",-80.94299,25.13401,"SRR7501542",-80.94299,25.13401,NA,NA,NA,NA,NA,NA
"26",-80.94302,25.13398,"SRR7501543",-80.94302,25.13398,NA,NA,NA,NA,NA,NA
"27",-81.76778,24.55287,"SRR7501544",-81.76778,24.55287,NA,NA,NA,NA,NA,NA
"28",-81.76789,24.55283,"SRR7501545",-81.76789,24.55283,NA,NA,NA,NA,NA,NA
"29",-80.5910776445677,28.0804047633853,"SRR7501546",-80.60535,28.07435,-80.5910776445677,28.0804047633853,-80.5910776445677,28.0804047633853,1.55506223469755,0
