"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-81.4037002379148,25.8020439698263,"SRR7504169",-81.38276,25.84294,-81.4037002379148,25.8020439698263,-81.4037002379148,25.8020439698263,4.9935413344389,0
"2",-81.4036921037284,25.8020405790454,"SRR7504170",-81.38274,25.84296,-81.4036921037284,25.8020405790454,-81.4036921037284,25.8020405790454,4.9963926855649,0
"3",-61.85807,17.1424,"SRR7504171",-61.85807,17.1424,NA,NA,NA,NA,NA,NA
"4",-75.02851,23.08126,"SRR7504172",-75.02851,23.08126,NA,NA,NA,NA,NA,NA
"5",-75.02842,23.08137,"SRR7504173",-75.02842,23.08137,NA,NA,NA,NA,NA,NA
"6",-81.4037165062427,25.8020507513677,"SRR7504174",-81.3828,25.8429,-81.4037165062427,25.8020507513677,-81.4037165062427,25.8020507513677,4.98783863224216,0
"7",-81.4037083720918,25.8020473606028,"SRR7504175",-81.38278,25.84292,-81.4037083720918,25.8020473606028,-81.4037083720918,25.8020473606028,4.99068998333297,0
"8",-75.02833,23.08148,"SRR7504176",-75.02833,23.08148,NA,NA,NA,NA,NA,NA
"9",-75.02824,23.08159,"SRR7504177",-75.02824,23.08159,NA,NA,NA,NA,NA,NA
"10",-75.02815,23.0817,"SRR7504178",-75.02815,23.0817,NA,NA,NA,NA,NA,NA
"11",-75.02806,23.08181,"SRR7504179",-75.02806,23.08181,NA,NA,NA,NA,NA,NA
"12",-82.5819596221522,9.57021118932938,"SRR7504180",-82.59879,9.59233,-82.6046557642711,9.58758646461605,-82.5819596221522,9.57021118932938,3.06569717442046,3.14655894665389
"13",-69.96937,12.46447,"SRR7504181",-69.96937,12.46447,NA,NA,NA,NA,NA,NA
"14",-82.5819596221522,9.57021118932938,"SRR7504182",-82.59755,9.59166,-82.6038055621061,9.58658555895115,-82.5819596221522,9.57021118932938,2.92522709536545,3.00520291025976
"15",-61.9114650861271,17.0396443127084,"SRR7504183",-61.8581,17.01915,-61.855798737697,17.0308636848606,-61.9114650861271,17.0396443127084,6.11769776153596,6.00570438117644
"16",-61.9114650861271,17.0396443127084,"SRR7504184",-61.85541,17.02171,-61.853686982476,17.0304759499112,-61.9114650861271,17.0396443127084,6.28947057256956,6.23452379177311
"17",-69.9796258566401,12.4379399777696,"SRR7504185",-69.97508,12.47355,-69.970742291598,12.4822035256198,-69.9796258566401,12.4379399777696,3.97024070136573,4.99098928132316
"18",-88.36274,16.53233,"SRR7504186",-88.36274,16.53233,NA,NA,NA,NA,NA,NA
"19",-81.76786,24.55284,"SRR7504187",-81.76786,24.55284,NA,NA,NA,NA,NA,NA
"20",-61.60907,12.22602,"SRR7504188",-61.60907,12.22602,NA,NA,NA,NA,NA,NA
"21",-77.098996390572,17.8456362517663,"SRR7504189",-77.07597,17.88771,-77.098996390572,17.8456362517663,-77.098996390572,17.8456362517663,5.25737594719617,0
"22",-82.5819596221522,9.57021118932938,"SRR7504190",-82.59991,9.59273,-82.6053208010222,9.588369377588,-82.5819596221522,9.57021118932938,3.17590131375572,3.25733913601462
"23",-78.39992,26.60358,"SRR7504191",-78.39992,26.60358,NA,NA,NA,NA,NA,NA
"24",-77.0987614093582,17.845518735538,"SRR7504192",-77.07552,17.88799,-77.0987614093582,17.845518735538,-77.0987614093582,17.845518735538,5.30692280415271,0
"25",-78.39989,26.60362,"SRR7504193",-78.39989,26.60362,NA,NA,NA,NA,NA,NA
"26",-78.39986,26.60366,"SRR7504194",-78.39986,26.60366,NA,NA,NA,NA,NA,NA
"27",-81.4036839694822,25.8020371882388,"SRR7504195",-81.38272,25.84298,-81.4036839694822,25.8020371882388,-81.4036839694822,25.8020371882388,4.99924403669595,0
"28",-80.94293,25.13407,"SRR7504196",-80.94293,25.13407,NA,NA,NA,NA,NA,NA
"29",-80.94296,25.13404,"SRR7504197",-80.94296,25.13404,NA,NA,NA,NA,NA,NA
"30",-80.94299,25.13401,"SRR7504198",-80.94299,25.13401,NA,NA,NA,NA,NA,NA
"31",-80.94302,25.13398,"SRR7504199",-80.94302,25.13398,NA,NA,NA,NA,NA,NA
"32",-81.7677,24.5528,"SRR7504200",-81.7677,24.5528,NA,NA,NA,NA,NA,NA
"33",-81.76782,24.55283,"SRR7504201",-81.76782,24.55283,NA,NA,NA,NA,NA,NA
"34",-81.76774,24.55281,"SRR7504202",-81.76774,24.55281,NA,NA,NA,NA,NA,NA
"35",-82.75671,28.25485,"SRR7504203",-82.75671,28.25485,NA,NA,NA,NA,NA,NA
"36",-82.75721,28.2543,"SRR7504204",-82.75721,28.2543,NA,NA,NA,NA,NA,NA
"37",-80.5910676930896,28.0803862762612,"SRR7504205",-80.60532,28.07434,-80.5910676930896,28.0803862762612,-80.5910676930896,28.0803862762612,1.55287885292547,0
"38",-80.5910577416222,28.0803677891502,"SRR7504206",-80.60529,28.07433,-80.5910577416222,28.0803677891502,-80.5910577416222,28.0803677891502,1.55069547034964,0
"39",-80.5910477901566,28.0803493020354,"SRR7504207",-80.60526,28.07432,-80.5910477901566,28.0803493020354,-80.5910477901566,28.0803493020354,1.54851208697025,0
"40",-80.5910278872673,28.0803123278621,"SRR7504208",-80.6052,28.0743,-80.5910278872673,28.0803123278621,-80.5910278872673,28.0803123278621,1.54414531780164,0
"41",-65.6454899055381,18.373471656169,"SRR7504209",-65.71094,18.3729,-65.7107144973083,18.3757229081126,-65.6454899055381,18.373471656169,6.91705659167758,6.89738228406675
"42",-65.6454899055381,18.373471656169,"SRR7504210",-65.71092,18.37293,-65.7106968846345,18.3757216660572,-65.6454899055381,18.373471656169,6.91491289686113,6.89551726514117
"43",-78.39995,26.60354,"SRR7504211",-78.39995,26.60354,NA,NA,NA,NA,NA,NA
"44",-65.6454899055381,18.373471656169,"SRR7504212",-65.71095,18.37287,-65.7107221346229,18.3757234466998,-65.6454899055381,18.373471656169,6.91814511085937,6.89819100510867
"45",-65.6454899055381,18.373471656169,"SRR7504213",-65.71092,18.37302,-65.7107039132999,18.3757221617227,-65.6454899055381,18.373471656169,6.91483191413429,6.89626153558176
"46",-61.6091,12.22576,"SRR7504214",-61.6091,12.22576,NA,NA,NA,NA,NA,NA
"47",-65.6454899055381,18.373471656169,"SRR7504215",-65.71093,18.37296,-65.7107092032889,18.3757225347757,-65.6454899055381,18.373471656169,6.91594107282227,6.89682169639796
"48",-65.6454899055381,18.373471656169,"SRR7504216",-65.71092,18.37299,-65.7107015699599,18.3757219964691,-65.6454899055381,18.373471656169,6.91485731401755,6.89601339761263
"49",-82.5819596221522,9.57021118932938,"SRR7504217",-82.5973,9.59144,-82.6035916389853,9.5863337153958,-82.5819596221522,9.57021118932938,2.88944842424574,2.96968775683966
"50",-81.29816,19.29301,"SRR7504218",-81.29816,19.29301,NA,NA,NA,NA,NA,NA
"51",-81.29563,19.29605,"SRR7504219",-81.29563,19.29605,NA,NA,NA,NA,NA,NA
"52",-78.39992,26.60358,"SRR7504220",-78.39992,26.60358,NA,NA,NA,NA,NA,NA
"53",-78.39995,26.60354,"SRR7504221",-78.39995,26.60354,NA,NA,NA,NA,NA,NA
"54",-82.59674,9.59037,"SRR7504222",-82.59674,9.59037,NA,NA,NA,NA,NA,NA
