"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",62.93,-67.56,"SRR7911805",62.93,-67.56,NA,NA,NA,NA,NA,NA
"2",-64.14,-65.17,"SRR7911806",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"3",-27.08,-59.43,"SRR7911809",-27.08,-59.43,NA,NA,NA,NA,NA,NA
"4",-27.08,-59.43,"SRR7911810",-27.08,-59.43,NA,NA,NA,NA,NA,NA
"5",-64.14,-65.17,"SRR7911811",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"6",-56.8438599740693,-63.5235272323083,"SRR7911830",-56.9,-63.52,-56.8707392406216,-63.5101814219652,-56.8438599740693,-63.5235272323083,2.82139478526731,2.00077749717382
"7",-64.14,-65.17,"SRR7911831",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"8",-64.14,-65.17,"SRR7911840",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"9",-64.14,-65.17,"SRR7911841",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"10",-64.14,-65.17,"SRR7911842",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"11",-64.14,-65.17,"SRR7911843",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"12",-45.5751065012039,-60.7224898110411,"SRR7911844",-45.62,-60.71,-45.6074667569774,-60.7180281493729,-45.5751065012039,-60.7224898110411,2.81827577490553,1.83492766405824
"13",-45.5751065012039,-60.7224898110411,"SRR7911845",-45.62,-60.71,-45.6074667569774,-60.7180281493729,-45.5751065012039,-60.7224898110411,2.81827577490553,1.83492766405824
"14",62.82,-67.58,"SRR7911848",62.82,-67.58,NA,NA,NA,NA,NA,NA
"15",62.82,-67.58,"SRR7911849",62.82,-67.58,NA,NA,NA,NA,NA,NA
"16",62.82,-67.58,"SRR7911850",62.82,-67.58,NA,NA,NA,NA,NA,NA
"17",62.82,-67.58,"SRR7911851",62.82,-67.58,NA,NA,NA,NA,NA,NA
"18",62.82,-67.58,"SRR7911852",62.82,-67.58,NA,NA,NA,NA,NA,NA
"19",62.82,-67.58,"SRR7911853",62.82,-67.58,NA,NA,NA,NA,NA,NA
"20",62.82,-67.58,"SRR7911854",62.82,-67.58,NA,NA,NA,NA,NA,NA
"21",62.82,-67.58,"SRR7911855",62.82,-67.58,NA,NA,NA,NA,NA,NA
"22",62.82,-67.58,"SRR7911856",62.82,-67.58,NA,NA,NA,NA,NA,NA
"23",62.82,-67.58,"SRR7911857",62.82,-67.58,NA,NA,NA,NA,NA,NA
"24",62.93,-67.56,"SRR7911868",62.93,-67.56,NA,NA,NA,NA,NA,NA
"25",62.93,-67.56,"SRR7911869",62.93,-67.56,NA,NA,NA,NA,NA,NA
"26",-58.44,-62.16,"SRR7911878",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"27",-64.14,-65.17,"SRR7911879",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"28",-58.44,-62.16,"SRR7911880",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"29",-58.44,-62.16,"SRR7911881",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"30",-64.14,-65.17,"SRR7911884",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"31",-64.14,-65.17,"SRR7911885",-64.14,-65.17,NA,NA,NA,NA,NA,NA
"32",62.82,-67.58,"SRR7911886",62.82,-67.58,NA,NA,NA,NA,NA,NA
"33",140,-66.66,"SRR7911887",140,-66.66,NA,NA,NA,NA,NA,NA
"34",140,-66.66,"SRR7911888",140,-66.66,NA,NA,NA,NA,NA,NA
"35",140,-66.66,"SRR7911889",140,-66.66,NA,NA,NA,NA,NA,NA
"36",140,-66.66,"SRR7911890",140,-66.66,NA,NA,NA,NA,NA,NA
"37",140,-66.66,"SRR7911891",140,-66.66,NA,NA,NA,NA,NA,NA
"38",140,-66.66,"SRR7911892",140,-66.66,NA,NA,NA,NA,NA,NA
"39",140,-66.66,"SRR7911893",140,-66.66,NA,NA,NA,NA,NA,NA
"40",140,-66.66,"SRR7911894",140,-66.66,NA,NA,NA,NA,NA,NA
"41",140,-66.66,"SRR7911895",140,-66.66,NA,NA,NA,NA,NA,NA
"42",-45.5751065012039,-60.7224898110411,"SRR7911906",-45.62,-60.71,-45.6074667569774,-60.7180281493729,-45.5751065012039,-60.7224898110411,2.81827577490553,1.83492766405824
"43",-56.8438599740693,-63.5235272323083,"SRR7911908",-56.9,-63.52,-56.8707392406216,-63.5101814219652,-56.8438599740693,-63.5235272323083,2.82139478526731,2.00077749717382
