"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-38.04,-54,"SRR7911807",-38.04,-54,NA,NA,NA,NA,NA,NA
"2",-38.04,-54,"SRR7911808",-38.04,-54,NA,NA,NA,NA,NA,NA
"3",-38.04,-54,"SRR7911812",-38.04,-54,NA,NA,NA,NA,NA,NA
"4",-38.04,-54,"SRR7911813",-38.04,-54,NA,NA,NA,NA,NA,NA
"5",-38.04,-54,"SRR7911814",-38.04,-54,NA,NA,NA,NA,NA,NA
"6",-38.04,-54,"SRR7911816",-38.04,-54,NA,NA,NA,NA,NA,NA
"7",-38.04,-54,"SRR7911817",-38.04,-54,NA,NA,NA,NA,NA,NA
"8",-38.04,-54,"SRR7911818",-38.04,-54,NA,NA,NA,NA,NA,NA
"9",-38.04,-54,"SRR7911819",-38.04,-54,NA,NA,NA,NA,NA,NA
"10",70.44,-49.37,"SRR7911820",70.44,-49.37,NA,NA,NA,NA,NA,NA
"11",70.44,-49.37,"SRR7911821",70.44,-49.37,NA,NA,NA,NA,NA,NA
"12",-58.44,-62.16,"SRR7911822",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"13",-58.44,-62.16,"SRR7911823",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"14",-58.44,-62.16,"SRR7911824",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"15",-58.44,-62.16,"SRR7911825",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"16",-58.44,-62.16,"SRR7911826",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"17",-58.44,-62.16,"SRR7911827",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"18",-58.44,-62.16,"SRR7911828",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"19",-58.44,-62.16,"SRR7911829",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"20",70.44,-49.37,"SRR7911858",70.44,-49.37,NA,NA,NA,NA,NA,NA
"21",70.44,-49.37,"SRR7911859",70.44,-49.37,NA,NA,NA,NA,NA,NA
"22",70.44,-49.37,"SRR7911860",70.44,-49.37,NA,NA,NA,NA,NA,NA
"23",70.44,-49.37,"SRR7911861",70.44,-49.37,NA,NA,NA,NA,NA,NA
"24",70.44,-49.37,"SRR7911862",70.44,-49.37,NA,NA,NA,NA,NA,NA
"25",70.44,-49.37,"SRR7911863",70.44,-49.37,NA,NA,NA,NA,NA,NA
"26",70.44,-49.37,"SRR7911864",70.44,-49.37,NA,NA,NA,NA,NA,NA
"27",70.44,-49.37,"SRR7911865",70.44,-49.37,NA,NA,NA,NA,NA,NA
"28",70.44,-49.37,"SRR7911866",70.44,-49.37,NA,NA,NA,NA,NA,NA
"29",70.44,-49.37,"SRR7911867",70.44,-49.37,NA,NA,NA,NA,NA,NA
"30",-62.67,-64.67,"SRR7911896",-62.67,-64.67,NA,NA,NA,NA,NA,NA
"31",-62.67,-64.67,"SRR7911897",-62.67,-64.67,NA,NA,NA,NA,NA,NA
"32",-62.67,-64.67,"SRR7911898",-62.67,-64.67,NA,NA,NA,NA,NA,NA
"33",-62.67,-64.67,"SRR7911899",-62.67,-64.67,NA,NA,NA,NA,NA,NA
"34",-63.49,-64.83,"SRR7911900",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"35",-63.49,-64.83,"SRR7911901",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"36",-63.49,-64.83,"SRR7911902",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"37",-63.49,-64.83,"SRR7911903",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"38",-63.49,-64.83,"SRR7911904",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"39",-63.49,-64.83,"SRR7911905",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"40",-58.44,-62.16,"SRR7911918",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"41",-58.44,-62.16,"SRR7911919",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"42",-58.44,-62.16,"SRR7911920",-58.44,-62.16,NA,NA,NA,NA,NA,NA
"43",-63.49,-64.83,"SRR7911921",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"44",-63.49,-64.83,"SRR7911922",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"45",-63.49,-64.83,"SRR7911923",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"46",-63.49,-64.83,"SRR7911924",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"47",-63.49,-64.83,"SRR7911925",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"48",-63.49,-64.83,"SRR7911926",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"49",-63.49,-64.83,"SRR7911927",-63.49,-64.83,NA,NA,NA,NA,NA,NA
"50",-57.8440451935544,-51.3856984068173,"SRR7911952",-57.88,-51.44,-57.8468325453089,-51.4262306080636,-57.8440451935544,-51.3856984068173,6.53883240605295,4.51366097747209
"51",-57.8440451935544,-51.3856984068173,"SRR7911953",-57.88,-51.44,-57.8468325453089,-51.4262306080636,-57.8440451935544,-51.3856984068173,6.53883240605295,4.51366097747209
