"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-59.23,45.76,"SRR8759222",-59.23,45.76,NA,NA,NA,NA,NA,NA
"2",-59.82,46.52,"SRR8759223",-59.82,46.52,NA,NA,NA,NA,NA,NA
"3",-59.23,45.76,"SRR8759224",-59.23,45.76,NA,NA,NA,NA,NA,NA
"4",-59.23,45.76,"SRR8759225",-59.23,45.76,NA,NA,NA,NA,NA,NA
"5",-51.67,50.25,"SRR8759226",-51.67,50.25,NA,NA,NA,NA,NA,NA
"6",-59.23,45.76,"SRR8759227",-59.23,45.76,NA,NA,NA,NA,NA,NA
"7",-51.4,50.42,"SRR8759228",-51.4,50.42,NA,NA,NA,NA,NA,NA
"8",-51.67,50.25,"SRR8759229",-51.67,50.25,NA,NA,NA,NA,NA,NA
"9",-59.31,46.06,"SRR8759230",-59.31,46.06,NA,NA,NA,NA,NA,NA
"10",-59.44,46.42,"SRR8759231",-59.44,46.42,NA,NA,NA,NA,NA,NA
"11",-52.3,53.08,"SRR8759232",-52.3,53.08,NA,NA,NA,NA,NA,NA
"12",-52.3,53.08,"SRR8759233",-52.3,53.08,NA,NA,NA,NA,NA,NA
"13",-66.3,42.6,"SRR8759234",-66.3,42.6,NA,NA,NA,NA,NA,NA
"14",-53.42,52.67,"SRR8759235",-53.42,52.67,NA,NA,NA,NA,NA,NA
"15",-53.42,52.67,"SRR8759236",-53.42,52.67,NA,NA,NA,NA,NA,NA
"16",-53.42,52.67,"SRR8759237",-53.42,52.67,NA,NA,NA,NA,NA,NA
"17",-53.42,52.67,"SRR8759238",-53.42,52.67,NA,NA,NA,NA,NA,NA
"18",-53.42,52.67,"SRR8759239",-53.42,52.67,NA,NA,NA,NA,NA,NA
"19",-53.42,52.67,"SRR8759240",-53.42,52.67,NA,NA,NA,NA,NA,NA
"20",-53.42,52.67,"SRR8759241",-53.42,52.67,NA,NA,NA,NA,NA,NA
