"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR8953021",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"2","SRR8953022",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"3","SRR8953023",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"4","SRR8953024",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"5","SRR8953025",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"6","SRR8953026",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"7","SRR8953027",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"8","SRR8953028",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"9","SRR8953029",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"10","SRR8953030",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"11","SRR8953031",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"12","SRR8953032",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"13","SRR8953033",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"14","SRR8953034",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"15","SRR8953035",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"16","SRR8953036",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"17","SRR8953037",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"18","SRR8953038",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"19","SRR8953039",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"20","SRR8953040",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"21","SRR8953041",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"22","SRR8953042",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"23","SRR8953043",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"24","SRR8953044",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"25","SRR8953045",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"26","SRR8953046",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"27","SRR8953047",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"28","SRR8953048",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"29","SRR8953049",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"30","SRR8953050",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"31","SRR8953051",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"32","SRR8953052",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"33","SRR8953053",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"34","SRR8953054",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"35","SRR8953055",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"36","SRR8953056",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"37","SRR8953057",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"38","SRR8953058",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"39","SRR8953059",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"40","SRR8953060",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"41","SRR8953061",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"42","SRR8953062",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"43","SRR8953063",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"44","SRR8953064",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"45","SRR8953065",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"46","SRR8953066",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"47","SRR8953067",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"48","SRR8953068",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"49","SRR8953069",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"50","SRR8953070",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"51","SRR8953071",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"52","SRR8953072",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"53","SRR8953073",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"54","SRR8953074",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"55","SRR8953075",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"56","SRR8953076",124.135,32.99694,NA,NA,NA,NA,NA,NA,124.135,32.99694
"57","SRR8953077",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"58","SRR8953078",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"59","SRR8953079",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"60","SRR8953080",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"61","SRR8953081",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"62","SRR8953082",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"63","SRR8953083",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"64","SRR8953084",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"65","SRR8953085",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"66","SRR8953086",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"67","SRR8953087",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"68","SRR8953088",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"69","SRR8953089",123.4472,29.99056,NA,NA,NA,NA,NA,NA,123.4472,29.99056
"70","SRR8953090",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"71","SRR8953091",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"72","SRR8953092",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"73","SRR8953093",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"74","SRR8953094",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"75","SRR8953095",122.5589,35.01111,NA,NA,NA,NA,NA,NA,122.5589,35.01111
"76","SRR8953096",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
"77","SRR8953097",126.275,31.04167,NA,NA,NA,NA,NA,NA,126.275,31.04167
