"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR9669083",-67.41,39.83,NA,NA,NA,NA,NA,NA,-67.41,39.83
"2","SRR9669086",-90.01,27,NA,NA,NA,NA,NA,NA,-90.01,27
"3","SRR9669088",-67.36,39.84,NA,NA,NA,NA,NA,NA,-67.36,39.84
"4","SRR9669099",-87.53,28.52,NA,NA,NA,NA,NA,NA,-87.53,28.52
"5","SRR9669100",-87.51,28.01,NA,NA,NA,NA,NA,NA,-87.51,28.01
"6","SRR9669101",-87.98,27.02,NA,NA,NA,NA,NA,NA,-87.98,27.02
"7","SRR9669102",-67.41,39.83,NA,NA,NA,NA,NA,NA,-67.41,39.83
"8","SRR9669104",-87.02,26.93,NA,NA,NA,NA,NA,NA,-87.02,26.93
"9","SRR9669105",-87.51,28.01,NA,NA,NA,NA,NA,NA,-87.51,28.01
"10","SRR9669107",-87,26.94,NA,NA,NA,NA,NA,NA,-87,26.94
"11","SRR9669109",-89.99,26.99,NA,NA,NA,NA,NA,NA,-89.99,26.99
"12","SRR9669110",-87.49,27.01,NA,NA,NA,NA,NA,NA,-87.49,27.01
"13","SRR9669111",-79.48,25.25,NA,NA,NA,NA,NA,NA,-79.48,25.25
"14","SRR9669113",-79.48,25.25,NA,NA,NA,NA,NA,NA,-79.48,25.25
"15","SRR9669135",-87.55,28.66,NA,NA,NA,NA,NA,NA,-87.55,28.66
"16","SRR9669136",-89.43,26.93,NA,NA,NA,NA,NA,NA,-89.43,26.93
"17","SRR9669137",-89.01,27.51,NA,NA,NA,NA,NA,NA,-89.01,27.51
"18","SRR9669138",-67.41,39.83,NA,NA,NA,NA,NA,NA,-67.41,39.83
"19","SRR9669139",-89,27.52,NA,NA,NA,NA,NA,NA,-89,27.52
"20","SRR9669140",-89.43,26.93,NA,NA,NA,NA,NA,NA,-89.43,26.93
"21","SRR9669141",-88,27,NA,NA,NA,NA,NA,NA,-88,27
"22","SRR9669142",-67.36,39.84,NA,NA,NA,NA,NA,NA,-67.36,39.84
"23","SRR9669143",-79.59,25.42,NA,NA,NA,NA,NA,NA,-79.59,25.42
"24","SRR9669144",-79.59,25.42,NA,NA,NA,NA,NA,NA,-79.59,25.42
"25","SRR9669145",-87.5,28,NA,NA,NA,NA,NA,NA,-87.5,28
"26","SRR9669148",-67.36,39.84,NA,NA,NA,NA,NA,NA,-67.36,39.84
"27","SRR9669159",-79.59,25.42,NA,NA,NA,NA,NA,NA,-79.59,25.42
"28","SRR9669169",-79.48,25.25,NA,NA,NA,NA,NA,NA,-79.48,25.25
"29","SRR9669170",-88.46,27.01,NA,NA,NA,NA,NA,NA,-88.46,27.01
"30","SRR9669171",-89.43,26.93,NA,NA,NA,NA,NA,NA,-89.43,26.93
"31","SRR9669173",-87.5,27.99,NA,NA,NA,NA,NA,NA,-87.5,27.99
