"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR9669087",-87.01,29,NA,NA,NA,NA,NA,NA,-87.01,29
"2","SRR9669089",-87.5,29,NA,NA,NA,NA,NA,NA,-87.5,29
"3","SRR9669090",-89.04,26.89,NA,NA,NA,NA,NA,NA,-89.04,26.89
"4","SRR9669091",-86.96,28.5,NA,NA,NA,NA,NA,NA,-86.96,28.5
"5","SRR9669092",-87.46,29.04,NA,NA,NA,NA,NA,NA,-87.46,29.04
"6","SRR9669093",-87.46,29.04,NA,NA,NA,NA,NA,NA,-87.46,29.04
"7","SRR9669094",-86.37,26.92,NA,NA,NA,NA,NA,NA,-86.37,26.92
"8","SRR9669095",-87.03,28.55,NA,NA,NA,NA,NA,NA,-87.03,28.55
"9","SRR9669096",-67.41,39.92,NA,NA,NA,NA,NA,NA,-67.41,39.92
"10","SRR9669097",-87.98,27.52,NA,NA,NA,NA,NA,NA,-87.98,27.52
"11","SRR9669098",-87.03,28.55,NA,NA,NA,NA,NA,NA,-87.03,28.55
"12","SRR9669125",-89.43,26.93,NA,NA,NA,NA,NA,NA,-89.43,26.93
"13","SRR9669126",-87.55,28.66,NA,NA,NA,NA,NA,NA,-87.55,28.66
"14","SRR9669127",-87.5,27.99,NA,NA,NA,NA,NA,NA,-87.5,27.99
"15","SRR9669128",-87.5,28.53,NA,NA,NA,NA,NA,NA,-87.5,28.53
"16","SRR9669129",-87.55,29.02,NA,NA,NA,NA,NA,NA,-87.55,29.02
"17","SRR9669130",-87.99,27.99,NA,NA,NA,NA,NA,NA,-87.99,27.99
"18","SRR9669131",-88,28,NA,NA,NA,NA,NA,NA,-88,28
"19","SRR9669132",-87.5,28.03,NA,NA,NA,NA,NA,NA,-87.5,28.03
"20","SRR9669133",-88,28,NA,NA,NA,NA,NA,NA,-88,28
"21","SRR9669134",-87.5,27.99,NA,NA,NA,NA,NA,NA,-87.5,27.99
"22","SRR9669157",-87.55,29.02,NA,NA,NA,NA,NA,NA,-87.55,29.02
"23","SRR9669158",-87.46,28,NA,NA,NA,NA,NA,NA,-87.46,28
"24","SRR9669160",-87.55,28.66,NA,NA,NA,NA,NA,NA,-87.55,28.66
"25","SRR9669161",-67.42,39.91,NA,NA,NA,NA,NA,NA,-67.42,39.91
"26","SRR9669162",-67.42,39.91,NA,NA,NA,NA,NA,NA,-67.42,39.91
"27","SRR9669163",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"28","SRR9669164",-86.99,27,NA,NA,NA,NA,NA,NA,-86.99,27
"29","SRR9669165",-89.04,26.89,NA,NA,NA,NA,NA,NA,-89.04,26.89
"30","SRR9669166",-67.42,39.91,NA,NA,NA,NA,NA,NA,-67.42,39.91
"31","SRR9669167",-87.46,28,NA,NA,NA,NA,NA,NA,-87.46,28
"32","SRR9669177",-67.48,39.8,NA,NA,NA,NA,NA,NA,-67.48,39.8
"33","SRR9669178",-67.42,39.91,NA,NA,NA,NA,NA,NA,-67.42,39.91
"34","SRR9669179",-87.95,26.99,NA,NA,NA,NA,NA,NA,-87.95,26.99
"35","SRR9669180",-87.98,27.02,NA,NA,NA,NA,NA,NA,-87.98,27.02
"36","SRR9669181",-87.98,27.02,NA,NA,NA,NA,NA,NA,-87.98,27.02
"37","SRR9669182",-67.38,39.79,NA,NA,NA,NA,NA,NA,-67.38,39.79
"38","SRR9669183",-67.38,39.79,NA,NA,NA,NA,NA,NA,-67.38,39.79
"39","SRR9669186",-67.46,40.07,NA,NA,NA,NA,NA,NA,-67.46,40.07
"40","SRR9669187",-67.46,40.07,NA,NA,NA,NA,NA,NA,-67.46,40.07
"41","SRR9669193",-87.49,27.96,NA,NA,NA,NA,NA,NA,-87.49,27.96
"42","SRR9669205",-67.48,39.8,NA,NA,NA,NA,NA,NA,-67.48,39.8
"43","SRR9669206",-87.97,27.49,NA,NA,NA,NA,NA,NA,-87.97,27.49
"44","SRR9669208",-67.43,40.07,NA,NA,NA,NA,NA,NA,-67.43,40.07
"45","SRR9669209",-67.41,39.92,NA,NA,NA,NA,NA,NA,-67.41,39.92
"46","SRR9669211",-67.48,39.8,NA,NA,NA,NA,NA,NA,-67.48,39.8
"47","SRR9669212",-67.43,40.07,NA,NA,NA,NA,NA,NA,-67.43,40.07
"48","SRR9669224",-67.42,39.91,NA,NA,NA,NA,NA,NA,-67.42,39.91
"49","SRR9669251",-67.43,40.07,NA,NA,NA,NA,NA,NA,-67.43,40.07
"50","SRR9669252",-88.51,26.89,NA,NA,NA,NA,NA,NA,-88.51,26.89
"51","SRR9669253",-67.38,39.79,NA,NA,NA,NA,NA,NA,-67.38,39.79
"52","SRR9669254",-67.38,39.79,NA,NA,NA,NA,NA,NA,-67.38,39.79
"53","SRR9669255",-89,27.52,NA,NA,NA,NA,NA,NA,-89,27.52
"54","SRR9669256",-67.42,39.99,NA,NA,NA,NA,NA,NA,-67.42,39.99
"55","SRR9669258",-67.42,39.91,NA,NA,NA,NA,NA,NA,-67.42,39.91
"56","SRR9669259",-67.42,39.99,NA,NA,NA,NA,NA,NA,-67.42,39.99
"57","SRR9669287",-67.42,39.99,NA,NA,NA,NA,NA,NA,-67.42,39.99
"58","SRR9669288",-87.5,27.94,NA,NA,NA,NA,NA,NA,-87.5,27.94
"59","SRR9669289",-87.55,28.66,NA,NA,NA,NA,NA,NA,-87.55,28.66
"60","SRR9669290",-87.01,29,NA,NA,NA,NA,NA,NA,-87.01,29
"61","SRR9669291",-67.48,39.8,NA,NA,NA,NA,NA,NA,-67.48,39.8
"62","SRR9669292",-67.38,39.79,NA,NA,NA,NA,NA,NA,-67.38,39.79
"63","SRR9669293",-88.51,26.89,NA,NA,NA,NA,NA,NA,-88.51,26.89
"64","SRR9669294",-88.97,26.97,NA,NA,NA,NA,NA,NA,-88.97,26.97
"65","SRR9669295",-67.41,39.92,NA,NA,NA,NA,NA,NA,-67.41,39.92
"66","SRR9669296",-86.41,26.96,NA,NA,NA,NA,NA,NA,-86.41,26.96
"67","SRR9669297",-86.96,27.49,NA,NA,NA,NA,NA,NA,-86.96,27.49
"68","SRR9669314",-67.42,39.91,NA,NA,NA,NA,NA,NA,-67.42,39.91
"69","SRR9669315",-87.01,29,NA,NA,NA,NA,NA,NA,-87.01,29
"70","SRR9669317",-67.48,39.8,NA,NA,NA,NA,NA,NA,-67.48,39.8
"71","SRR9669318",-67.46,40.07,NA,NA,NA,NA,NA,NA,-67.46,40.07
"72","SRR9669319",-86.99,27.42,NA,NA,NA,NA,NA,NA,-86.99,27.42
"73","SRR9669320",-67.38,39.79,NA,NA,NA,NA,NA,NA,-67.38,39.79
"74","SRR9669321",-87.53,28.52,NA,NA,NA,NA,NA,NA,-87.53,28.52
