"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR9669081",-89.01,27.51,NA,NA,NA,NA,NA,NA,-89.01,27.51
"2","SRR9669082",-90,27,NA,NA,NA,NA,NA,NA,-90,27
"3","SRR9669085",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"4","SRR9669115",-89.49,26.99,NA,NA,NA,NA,NA,NA,-89.49,26.99
"5","SRR9669116",-89.47,26.99,NA,NA,NA,NA,NA,NA,-89.47,26.99
"6","SRR9669117",-67.44,40.18,NA,NA,NA,NA,NA,NA,-67.44,40.18
"7","SRR9669118",-87.49,27.49,NA,NA,NA,NA,NA,NA,-87.49,27.49
"8","SRR9669119",-79.56,25.16,NA,NA,NA,NA,NA,NA,-79.56,25.16
"9","SRR9669120",-79.56,25.16,NA,NA,NA,NA,NA,NA,-79.56,25.16
"10","SRR9669121",-87.01,29,NA,NA,NA,NA,NA,NA,-87.01,29
"11","SRR9669122",-89.47,26.99,NA,NA,NA,NA,NA,NA,-89.47,26.99
"12","SRR9669123",-88.46,27.01,NA,NA,NA,NA,NA,NA,-88.46,27.01
"13","SRR9669124",-88.51,27.49,NA,NA,NA,NA,NA,NA,-88.51,27.49
"14","SRR9669146",-89.47,26.99,NA,NA,NA,NA,NA,NA,-89.47,26.99
"15","SRR9669147",-89,27.02,NA,NA,NA,NA,NA,NA,-89,27.02
"16","SRR9669149",-89.47,26.99,NA,NA,NA,NA,NA,NA,-89.47,26.99
"17","SRR9669150",-87.01,28.01,NA,NA,NA,NA,NA,NA,-87.01,28.01
"18","SRR9669151",-87.03,28.55,NA,NA,NA,NA,NA,NA,-87.03,28.55
"19","SRR9669152",-87.49,27.01,NA,NA,NA,NA,NA,NA,-87.49,27.01
"20","SRR9669153",-88,27,NA,NA,NA,NA,NA,NA,-88,27
"21","SRR9669154",-87,26.94,NA,NA,NA,NA,NA,NA,-87,26.94
"22","SRR9669155",-67.44,40.18,NA,NA,NA,NA,NA,NA,-67.44,40.18
"23","SRR9669156",-79.48,25.25,NA,NA,NA,NA,NA,NA,-79.48,25.25
"24","SRR9669168",-87.01,29,NA,NA,NA,NA,NA,NA,-87.01,29
"25","SRR9669172",-86.87,27.89,NA,NA,NA,NA,NA,NA,-86.87,27.89
"26","SRR9669190",-89.47,26.99,NA,NA,NA,NA,NA,NA,-89.47,26.99
"27","SRR9669191",-79.48,25.25,NA,NA,NA,NA,NA,NA,-79.48,25.25
"28","SRR9669194",-90.92,27.08,NA,NA,NA,NA,NA,NA,-90.92,27.08
"29","SRR9669195",-86.95,27.91,NA,NA,NA,NA,NA,NA,-86.95,27.91
"30","SRR9669196",-79.67,25.41,NA,NA,NA,NA,NA,NA,-79.67,25.41
"31","SRR9669197",-67.48,39.8,NA,NA,NA,NA,NA,NA,-67.48,39.8
"32","SRR9669198",-86.54,27.45,NA,NA,NA,NA,NA,NA,-86.54,27.45
"33","SRR9669199",-90.98,27.05,NA,NA,NA,NA,NA,NA,-90.98,27.05
"34","SRR9669201",-86.88,27.89,NA,NA,NA,NA,NA,NA,-86.88,27.89
"35","SRR9669223",-79.59,25.42,NA,NA,NA,NA,NA,NA,-79.59,25.42
"36","SRR9669225",-89,27.02,NA,NA,NA,NA,NA,NA,-89,27.02
"37","SRR9669226",-79.67,25.41,NA,NA,NA,NA,NA,NA,-79.67,25.41
"38","SRR9669227",-87.55,28.66,NA,NA,NA,NA,NA,NA,-87.55,28.66
"39","SRR9669228",-87.55,28.66,NA,NA,NA,NA,NA,NA,-87.55,28.66
"40","SRR9669229",-87.47,27.46,NA,NA,NA,NA,NA,NA,-87.47,27.46
"41","SRR9669230",-89,27.01,NA,NA,NA,NA,NA,NA,-89,27.01
"42","SRR9669231",-90.01,27,NA,NA,NA,NA,NA,NA,-90.01,27
"43","SRR9669232",-90.01,27,NA,NA,NA,NA,NA,NA,-90.01,27
"44","SRR9669233",-79.48,25.25,NA,NA,NA,NA,NA,NA,-79.48,25.25
"45","SRR9669234",-79.67,25.41,NA,NA,NA,NA,NA,NA,-79.67,25.41
"46","SRR9669236",-79.65,25.42,NA,NA,NA,NA,NA,NA,-79.65,25.42
