"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR9902004",-166.84163,64.35209,NA,NA,NA,NA,NA,NA,-166.84163,64.35209
"2","SRR9902005",-166.74853,62.97934,NA,NA,NA,NA,NA,NA,-166.74853,62.97934
"3","SRR9902006",-166.74853,62.97934,NA,NA,NA,NA,NA,NA,-166.74853,62.97934
"4","SRR9902007",-166.84163,64.35209,NA,NA,NA,NA,NA,NA,-166.84163,64.35209
"5","SRR9902008",-166.84163,64.35209,NA,NA,NA,NA,NA,NA,-166.84163,64.35209
"6","SRR9902009",-166.84163,64.35209,NA,NA,NA,NA,NA,NA,-166.84163,64.35209
"7","SRR9902010",-166.03012,63.32407,NA,NA,NA,NA,NA,NA,-166.03012,63.32407
"8","SRR9902011",-166.03012,63.32407,NA,NA,NA,NA,NA,NA,-166.03012,63.32407
"9","SRR9902012",-166.84163,64.35209,NA,NA,NA,NA,NA,NA,-166.84163,64.35209
"10","SRR9902013",-166.03012,63.32407,NA,NA,NA,NA,NA,NA,-166.03012,63.32407
"11","SRR9902014",-166.03012,63.32407,NA,NA,NA,NA,NA,NA,-166.03012,63.32407
"12","SRR9902015",-166.74853,62.97934,NA,NA,NA,NA,NA,NA,-166.74853,62.97934
"13","SRR9902016",-166.74853,62.97934,NA,NA,NA,NA,NA,NA,-166.74853,62.97934
"14","SRR9902017",-166.03012,63.32407,NA,NA,NA,NA,NA,NA,-166.03012,63.32407
"15","SRR9902018",-166.03012,63.32407,NA,NA,NA,NA,NA,NA,-166.03012,63.32407
"16","SRR9902019",-166.03012,63.32407,NA,NA,NA,NA,NA,NA,-166.03012,63.32407
"17","SRR9902020",-166.03012,63.32407,NA,NA,NA,NA,NA,NA,-166.03012,63.32407
"18","SRR9902021",-166.84163,64.35209,NA,NA,NA,NA,NA,NA,-166.84163,64.35209
"19","SRR9902022",-166.84163,64.35209,NA,NA,NA,NA,NA,NA,-166.84163,64.35209
"20","SRR9902023",-166.84163,64.35209,NA,NA,NA,NA,NA,NA,-166.84163,64.35209
