"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-81.43,30.613,"SRR9945324",-81.43,30.613,NA,NA,NA,NA,NA,NA
"2",-81.388,30.537,"SRR9945325",-81.388,30.537,NA,NA,NA,NA,NA,NA
"3",-81.296,29.958,"SRR9945326",-81.296,29.958,NA,NA,NA,NA,NA,NA
"4",-81.326,30.085,"SRR9945327",-81.326,30.085,NA,NA,NA,NA,NA,NA
"5",-81.323,30.837,"SRR9945328",-81.323,30.837,NA,NA,NA,NA,NA,NA
"6",-80.813,24.927,"SRR9945329",-80.813,24.927,NA,NA,NA,NA,NA,NA
"7",-80.812,24.921,"SRR9945330",-80.812,24.921,NA,NA,NA,NA,NA,NA
"8",-80.834,24.921,"SRR9945331",-80.834,24.921,NA,NA,NA,NA,NA,NA
"9",-80.813,24.911,"SRR9945332",-80.813,24.911,NA,NA,NA,NA,NA,NA
"10",-80.822,24.909,"SRR9945333",-80.822,24.909,NA,NA,NA,NA,NA,NA
"11",-80.833,24.921,"SRR9945334",-80.833,24.921,NA,NA,NA,NA,NA,NA
"12",-80.839,24.917,"SRR9945335",-80.839,24.917,NA,NA,NA,NA,NA,NA
"13",-80.804,24.929,"SRR9945336",-80.804,24.929,NA,NA,NA,NA,NA,NA
"14",-80.821,24.91,"SRR9945337",-80.821,24.91,NA,NA,NA,NA,NA,NA
"15",-80.823,24.924,"SRR9945338",-80.823,24.924,NA,NA,NA,NA,NA,NA
"16",-81.403,30.644,"SRR9945339",-81.403,30.644,NA,NA,NA,NA,NA,NA
"17",-81.334,30.763,"SRR9945340",-81.334,30.763,NA,NA,NA,NA,NA,NA
"18",-79.799,32.677,"SRR9945341",-79.799,32.677,NA,NA,NA,NA,NA,NA
"19",-79.942,32.598,"SRR9945342",-79.942,32.598,NA,NA,NA,NA,NA,NA
"20",-80.909,31.76,"SRR9945343",-80.909,31.76,NA,NA,NA,NA,NA,NA
"21",-79.798,32.677,"SRR9945344",-79.798,32.677,NA,NA,NA,NA,NA,NA
"22",-81.212,31.26,"SRR9945345",-81.212,31.26,NA,NA,NA,NA,NA,NA
"23",-81.025,31.726,"SRR9945346",-81.025,31.726,NA,NA,NA,NA,NA,NA
"24",-81.21,31.232,"SRR9945347",-81.21,31.232,NA,NA,NA,NA,NA,NA
"25",-81.2095,31.232,"SRR9945348",-81.2095,31.232,NA,NA,NA,NA,NA,NA
"26",-80.826,24.914,"SRR9945349",-80.826,24.914,NA,NA,NA,NA,NA,NA
"27",-80.815,24.93,"SRR9945350",-80.815,24.93,NA,NA,NA,NA,NA,NA
"28",-80.809,24.927,"SRR9945351",-80.809,24.927,NA,NA,NA,NA,NA,NA
"29",-80.819,24.916,"SRR9945352",-80.819,24.916,NA,NA,NA,NA,NA,NA
"30",-80.822,24.924,"SRR9945353",-80.822,24.924,NA,NA,NA,NA,NA,NA
"31",-80.819,24.924,"SRR9945354",-80.819,24.924,NA,NA,NA,NA,NA,NA
"32",-80.814,24.919,"SRR9945355",-80.814,24.919,NA,NA,NA,NA,NA,NA
"33",-80.841,24.911,"SRR9945356",-80.841,24.911,NA,NA,NA,NA,NA,NA
"34",-80.814,24.92,"SRR9945357",-80.814,24.92,NA,NA,NA,NA,NA,NA
"35",-80.812,24.923,"SRR9945358",-80.812,24.923,NA,NA,NA,NA,NA,NA
"36",-80.242,32.479,"SRR9945359",-80.242,32.479,NA,NA,NA,NA,NA,NA
"37",-80.209,32.475,"SRR9945360",-80.209,32.475,NA,NA,NA,NA,NA,NA
"38",-80.831,24.913,"SRR9945361",-80.831,24.913,NA,NA,NA,NA,NA,NA
"39",-80.84,24.923,"SRR9945362",-80.84,24.923,NA,NA,NA,NA,NA,NA
"40",-80.817,24.92,"SRR9945363",-80.817,24.92,NA,NA,NA,NA,NA,NA
"41",-80.843,24.921,"SRR9945364",-80.843,24.921,NA,NA,NA,NA,NA,NA
"42",-80.7654,32.073,"SRR9945365",-80.7654,32.073,NA,NA,NA,NA,NA,NA
"43",-80.439,32.265,"SRR9945366",-80.439,32.265,NA,NA,NA,NA,NA,NA
"44",-80.828,24.902,"SRR9945367",-80.828,24.902,NA,NA,NA,NA,NA,NA
"45",-80.742,32.024,"SRR9945368",-80.742,32.024,NA,NA,NA,NA,NA,NA
