"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",31.09,70.23,"SRR10085269",31.09,70.23,NA,NA,NA,NA,NA,NA
"2",31.09,70.23,"SRR10085270",31.09,70.23,NA,NA,NA,NA,NA,NA
"3",-2.56,56.19,"SRR10085271",-2.56,56.19,NA,NA,NA,NA,NA,NA
"4",-2.56,56.19,"SRR10085272",-2.56,56.19,NA,NA,NA,NA,NA,NA
"5",-2.56,56.19,"SRR10085273",-2.56,56.19,NA,NA,NA,NA,NA,NA
"6",-2.56,56.19,"SRR10085274",-2.56,56.19,NA,NA,NA,NA,NA,NA
"7",-2.56,56.19,"SRR10085275",-2.56,56.19,NA,NA,NA,NA,NA,NA
"8",-5.3,51.74,"SRR10085276",-5.3,51.74,NA,NA,NA,NA,NA,NA
"9",-5.3,51.74,"SRR10085277",-5.3,51.74,NA,NA,NA,NA,NA,NA
"10",-5.3,51.74,"SRR10085278",-5.3,51.74,NA,NA,NA,NA,NA,NA
"11",-24.25,65.3,"SRR10085280",-24.25,65.3,NA,NA,NA,NA,NA,NA
"12",-24.25,65.3,"SRR10085281",-24.25,65.3,NA,NA,NA,NA,NA,NA
"13",-24.25,65.3,"SRR10085282",-24.25,65.3,NA,NA,NA,NA,NA,NA
"14",-56.2437488423782,53.6532048907003,"SRR10085283",-56.32,53.56,-56.2437488423782,53.6031863653205,-56.2437488423782,53.6532048907003,11.5362634399815,5.56700948313421
"15",-56.2437488423782,53.6532048907003,"SRR10085284",-56.32,53.56,-56.2437488423782,53.6031863653205,-56.2437488423782,53.6532048907003,11.5362634399815,5.56700948313421
"16",-56.2437488423782,53.6532048907003,"SRR10085285",-56.32,53.56,-56.2437488423782,53.6031863653205,-56.2437488423782,53.6532048907003,11.5362634399815,5.56700948313421
"17",-53.178445,49.755878,"SRR10085286",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"18",-53.178445,49.755878,"SRR10085287",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"19",-53.0311121423956,47.9484271599385,"SRR10085288",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"20",-53.0311121423956,47.9484271599385,"SRR10085289",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"21",-53.178445,49.755878,"SRR10085290",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"22",-2.56,56.19,"SRR10085291",-2.56,56.19,NA,NA,NA,NA,NA,NA
"23",-2.56,56.19,"SRR10085292",-2.56,56.19,NA,NA,NA,NA,NA,NA
"24",-2.56,56.19,"SRR10085293",-2.56,56.19,NA,NA,NA,NA,NA,NA
"25",-2.56,56.19,"SRR10085294",-2.56,56.19,NA,NA,NA,NA,NA,NA
"26",-2.56,56.19,"SRR10085295",-2.56,56.19,NA,NA,NA,NA,NA,NA
"27",-2.56,56.19,"SRR10085296",-2.56,56.19,NA,NA,NA,NA,NA,NA
"28",-5.3,51.74,"SRR10085297",-5.3,51.74,NA,NA,NA,NA,NA,NA
"29",-53.0311121423956,47.9484271599385,"SRR10085298",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"30",-53.178445,49.755878,"SRR10085299",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"31",-53.178445,49.755878,"SRR10085300",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"32",-53.178445,49.755878,"SRR10085301",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"33",-53.0311121423956,47.9484271599385,"SRR10085302",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"34",-53.0311121423956,47.9484271599385,"SRR10085303",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"35",-2.56,56.19,"SRR10085304",-2.56,56.19,NA,NA,NA,NA,NA,NA
"36",-2.56,56.19,"SRR10085305",-2.56,56.19,NA,NA,NA,NA,NA,NA
"37",-2.56,56.19,"SRR10085306",-2.56,56.19,NA,NA,NA,NA,NA,NA
"38",-5.3,51.74,"SRR10085307",-5.3,51.74,NA,NA,NA,NA,NA,NA
"39",-5.3,51.74,"SRR10085308",-5.3,51.74,NA,NA,NA,NA,NA,NA
"40",-53.0311121423956,47.9484271599385,"SRR10085309",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"41",-5.3,51.74,"SRR10085310",-5.3,51.74,NA,NA,NA,NA,NA,NA
"42",-5.3,51.74,"SRR10085312",-5.3,51.74,NA,NA,NA,NA,NA,NA
"43",-5.3,51.74,"SRR10085323",-5.3,51.74,NA,NA,NA,NA,NA,NA
"44",-5.3,51.74,"SRR10085334",-5.3,51.74,NA,NA,NA,NA,NA,NA
"45",-24.25,65.3,"SRR10085345",-24.25,65.3,NA,NA,NA,NA,NA,NA
"46",-24.25,65.3,"SRR10085356",-24.25,65.3,NA,NA,NA,NA,NA,NA
"47",-24.25,65.3,"SRR10085367",-24.25,65.3,NA,NA,NA,NA,NA,NA
"48",-56.2437488423782,53.6532048907003,"SRR10085378",-56.32,53.56,-56.2437488423782,53.6031863653205,-56.2437488423782,53.6532048907003,11.5362634399815,5.56700948313421
"49",-56.2437488423782,53.6532048907003,"SRR10085389",-56.32,53.56,-56.2437488423782,53.6031863653205,-56.2437488423782,53.6532048907003,11.5362634399815,5.56700948313421
"50",-53.178445,49.755878,"SRR10085400",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"51",-53.0311121423956,47.9484271599385,"SRR10085401",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"52",-53.178445,49.755878,"SRR10085412",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"53",-53.178445,49.755878,"SRR10085423",-53.178445,49.755878,NA,NA,NA,NA,NA,NA
"54",15.18,55.32,"SRR10085425",15.18,55.32,NA,NA,NA,NA,NA,NA
"55",15.18,55.32,"SRR10085426",15.18,55.32,NA,NA,NA,NA,NA,NA
"56",15.18,55.32,"SRR10085427",15.18,55.32,NA,NA,NA,NA,NA,NA
"57",15.18,55.32,"SRR10085428",15.18,55.32,NA,NA,NA,NA,NA,NA
"58",32.1726245601037,69.6562333875671,"SRR10085429",32.17,69.58,32.1726245601037,69.6562333875671,32.1726245601037,69.6562333875671,8.50497337237796,0
"59",32.1726245601037,69.6562333875671,"SRR10085430",32.17,69.58,32.1726245601037,69.6562333875671,32.1726245601037,69.6562333875671,8.50497337237796,0
"60",-53.0311121423956,47.9484271599385,"SRR10085434",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"61",-53.0311121423956,47.9484271599385,"SRR10085445",-53.044682,47.954111,-53.0311121423956,47.9484271599385,-53.0311121423956,47.9484271599385,1.19448968755437,0
"62",15.18,55.32,"SRR10085447",15.18,55.32,NA,NA,NA,NA,NA,NA
"63",15.18,55.32,"SRR10085448",15.18,55.32,NA,NA,NA,NA,NA,NA
"64",15.18,55.32,"SRR10085449",15.18,55.32,NA,NA,NA,NA,NA,NA
"65",32.1726245601037,69.6562333875671,"SRR10085450",32.17,69.58,32.1726245601037,69.6562333875671,32.1726245601037,69.6562333875671,8.50497337237796,0
"66",32.1726245601037,69.6562333875671,"SRR10085451",32.17,69.58,32.1726245601037,69.6562333875671,32.1726245601037,69.6562333875671,8.50497337237796,0
"67",32.1726245601037,69.6562333875671,"SRR10085452",32.17,69.58,32.1726245601037,69.6562333875671,32.1726245601037,69.6562333875671,8.50497337237796,0
