"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR10168274",-88,27.96,NA,NA,NA,NA,NA,NA,-88,27.96
"2","SRR10168275",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"3","SRR10168276",-87.5,29,NA,NA,NA,NA,NA,NA,-87.5,29
"4","SRR10168277",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"5","SRR10168283",-88.01,28,NA,NA,NA,NA,NA,NA,-88.01,28
"6","SRR10168284",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"7","SRR10168285",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"8","SRR10168290",-88.01,28,NA,NA,NA,NA,NA,NA,-88.01,28
"9","SRR10168292",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"10","SRR10168294",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"11","SRR10168298",-86.9,27.46,NA,NA,NA,NA,NA,NA,-86.9,27.46
"12","SRR10168300",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"13","SRR10168301",-87.53,28.51,NA,NA,NA,NA,NA,NA,-87.53,28.51
"14","SRR10168302",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"15","SRR10168306",-87.95,26.99,NA,NA,NA,NA,NA,NA,-87.95,26.99
"16","SRR10168308",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"17","SRR10168311",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"18","SRR10168313",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"19","SRR10168319",-87.98,27.02,NA,NA,NA,NA,NA,NA,-87.98,27.02
"20","SRR10168320",-87.46,28,NA,NA,NA,NA,NA,NA,-87.46,28
"21","SRR10168322",-87.46,28,NA,NA,NA,NA,NA,NA,-87.46,28
"22","SRR10168323",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"23","SRR10168330",-87.52,28.51,NA,NA,NA,NA,NA,NA,-87.52,28.51
"24","SRR10168331",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"25","SRR10168332",-87.53,28.51,NA,NA,NA,NA,NA,NA,-87.53,28.51
"26","SRR10168333",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"27","SRR10168336",-88,28,NA,NA,NA,NA,NA,NA,-88,28
"28","SRR10168337",-87.3,28.3,NA,NA,NA,NA,NA,NA,-87.3,28.3
"29","SRR10168341",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"30","SRR10168342",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"31","SRR10168343",-87.46,28,NA,NA,NA,NA,NA,NA,-87.46,28
"32","SRR10168344",-87.53,28.51,NA,NA,NA,NA,NA,NA,-87.53,28.51
"33","SRR10168345",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"34","SRR10168352",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"35","SRR10168354",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"36","SRR10168355",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"37","SRR10168362",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"38","SRR10168363",-88.5,28,NA,NA,NA,NA,NA,NA,-88.5,28
"39","SRR10168364",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
"40","SRR10168366",-87.5,29,NA,NA,NA,NA,NA,NA,-87.5,29
"41","SRR10168367",-67.5,40,NA,NA,NA,NA,NA,NA,-67.5,40
