"","x","y","run_acc_sra","x.orig","y.orig"
"1",-87,27.99,"SRR10168278",-87,27.99
"2",-88.5,28,"SRR10168280",-88.5,28
"3",-67.5,40,"SRR10168282",-67.5,40
"4",-86.98,27.01,"SRR10168288",-86.98,27.01
"5",-87.5,29,"SRR10168289",-87.5,29
"6",-88.02,28.53,"SRR10168291",-88.02,28.53
"7",-67.5,40,"SRR10168295",-67.5,40
"8",-67.5,40,"SRR10168299",-67.5,40
"9",-89,27.52,"SRR10168303",-89,27.52
"10",-86.49,27.49,"SRR10168307",-86.49,27.49
"11",-87.99,28.52,"SRR10168312",-87.99,28.52
"12",-87,26.94,"SRR10168315",-87,26.94
"13",-87.02,27.93,"SRR10168318",-87.02,27.93
"14",-87.3,28.3,"SRR10168324",-87.3,28.3
"15",-86.96,27.93,"SRR10168325",-86.96,27.93
"16",-88.5,27,"SRR10168334",-88.5,27
"17",-87.97,27.49,"SRR10168335",-87.97,27.49
"18",-89.04,26.89,"SRR10168338",-89.04,26.89
"19",-67.5,40,"SRR10168339",-67.5,40
"20",-88,27.99,"SRR10168346",-88,27.99
"21",-88.5,27.01,"SRR10168347",-88.5,27.01
"22",-87,27.99,"SRR10168353",-87,27.99
"23",-86.99,27,"SRR10168356",-86.99,27
"24",-88.5,27.01,"SRR10168357",-88.5,27.01
"25",-86.98,27.01,"SRR10168365",-86.98,27.01
