"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR12037068",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"2","SRR12037069",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"3","SRR12037070",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"4","SRR12037071",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"5","SRR12037072",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"6","SRR12037073",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"7","SRR12037074",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"8","SRR12037075",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"9","SRR12037076",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"10","SRR12037077",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"11","SRR12037078",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"12","SRR12037079",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"13","SRR12037080",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"14","SRR12037081",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"15","SRR12037082",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"16","SRR12037083",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"17","SRR12037084",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"18","SRR12037085",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"19","SRR12037086",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"20","SRR12037087",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"21","SRR12037088",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"22","SRR12037089",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"23","SRR12037090",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"24","SRR12037091",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"25","SRR12037092",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"26","SRR12037093",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"27","SRR12037094",39.93358333,19.84335,NA,NA,NA,NA,NA,NA,39.93358333,19.84335
"28","SRR12037095",39.95683333,19.78848333,NA,NA,NA,NA,NA,NA,39.95683333,19.78848333
"29","SRR12037096",39.8922333,19.76643333,NA,NA,NA,NA,NA,NA,39.8922333,19.76643333
"30","SRR12037097",39.89853333,19.82893333,NA,NA,NA,NA,NA,NA,39.89853333,19.82893333
"31","SRR12037098",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"32","SRR12037099",39.93358333,19.84335,NA,NA,NA,NA,NA,NA,39.93358333,19.84335
"33","SRR12037100",39.93358333,19.84335,NA,NA,NA,NA,NA,NA,39.93358333,19.84335
"34","SRR12037101",39.89853333,19.82893333,NA,NA,NA,NA,NA,NA,39.89853333,19.82893333
"35","SRR12037102",39.89853333,19.82893333,NA,NA,NA,NA,NA,NA,39.89853333,19.82893333
"36","SRR12037103",39.89853333,19.82893333,NA,NA,NA,NA,NA,NA,39.89853333,19.82893333
"37","SRR12037104",39.8922333,19.76643333,NA,NA,NA,NA,NA,NA,39.8922333,19.76643333
"38","SRR12037105",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"39","SRR12037106",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"40","SRR12037107",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"41","SRR12037108",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"42","SRR12037109",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"43","SRR12037110",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"44","SRR12037111",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"45","SRR12037112",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"46","SRR12037113",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"47","SRR12037114",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"48","SRR12037115",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"49","SRR12037116",38.94953,22.193744,NA,NA,NA,NA,NA,NA,38.94953,22.193744
"50","SRR12037117",39.93358333,19.84335,NA,NA,NA,NA,NA,NA,39.93358333,19.84335
"51","SRR12037118",39.91105,19.751297,NA,NA,NA,NA,NA,NA,39.91105,19.751297
"52","SRR12037119",38.995161,22.430606,NA,NA,NA,NA,NA,NA,38.995161,22.430606
"53","SRR12037120",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"54","SRR12037121",39.91105,19.751297,NA,NA,NA,NA,NA,NA,39.91105,19.751297
"55","SRR12037122",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"56","SRR12037123",39.89853333,19.82893333,NA,NA,NA,NA,NA,NA,39.89853333,19.82893333
"57","SRR12037124",39.89853333,19.82893333,NA,NA,NA,NA,NA,NA,39.89853333,19.82893333
"58","SRR12037125",39.89853333,19.82893333,NA,NA,NA,NA,NA,NA,39.89853333,19.82893333
"59","SRR12037126",39.89853333,19.82893333,NA,NA,NA,NA,NA,NA,39.89853333,19.82893333
"60","SRR12037127",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"61","SRR12037128",38.773231,22.071839,NA,NA,NA,NA,NA,NA,38.773231,22.071839
"62","SRR12037129",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"63","SRR12037130",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"64","SRR12037131",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"65","SRR12037132",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"66","SRR12037133",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"67","SRR12037134",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"68","SRR12037135",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"69","SRR12037136",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"70","SRR12037137",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"71","SRR12037138",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"72","SRR12037139",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"73","SRR12037140",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"74","SRR12037141",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"75","SRR12037142",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"76","SRR12037143",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"77","SRR12037144",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"78","SRR12037145",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"79","SRR12037146",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"80","SRR12037147",38.851644,22.3285,NA,NA,NA,NA,NA,NA,38.851644,22.3285
"81","SRR12037148",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"82","SRR12037149",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"83","SRR12037150",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"84","SRR12037151",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"85","SRR12037152",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"86","SRR12037153",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
"87","SRR12037154",38.963594,22.266064,NA,NA,NA,NA,NA,NA,38.963594,22.266064
