"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","SRR12217751",-171.38,56.4,NA,NA,NA,NA,NA,NA,-171.38,56.4
"2","SRR12217762",-171.38,56.4,NA,NA,NA,NA,NA,NA,-171.38,56.4
"3","SRR12217770",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"4","SRR12217771",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"5","SRR12217772",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"6","SRR12217773",-171.38,56.4,NA,NA,NA,NA,NA,NA,-171.38,56.4
"7","SRR12217774",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"8","SRR12217775",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"9","SRR12217776",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"10","SRR12217777",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"11","SRR12217778",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"12","SRR12217779",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"13","SRR12217780",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"14","SRR12217781",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"15","SRR12217782",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"16","SRR12217783",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"17","SRR12217784",-171.38,56.4,NA,NA,NA,NA,NA,NA,-171.38,56.4
"18","SRR12217785",-171.38,56.4,NA,NA,NA,NA,NA,NA,-171.38,56.4
"19","SRR12217786",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"20","SRR12217787",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"21","SRR12217788",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"22","SRR12217789",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"23","SRR12217790",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"24","SRR12217791",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"25","SRR12217792",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"26","SRR12217793",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"27","SRR12217794",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"28","SRR12217795",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"29","SRR12217796",-171.38,56.4,NA,NA,NA,NA,NA,NA,-171.38,56.4
"30","SRR12217797",-165.67,54.8,NA,NA,NA,NA,NA,NA,-165.67,54.8
"31","SRR12217802",177.52,51.77,NA,NA,NA,NA,NA,NA,177.52,51.77
"32","SRR12217803",172.42,52.1,NA,NA,NA,NA,NA,NA,172.42,52.1
"33","SRR12217804",172.42,52.1,NA,NA,NA,NA,NA,NA,172.42,52.1
"34","SRR12217805",172.42,52.1,NA,NA,NA,NA,NA,NA,172.42,52.1
"35","SRR12217807",-171.38,56.4,NA,NA,NA,NA,NA,NA,-171.38,56.4
"36","SRR12217809",177.62,59.38,NA,NA,NA,NA,NA,NA,177.62,59.38
"37","SRR12217810",177.6,59.39,NA,NA,NA,NA,NA,NA,177.6,59.39
"38","SRR12217811",177.6,59.39,NA,NA,NA,NA,NA,NA,177.6,59.39
"39","SRR12217812",177.6,59.39,NA,NA,NA,NA,NA,NA,177.6,59.39
"40","SRR12217813",177.6,59.39,NA,NA,NA,NA,NA,NA,177.6,59.39
"41","SRR12217814",177.6,59.39,NA,NA,NA,NA,NA,NA,177.6,59.39
