"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif2",-29.63,43.55,"","PRESENT"
"gbif3",-71.07,34.98,"","PRESENT"
"gbif4",-56.5,37.17,"","PRESENT"
"gbif5",-47.8,41.48,"","PRESENT"
"gbif7",-64.6083,32.2,"","PRESENT"
"gbif8",-71.0667,39.7417,"","PRESENT"
"gbif9",-64.33,34.17,"","PRESENT"
"gbif10",-71.07,34.98,"","PRESENT"
"gbif11",-65.8,32.5,"","PRESENT"
"gbif12",-49.37,41.3,"","PRESENT"
"gbif13",-63.92,33.83,"","PRESENT"
"gbif14",-37.33,47.67,"","PRESENT"
"gbif17",-43.48,41.47,"","PRESENT"
"gbif18",-71.7167,39.4958,"","PRESENT"
"gbif19",-29.9,52,"","PRESENT"
"gbif20",-78.7667,28.6667,"","PRESENT"
"gbif22",-69.3389,39.6833,"","PRESENT"
"gbif23",-72.6333,38.7333,"","PRESENT"
"gbif25",-35.33,50,"","PRESENT"
"gbif31",-65.8083,18.6028,"","PRESENT"
"gbif33",-66.08,30.45,"","PRESENT"
"gbif35",-78.55,28.35,"","PRESENT"
"gbif36",-65.28,18.65,"","PRESENT"
"gbif37",-71.67,38.22,"","PRESENT"
"gbif39",-45.95,41.5,"","PRESENT"
"gbif40",-65.8,32.5,"","PRESENT"
"gbif41",-45.95,41.5,"","PRESENT"
"gbif44",-81.4167,13.025,"","PRESENT"
"gbif46",-87.9375,28.0833,"","PRESENT"
"gbif47",-73.47,32.48,"","PRESENT"
"gbif48",-79.6083,29.275,"","PRESENT"
"gbif49",-27,50,"","PRESENT"
"gbif50",-30.32,37.78,"","PRESENT"
"gbif51",-62.963333,42.7885,"","PRESENT"
"gbif52",-62.368333,42.662167,"","PRESENT"
"gbif53",-62.7815,42.723,"","PRESENT"
"gbif54",-62.37,42.839,"","PRESENT"
"gbif55",-61.986667,42.845,"","PRESENT"
"gbif56",-63.030833,42.705833,"","PRESENT"
"gbif57",-66.9625,42.622833,"","PRESENT"
"gbif58",-63.879167,42.547667,"","PRESENT"
"gbif59",-63.866167,42.686333,"","PRESENT"
"gbif60",-63.506667,42.649167,"","PRESENT"
"gbif61",-5.535944,54.75163,"","PRESENT"
"gbif62",-5.556739,54.73913,"","PRESENT"
"gbif63",-5.547147,54.73022,"","PRESENT"
"gbif64",-5.535944,54.75163,"","PRESENT"
"gbif65",-5.556739,54.73913,"","PRESENT"
"gbif66",-5.556739,54.73913,"","PRESENT"
"gbif67",-5.535944,54.75163,"","PRESENT"
"gbif68",-7.7,36.97,"","PRESENT"
"gbif69",-9,38,"","PRESENT"
"gbif70",-8.2833,36.75,"","PRESENT"
"gbif71",-7.6333,36.7,"","PRESENT"
"gbif72",-7.8333,36.62,"","PRESENT"
"gbif73",-9,41.08,"","PRESENT"
"gbif74",-9.25,41.08,"","PRESENT"
"gbif75",-9.083,38,"","PRESENT"
"gbif76",-8.05,36.53,"","PRESENT"
"gbif77",-8.05,36.78,"","PRESENT"
"gbif78",-8.05,36.7,"","PRESENT"
"gbif79",-9.25,40.08,"","PRESENT"
"gbif80",-9.4167,40.08,"","PRESENT"
"gbif81",-9.4167,40.08,"","PRESENT"
"gbif82",-8.4,36.67,"","PRESENT"
"gbif83",-9.6,40.17,"","PRESENT"
"gbif84",-9.0833,38,"","PRESENT"
"gbif85",-9.1833,37.57,"","PRESENT"
"gbif86",-7.7,36.8,"","PRESENT"
"gbif87",-7.6333,36.62,"","PRESENT"
"gbif88",-8.583,36.92,"","PRESENT"
"gbif89",-9.3833,41.83,"","PRESENT"
"gbif90",-7.9833,36.8,"","PRESENT"
"gbif91",-7.9833,36.8,"","PRESENT"
"gbif92",-7.8167,36.8,"","PRESENT"
"gbif93",-10.175,46.24167,"","PRESENT"
"gbif94",-10.175,46.24167,"","PRESENT"
"gbif95",-7.83,36.5,"","PRESENT"
"gbif96",-9.07,36.55,"","PRESENT"
"gbif97",-72.1583,39.2047,"","PRESENT"
"gbif98",-73.1583,36.7833,"","PRESENT"
"gbif99",-76.3958,24.5119,"","PRESENT"
"gbif100",-76.675,32.6667,"","PRESENT"
"gbif101",-75.605555,33.368888,"","PRESENT"
"gbif102",-80.088333,29.498333,"","PRESENT"
"gbif103",-83.600277,23.809722,"","PRESENT"
"gbif106",-67.3103,44.5723,"","PRESENT"
"gbif107",-6.732,35.537,"","PRESENT"
"gbif116",-87.01,28.01,"","PRESENT"
"gbif117",-87.009,29,"","PRESENT"
"gbif118",-69.96,33.52,"","PRESENT"
"gbif119",-9.07,36.55,"","PRESENT"
"gbif120",-9.07,36.55,"","PRESENT"
"gbif121",-69.96,33.52,"","PRESENT"
"gbif122",-87,26.94,"","PRESENT"
"gbif123",-87.02,26.93,"","PRESENT"
"gbif124",-87.1,27.01,"","PRESENT"
"gbif125",-69.96,33.52,"","PRESENT"
"gbif126",-86.95,29.91,"","PRESENT"
"gbif127",-17.01,24.55,"","PRESENT"
"gbif134",-58.7647,43.7319,"","PRESENT"
"gbif135",-58.7647,43.7319,"","PRESENT"
"gbif136",-58.9156,43.847,"","PRESENT"
"gbif137",-59,43.3,"","PRESENT"
"gbif138",5.7329,-26.22,"","PRESENT"
"gbif139",5.5027,-26.398,"","PRESENT"
"gbif140",5.7893,-25.3458,"","PRESENT"
"gbif141",6.1437,-25.487,"","PRESENT"
"gbif142",8.3157,-23.232,"","PRESENT"
"gbif143",-62.1747,42.74472,"","PRESENT"
"gbif144",-65.1503,42.108055,"","PRESENT"
"gbif145",-63.4503,42.537498,"","PRESENT"
"gbif146",-63.1517,42.551388,"","PRESENT"
"gbif147",-62.2514,42.57111,"","PRESENT"
"gbif148",-67.5167,42.599998,"","PRESENT"
"gbif149",-64.9161,42.128887,"","PRESENT"
"gbif150",-63.5167,42.683334,"","PRESENT"
"gbif151",-64.5006,42.349724,"","PRESENT"
"gbif152",-59.0333,40.266666,"","PRESENT"
"gbif153",-54.9,44.083332,"","PRESENT"
"gbif154",-54.0333,44,"","PRESENT"
"gbif155",-56.55,41.016666,"","PRESENT"
"gbif156",-57.55,43.483334,"","PRESENT"
"gbif157",-65.8833,41.533333,"","PRESENT"
"gbif158",-60.6667,42.966667,"","PRESENT"
"gbif159",-57.0667,41.166668,"","PRESENT"
"gbif160",-55,42.166668,"","PRESENT"
"gbif161",-55.25,42,"","PRESENT"
"gbif162",-60.0333,42.549999,"","PRESENT"
"gbif163",-60,43.333332,"","PRESENT"
"gbif164",-54.6,44.083332,"","PRESENT"
"gbif165",-58,43.366665,"","PRESENT"
"gbif166",-57.1167,30.9,"","PRESENT"
