"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-158.124209,21.334687,"","PRESENT"
"gbif2",-158.380285,21.472126,"","PRESENT"
"gbif3",-157.864003,21.288631,"","PRESENT"
"gbif4",134.237276,7.102554,"","PRESENT"
"gbif5",-156.331925,20.798363,"","PRESENT"
"gbif6",119.562441,-8.544636,"","PRESENT"
"gbif7",-156.009343,19.811548,"","PRESENT"
"gbif8",119.633118,-8.557167,"","PRESENT"
"gbif9",-156.496275,20.633161,"","PRESENT"
"gbif10",118.633323,4.121438,"","PRESENT"
"gbif11",-156.496406,20.632772,"","PRESENT"
"gbif12",166.442803,-22.533597,"","PRESENT"
"gbif13",-155.967353,19.579258,"","PRESENT"
"gbif14",125.65,7.10418,"","PRESENT"
"gbif15",167.506499,11.375686,"","PRESENT"
"gbif16",141.48,25.344,"","PRESENT"
"gbif17",118.633323,4.121438,"","PRESENT"
"gbif18",-158.061944,21.651112,"","PRESENT"
"gbif19",151.29624,-33.800236,"","PRESENT"
"gbif20",-155.880164,19.933534,"","PRESENT"
"gbif21",-158.233412,21.526986,"","PRESENT"
"gbif22",-155.87946,19.933806,"","PRESENT"
"gbif23",-155.879679,19.934632,"","PRESENT"
"gbif24",-155.83715,19.978551,"","PRESENT"
"gbif25",151.296497,-33.800285,"","PRESENT"
"gbif26",151.294679,-33.800626,"","PRESENT"
"gbif27",151.295703,-33.800285,"","PRESENT"
"gbif28",151.296654,-33.799542,"","PRESENT"
"gbif29",151.158092,-34.0708,"","PRESENT"
"gbif30",151.295988,-33.7992,"","PRESENT"
"gbif31",151.281125,-33.799585,"","PRESENT"
"gbif32",-156.445389,20.630117,"","PRESENT"
"gbif33",-156.445389,20.630117,"","PRESENT"
"gbif34",153.549436,-28.169986,"","PRESENT"
"gbif35",151.281094,-33.799577,"","PRESENT"
"gbif36",-155.861655,19.952231,"","PRESENT"
"gbif37",-155.91127,19.425238,"","PRESENT"
"gbif38",151.281236,-33.799554,"","PRESENT"
"gbif39",151.295029,-33.800549,"","PRESENT"
"gbif40",151.294706,-33.800662,"","PRESENT"
"gbif41",152.151271,-32.714704,"","PRESENT"
"gbif42",151.281029,-33.799559,"","PRESENT"
"gbif43",151.281298,-33.799577,"","PRESENT"
"gbif44",-156.043056,19.691111,"","PRESENT"
"gbif45",151.295332,-33.800374,"","PRESENT"
"gbif46",151.297921,-33.80055,"","PRESENT"
"gbif47",153.566667,-27.4,"","PRESENT"
"gbif48",151.281095,-33.799551,"","PRESENT"
"gbif49",151.293135,-33.799648,"","PRESENT"
"gbif50",-155.013356,19.735805,"","PRESENT"
"gbif51",-158.234898,21.533301,"","PRESENT"
"gbif52",121.517037,22.085387,"","PRESENT"
"gbif53",-156.055299,19.734988,"","PRESENT"
"gbif54",-155.862291,19.951842,"","PRESENT"
"gbif55",-156.693792,20.93635,"","PRESENT"
"gbif56",-159.45522,21.872227,"","PRESENT"
"gbif57",-156.639005,21.015029,"","PRESENT"
"gbif58",-159.47651,21.881476,"","PRESENT"
"gbif59",-155.863096,19.952542,"","PRESENT"
"gbif60",-156.69296,20.941463,"","PRESENT"
"gbif61",-156.494896,20.632242,"","PRESENT"
"gbif62",-158.233954,21.529609,"","PRESENT"
"gbif63",-155.977147,19.497794,"","PRESENT"
"gbif64",-155.911558,19.423191,"","PRESENT"
"gbif65",151.297181,-33.799958,"","PRESENT"
"gbif66",151.281327,-33.799566,"","PRESENT"
