"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-91.972778,20.219222,"","PRESENT"
"gbif2",-86.734093,21.23218,"","PRESENT"
"gbif3",-82.944,24.608,"","PRESENT"
"gbif4",-82.8696,24.6206,"","PRESENT"
"gbif5",-82.8696,24.6206,"","PRESENT"
"gbif6",-82.8696,24.6206,"","PRESENT"
"gbif7",-82.8696,24.6206,"","PRESENT"
"gbif8",-82.8696,24.6206,"","PRESENT"
"gbif9",-82.8696,24.6206,"","PRESENT"
"gbif10",-82.8696,24.6206,"","PRESENT"
"gbif11",-82.8696,24.6206,"","PRESENT"
"gbif12",-82.8696,24.6206,"","PRESENT"
"gbif13",-86.746982,21.241094,"","PRESENT"
"gbif14",-65.385592,18.10905,"","PRESENT"
"gbif15",-65.385592,18.10905,"","PRESENT"
"gbif16",-95.941694,19.101124,"","PRESENT"
"gbif17",-82.8696,24.6206,"","PRESENT"
"gbif18",-82.8696,24.6206,"","PRESENT"
"gbif19",-82.8696,24.6206,"","PRESENT"
"gbif20",-82.8696,24.6206,"","PRESENT"
"gbif21",-82.8696,24.6206,"","PRESENT"
"gbif22",-82.8696,24.6206,"","PRESENT"
"gbif23",-82.8696,24.6206,"","PRESENT"
"gbif24",-82.8696,24.6206,"","PRESENT"
"gbif25",-82.8696,24.6206,"","PRESENT"
"gbif26",-82.8696,24.6206,"","PRESENT"
"gbif27",-82.8696,24.6206,"","PRESENT"
"gbif28",-82.8696,24.6206,"","PRESENT"
"gbif29",-82.8696,24.6206,"","PRESENT"
"gbif30",-82.8696,24.6206,"","PRESENT"
"gbif31",-82.8696,24.6206,"","PRESENT"
"gbif32",-82.8696,24.6206,"","PRESENT"
"gbif33",-82.8696,24.6206,"","PRESENT"
"gbif34",-82.8696,24.6206,"","PRESENT"
"gbif35",-82.8696,24.6206,"","PRESENT"
"gbif36",-82.8696,24.6206,"","PRESENT"
"gbif37",-82.8696,24.6206,"","PRESENT"
"gbif38",-82.8696,24.6206,"","PRESENT"
"gbif39",-82.8696,24.6206,"","PRESENT"
"gbif40",-82.8696,24.6206,"","PRESENT"
"gbif41",-82.8696,24.6206,"","PRESENT"
"gbif42",-82.8696,24.6206,"","PRESENT"
"gbif43",-82.8696,24.6206,"","PRESENT"
"gbif44",-82.8696,24.6206,"","PRESENT"
"gbif45",-82.8696,24.6206,"","PRESENT"
"gbif46",-82.8696,24.6206,"","PRESENT"
"gbif47",-82.8696,24.6206,"","PRESENT"
"gbif48",-82.8696,24.6206,"","PRESENT"
"gbif49",-82.8696,24.6206,"","PRESENT"
"gbif50",-82.8696,24.6206,"","PRESENT"
"gbif51",-66.7563,17.9649,"","PRESENT"
"gbif52",-66.7563,17.9649,"","PRESENT"
"gbif53",-66.7563,17.9649,"","PRESENT"
"gbif54",-66.7563,17.9649,"","PRESENT"
"gbif55",-66.7563,17.9649,"","PRESENT"
"gbif56",-66.87385,17.93657,"","PRESENT"
"gbif57",-66.87385,17.93657,"","PRESENT"
"gbif58",-66.87385,17.93657,"","PRESENT"
"gbif59",-66.87385,17.93657,"","PRESENT"
"gbif60",-74.060175,11.331897,"","PRESENT"
"gbif61",-74.060175,11.331897,"","PRESENT"
"gbif62",-74.060175,11.331897,"","PRESENT"
"gbif63",-62.860757,17.899979,"","PRESENT"
"gbif64",-87.375112,20.278434,"","PRESENT"
"gbif65",-64.940002,18.34,"","PRESENT"
"gbif66",-64.940002,18.34,"","PRESENT"
"gbif68",-80.216666,25.216666,"","PRESENT"
"gbif69",-82.8925,24.647777,"","PRESENT"
"gbif70",-69.660655,19.290805,"","PRESENT"
"gbif71",-71.297497,19.850997,"","PRESENT"
"gbif72",-71.37395,19.867989,"","PRESENT"
"gbif73",-59.639687,13.179204,"","PRESENT"
"gbif74",-59.639722,13.179167,"","PRESENT"
"gbif75",-59.640119,13.179224,"","PRESENT"
"gbif76",-59.639789,13.179051,"","PRESENT"
"gbif77",-59.640119,13.179224,"","PRESENT"
"gbif78",-59.640119,13.179224,"","PRESENT"
"gbif79",-59.640119,13.179224,"","PRESENT"
"gbif80",-59.640119,13.179224,"","PRESENT"
"gbif81",-59.640119,13.179224,"","PRESENT"
"gbif82",-59.640119,13.179224,"","PRESENT"
"gbif83",-59.640119,13.179224,"","PRESENT"
"gbif84",-59.640119,13.179224,"","PRESENT"
"gbif85",-59.6401,13.1792,"","PRESENT"
"gbif86",-59.640119,13.179224,"","PRESENT"
"gbif87",-59.640119,13.179224,"","PRESENT"
"gbif88",-59.640119,13.179224,"","PRESENT"
"gbif89",-59.640119,13.179224,"","PRESENT"
"gbif90",-59.640119,13.179224,"","PRESENT"
"gbif91",-59.640119,13.179224,"","PRESENT"
"gbif92",-59.640119,13.179224,"","PRESENT"
"gbif93",-59.640202,13.179233,"","PRESENT"
"gbif94",-71.37395,19.867988,"","PRESENT"
"gbif95",-59.63919,13.179197,"","PRESENT"
"gbif96",-59.640161,13.179393,"","PRESENT"
"gbif97",-71.384067,19.879975,"","PRESENT"
"gbif98",-78.349724,22.540277,"","PRESENT"
"gbif99",-78.349724,22.540277,"","PRESENT"
"gbif100",-78.693054,22.626667,"","PRESENT"
"gbif101",-80.212776,23.151112,"","PRESENT"
"gbif102",-65.264786,18.338383,"","PRESENT"
"gbif103",-80.588608,23.236666,"","PRESENT"
"gbif104",-78.349724,22.540277,"","PRESENT"
"gbif105",-79.363052,22.718334,"","PRESENT"
"gbif106",-78.182831,20.6035,"","PRESENT"
"gbif107",-65.228485,18.299067,"","PRESENT"
"gbif108",-79.755836,22.946667,"","PRESENT"
"gbif109",-78.349724,22.540277,"","PRESENT"
"gbif110",-78.349724,22.540277,"","PRESENT"
"gbif111",-78.182831,20.6035,"","PRESENT"
"gbif112",-78.349724,22.540277,"","PRESENT"
"gbif113",-78.349724,22.540277,"","PRESENT"
"gbif114",-79.755836,22.946667,"","PRESENT"
"gbif115",-78.349724,22.540277,"","PRESENT"
"gbif116",-80.588608,23.236666,"","PRESENT"
"gbif117",-79.755836,22.946667,"","PRESENT"
"gbif118",-78.349724,22.540277,"","PRESENT"
"gbif119",-79.755836,22.946667,"","PRESENT"
"gbif120",-78.349724,22.540277,"","PRESENT"
"gbif121",-79.755836,22.946667,"","PRESENT"
"gbif122",-78.182831,20.6035,"","PRESENT"
"gbif123",-65.248367,18.3311,"","PRESENT"
"gbif124",-79.755836,22.946667,"","PRESENT"
"gbif125",-78.693054,22.626667,"","PRESENT"
"gbif126",-79.363052,22.718334,"","PRESENT"
"gbif127",-78.349724,22.540277,"","PRESENT"
"gbif128",-79.679443,22.893888,"","PRESENT"
"gbif129",-65.264786,18.338383,"","PRESENT"
"gbif130",-87.683333,18.25,"","PRESENT"
"gbif131",-95.83626,19.14174,"","PRESENT"
"gbif132",-82.250583,9.331017,"","PRESENT"
"gbif133",-60.813,11.1764,"","PRESENT"
"gbif134",-97.254839,21.082338,"","PRESENT"
"gbif136",-87.379618,20.278595,"","PRESENT"
"gbif137",-87.315044,20.392503,"","PRESENT"
"gbif138",-81.58,24.67,"","PRESENT"
"gbif139",-81.58,24.67,"","PRESENT"
"gbif140",-81.58,24.67,"","PRESENT"
"gbif141",-81.58,24.67,"","PRESENT"
"gbif142",-88.0758,16.8283,"","PRESENT"
"gbif143",-81.58,24.67,"","PRESENT"
"gbif144",-82.875,14.4217,"","PRESENT"
"gbif145",-81.58,24.67,"","PRESENT"
"gbif146",-81.58,24.67,"","PRESENT"
"gbif147",-64.736667,17.736667,"NATIVE","PRESENT"
"gbif148",-64.736667,17.736667,"NATIVE","PRESENT"
"gbif149",-78.95,9.5667,"","PRESENT"
"gbif150",-78.95,9.5667,"","PRESENT"
"gbif151",-78.95,9.5667,"","PRESENT"
"gbif152",-78.95,9.5667,"","PRESENT"
"gbif153",-78.95,9.5667,"","PRESENT"
"gbif154",-78.95,9.5667,"","PRESENT"
