"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-89.670333,22.367639,"","PRESENT"
"gbif2",-81.414394,13.365517,"","PRESENT"
"gbif3",-81.414394,13.365517,"","PRESENT"
"gbif4",-81.414394,13.365517,"","PRESENT"
"gbif5",-81.414394,13.365517,"","PRESENT"
"gbif6",-81.414394,13.365517,"","PRESENT"
"gbif7",-75.585069,10.308042,"","PRESENT"
"gbif8",-75.770639,10.174861,"","PRESENT"
"gbif9",-75.770639,10.174861,"","PRESENT"
"gbif10",-75.788861,10.170889,"","PRESENT"
"gbif11",-75.770639,10.174861,"","PRESENT"
"gbif12",-75.770639,10.174861,"","PRESENT"
"gbif13",-75.770639,10.174861,"","PRESENT"
"gbif14",-75.770639,10.174861,"","PRESENT"
"gbif15",-81.397067,13.398717,"","PRESENT"
"gbif16",-75.770639,10.174861,"","PRESENT"
"gbif17",-75.770639,10.174861,"","PRESENT"
"gbif18",-81.396967,13.367233,"","PRESENT"
"gbif19",-81.731233,12.513133,"","PRESENT"
"gbif20",-75.770639,10.174861,"","PRESENT"
"gbif21",-77.356667,8.672167,"","PRESENT"
"gbif22",-77.356667,8.672167,"","PRESENT"
"gbif23",-74.128361,11.325611,"","PRESENT"
"gbif24",-75.866139,9.705528,"","PRESENT"
"gbif25",-75.746444,10.234194,"","PRESENT"
"gbif26",-81.733333,12.500417,"","PRESENT"
"gbif27",-74.128611,11.329861,"","PRESENT"
"gbif28",-81.4032,13.371383,"","PRESENT"
"gbif29",-81.414394,13.365517,"","PRESENT"
"gbif30",-75.770639,10.174861,"","PRESENT"
"gbif31",-75.788861,10.170889,"","PRESENT"
"gbif32",-81.414394,13.365517,"","PRESENT"
"gbif33",-81.376278,13.317806,"","PRESENT"
"gbif34",-75.866139,9.705528,"","PRESENT"
"gbif35",-81.733333,12.500417,"","PRESENT"
"gbif36",-64.810045,32.294006,"","PRESENT"
"gbif37",-81.679232,12.543741,"","PRESENT"
"gbif38",-81.711411,12.542809,"","PRESENT"
"gbif39",-81.711411,12.542809,"","PRESENT"
"gbif40",-81.711411,12.542809,"","PRESENT"
"gbif41",-81.679232,12.543741,"","PRESENT"
"gbif42",-81.679232,12.543741,"","PRESENT"
"gbif43",-83.0022,24.6993,"","PRESENT"
"gbif44",-83.0022,24.6993,"","PRESENT"
"gbif45",-83.0022,24.6993,"","PRESENT"
"gbif46",-80.2099,25.2208,"","PRESENT"
"gbif47",-81.8568,24.4532,"","PRESENT"
"gbif48",-81.7142,24.4796,"","PRESENT"
"gbif49",-81.112,24.6223,"","PRESENT"
"gbif50",-81.8056,24.4977,"","PRESENT"
"gbif51",-87.032778,20.436944,"","PRESENT"
"gbif52",-87.316667,20.408333,"","PRESENT"
"gbif53",-87.040278,20.315278,"","PRESENT"
"gbif54",-87.040278,20.315278,"","PRESENT"
"gbif55",-87.040278,20.315278,"","PRESENT"
"gbif56",-87.27,20.454167,"","PRESENT"
"gbif57",-87.013056,20.272778,"","PRESENT"
"gbif58",-81.6659,24.4884,"","PRESENT"
"gbif59",-67.27632,18.16637,"","PRESENT"
"gbif60",-66.88836,17.93626,"","PRESENT"
"gbif61",-74.220074,11.249878,"","PRESENT"
"gbif62",-76.200453,9.392239,"","PRESENT"
"gbif63",-82.879997,26.629999,"","PRESENT"
"gbif64",-82.879997,26.629999,"","PRESENT"
"gbif65",-64.779999,32.32,"","PRESENT"
"gbif66",-64.720001,32.330002,"","PRESENT"
"gbif67",-61.349998,15.42,"","PRESENT"
"gbif68",-59.5,13.17,"","PRESENT"
