"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-81.679232,12.543741,"","PRESENT"
"gbif2",-81.679232,12.543741,"","PRESENT"
"gbif3",-81.679232,12.543741,"","PRESENT"
"gbif4",-81.679232,12.543741,"","PRESENT"
"gbif5",-81.679232,12.543741,"","PRESENT"
"gbif6",-81.679232,12.543741,"","PRESENT"
"gbif7",-81.679232,12.543741,"","PRESENT"
"gbif8",-81.679232,12.543741,"","PRESENT"
"gbif9",-81.679232,12.543741,"","PRESENT"
"gbif10",-81.679232,12.543741,"","PRESENT"
"gbif11",-81.679232,12.543741,"","PRESENT"
"gbif12",-81.679232,12.543741,"","PRESENT"
"gbif13",-81.679232,12.543741,"","PRESENT"
"gbif14",-81.679232,12.543741,"","PRESENT"
"gbif15",-81.679232,12.543741,"","PRESENT"
"gbif16",-81.679232,12.543741,"","PRESENT"
"gbif17",-81.679232,12.543741,"","PRESENT"
"gbif18",-81.679232,12.543741,"","PRESENT"
"gbif19",-81.679232,12.543741,"","PRESENT"
"gbif20",-81.679232,12.543741,"","PRESENT"
"gbif21",-81.679232,12.543741,"","PRESENT"
"gbif22",-81.679232,12.543741,"","PRESENT"
"gbif23",-81.679232,12.543741,"","PRESENT"
"gbif24",-81.679232,12.543741,"","PRESENT"
"gbif25",-81.679232,12.543741,"","PRESENT"
"gbif26",-81.679232,12.543741,"","PRESENT"
"gbif27",-81.679232,12.543741,"","PRESENT"
"gbif28",-81.679232,12.543741,"","PRESENT"
"gbif29",-81.679232,12.543741,"","PRESENT"
"gbif30",-81.679232,12.543741,"","PRESENT"
"gbif31",-81.679232,12.543741,"","PRESENT"
"gbif32",-81.711411,12.542809,"","PRESENT"
"gbif33",-81.711411,12.542809,"","PRESENT"
"gbif34",-81.679232,12.543741,"","PRESENT"
"gbif35",-81.679232,12.543741,"","PRESENT"
"gbif36",-81.679232,12.543741,"","PRESENT"
"gbif37",-81.679232,12.543741,"","PRESENT"
