"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-64.994215,43.976805,"","PRESENT"
"gbif2",-75.918888,36.337389,"","PRESENT"
"gbif3",-65.069198,44.327412,"","PRESENT"
"gbif4",-75.253141,41.739393,"","PRESENT"
"gbif5",-75.194853,41.068348,"","PRESENT"
"gbif6",-97.713165,30.250579,"","PRESENT"
"gbif7",-75.626985,36.086113,"","PRESENT"
"gbif8",-75.220764,40.186487,"","PRESENT"
"gbif9",-81.602956,29.038617,"","PRESENT"
"gbif10",-73.638586,40.633387,"","PRESENT"
"gbif11",-76.559934,43.56325,"","PRESENT"
"gbif12",-77.396271,38.682498,"","PRESENT"
"gbif13",-76.837173,35.530897,"","PRESENT"
"gbif14",-77.000015,38.867692,"","PRESENT"
"gbif15",-73.180561,40.673431,"","PRESENT"
"gbif16",-70.124656,41.29037,"","PRESENT"
"gbif17",-75.572481,39.887193,"","PRESENT"
"gbif18",-75.562596,35.682437,"","PRESENT"
"gbif19",-76.879387,44.073708,"","PRESENT"
"gbif20",-76.504595,38.94081,"","PRESENT"
"gbif21",-77.969921,35.850985,"","PRESENT"
"gbif22",-71.527855,41.318023,"","PRESENT"
"gbif23",-72.580373,42.595331,"","PRESENT"
"gbif24",-73.953217,41.917781,"","PRESENT"
"gbif25",-78.193113,35.790848,"","PRESENT"
"gbif26",-75.087352,38.533427,"","PRESENT"
"gbif27",-74.865325,40.296535,"","PRESENT"
"gbif28",-76.653805,37.551058,"","PRESENT"
"gbif29",-86.531762,30.326769,"","PRESENT"
"gbif30",-73.848193,41.858572,"","PRESENT"
"gbif31",-63.929454,44.539755,"","PRESENT"
"gbif32",-70.097509,41.255484,"","PRESENT"
"gbif33",-70.083143,41.233049,"","PRESENT"
"gbif34",-61.250734,45.97368,"","PRESENT"
"gbif35",-70.098246,41.752655,"","PRESENT"
"gbif36",-75.070587,38.592026,"","PRESENT"
"gbif37",-76.713388,44.133283,"","PRESENT"
"gbif38",-76.438154,37.613738,"","PRESENT"
"gbif39",-80.570531,33.576128,"","PRESENT"
"gbif40",-73.585671,44.923221,"","PRESENT"
"gbif41",-75.8687,36.562277,"","PRESENT"
"gbif42",-73.80171,40.620831,"","PRESENT"
"gbif43",-73.800639,41.505685,"","PRESENT"
"gbif44",-76.559886,39.228724,"","PRESENT"
"gbif45",-74.048006,40.749739,"","PRESENT"
"gbif46",-73.969801,40.620289,"","PRESENT"
"gbif47",-73.780078,45.585206,"","PRESENT"
"gbif48",-78.777928,38.044903,"","PRESENT"
"gbif49",-74.039185,40.737181,"","PRESENT"
"gbif50",-73.850439,40.667188,"","PRESENT"
"gbif51",-76.074288,39.726065,"","PRESENT"
"gbif52",-73.410402,44.912007,"","PRESENT"
"gbif53",-76.037521,39.738722,"","PRESENT"
"gbif54",-74.551087,41.502036,"","PRESENT"
"gbif55",-76.760201,39.420304,"","PRESENT"
"gbif56",-73.885341,41.247417,"","PRESENT"
"gbif57",-81.566022,29.377301,"","PRESENT"
"gbif58",-67.317328,45.271753,"","PRESENT"
"gbif59",-72.787168,40.862036,"","PRESENT"
"gbif60",-70.378359,43.516741,"","PRESENT"
"gbif61",-73.610698,45.332897,"","PRESENT"
"gbif62",-70.666109,41.795934,"","PRESENT"
"gbif63",-66.426834,45.173028,"","PRESENT"
"gbif64",-68.748536,44.240103,"","PRESENT"
"gbif65",-75.522053,35.269772,"","PRESENT"
"gbif66",-74.09758,40.440725,"","PRESENT"
"gbif67",-64.746771,44.122204,"","PRESENT"
"gbif68",-77.964334,33.93636,"","PRESENT"
"gbif69",-63.56659,44.754464,"","PRESENT"
"gbif70",-63.66735,45.188704,"","PRESENT"
"gbif71",-78.524307,35.950527,"","PRESENT"
"gbif72",-78.575334,34.201936,"","PRESENT"
"gbif73",-75.85028,39.873716,"","PRESENT"
"gbif74",-75.937788,38.281898,"","PRESENT"
"gbif75",-61.284705,45.761544,"","PRESENT"
"gbif76",-73.811942,40.926539,"","PRESENT"
"gbif77",-59.81889,46.02103,"","PRESENT"
"gbif78",-76.432532,39.546753,"","PRESENT"
"gbif79",-76.474094,39.29863,"","PRESENT"
"gbif80",-63.774429,44.795697,"","PRESENT"
"gbif81",-78.119834,35.61429,"","PRESENT"
"gbif82",-75.930122,45.281376,"","PRESENT"
"gbif83",-76.859625,40.311528,"","PRESENT"
"gbif84",-77.182071,38.889268,"","PRESENT"
"gbif85",-70.86086,41.782387,"","PRESENT"
"gbif86",-73.0453,41.070797,"","PRESENT"
"gbif87",-63.721146,44.798133,"","PRESENT"
"gbif88",-77.559813,39.111835,"","PRESENT"
"gbif89",-78.632446,35.602063,"","PRESENT"
"gbif90",-70.524504,47.503901,"","PRESENT"
"gbif91",-73.134924,41.234546,"","PRESENT"
"gbif92",-73.917568,41.591557,"","PRESENT"
"gbif93",-97.38729,28.65933,"","PRESENT"
"gbif94",-97.933768,29.890522,"","PRESENT"
"gbif95",-93.544533,31.137217,"","PRESENT"
"gbif96",-97.38729,28.65933,"","PRESENT"
"gbif97",-97.934536,29.890268,"","PRESENT"
"gbif98",-70.3336,47.410614,"","PRESENT"
"gbif99",-70.207169,47.516264,"","PRESENT"
"gbif100",-70.207169,47.516264,"","PRESENT"
"gbif101",-70.207169,47.516264,"","PRESENT"
"gbif102",-66.401,50.2135,"","PRESENT"
"gbif103",-70.698433,46.994467,"","PRESENT"
"gbif104",-61.50647,47.55919,"","PRESENT"
"gbif105",-61.506,47.55,"","PRESENT"
"gbif106",-60.49461,50.22976,"","PRESENT"
"gbif107",-68.279069,48.589744,"","PRESENT"
"gbif108",-70.3336,47.410614,"","PRESENT"
"gbif109",-68.279069,48.589744,"","PRESENT"
"gbif110",-66.51497,50.233,"","PRESENT"
"gbif111",-68.279069,48.589744,"","PRESENT"
"gbif112",-68.279069,48.589744,"","PRESENT"
"gbif113",-68.279069,48.589744,"","PRESENT"
"gbif114",-70.3336,47.410614,"","PRESENT"
"gbif115",-70.3336,47.410614,"","PRESENT"
"gbif116",-68.279069,48.589744,"","PRESENT"
"gbif117",-70.3336,47.410614,"","PRESENT"
"gbif118",-61.506,47.55,"","PRESENT"
"gbif119",-68.279069,48.589744,"","PRESENT"
"gbif120",-64.43853,48.85441,"","PRESENT"
"gbif121",-70.207169,47.516264,"","PRESENT"
"gbif122",-68.279069,48.589744,"","PRESENT"
"gbif123",-68.279069,48.589744,"","PRESENT"
"gbif124",-69.852768,47.582628,"","PRESENT"
"gbif125",-70.207169,47.516264,"","PRESENT"
"gbif126",-70.207169,47.516264,"","PRESENT"
"gbif127",-70.3336,47.410614,"","PRESENT"
"gbif128",-68.279069,48.589744,"","PRESENT"
"gbif129",-70.782417,47.003333,"","PRESENT"
"gbif130",-68.090256,48.645847,"","PRESENT"
"gbif131",-68.279069,48.589744,"","PRESENT"
"gbif132",-70.207169,47.516264,"","PRESENT"
"gbif133",-70.207169,47.516264,"","PRESENT"
"gbif134",-68.279069,48.589744,"","PRESENT"
"gbif135",-70.3336,47.410614,"","PRESENT"
"gbif136",-69.852466,47.584009,"","PRESENT"
"gbif137",-69.852768,47.582628,"","PRESENT"
"gbif138",-68.279069,48.589744,"","PRESENT"
"gbif139",-70.207169,47.516264,"","PRESENT"
"gbif140",-68.279069,48.589744,"","PRESENT"
"gbif141",-70.3336,47.410614,"","PRESENT"
"gbif142",-66.401,50.2135,"","PRESENT"
"gbif143",-64.384292,48.784542,"","PRESENT"
"gbif144",-64.38367,48.78456,"","PRESENT"
"gbif145",-70.207169,47.516264,"","PRESENT"
"gbif146",-70.207169,47.516264,"","PRESENT"
"gbif147",-68.279069,48.589744,"","PRESENT"
"gbif148",-70.207169,47.516264,"","PRESENT"
"gbif149",-68.279069,48.589744,"","PRESENT"
"gbif150",-70.207169,47.516264,"","PRESENT"
"gbif151",-68.279069,48.589744,"","PRESENT"
"gbif152",-64.43915,48.85347,"","PRESENT"
"gbif153",-60.49455,50.22692,"","PRESENT"
"gbif154",-64.43902,48.854625,"","PRESENT"
"gbif155",-70.3336,47.410614,"","PRESENT"
"gbif156",-68.279069,48.589744,"","PRESENT"
"gbif157",-70.3336,47.410614,"","PRESENT"
"gbif158",-70.207169,47.516264,"","PRESENT"
"gbif159",-68.279069,48.589744,"","PRESENT"
"gbif160",-61.5071,47.55922,"","PRESENT"
"gbif161",-68.279069,48.589744,"","PRESENT"
"gbif162",-68.279069,48.589744,"","PRESENT"
"gbif163",-64.38393,48.78579,"","PRESENT"
"gbif164",-66.51431,50.23378,"","PRESENT"
"gbif165",-68.279069,48.589744,"","PRESENT"
"gbif166",-70.207169,47.516264,"","PRESENT"
"gbif167",-66.401,50.2135,"","PRESENT"
"gbif168",-68.279069,48.589744,"","PRESENT"
"gbif169",-60.49527,50.22807,"","PRESENT"
"gbif170",-68.279069,48.589744,"","PRESENT"
"gbif171",-68.279069,48.589744,"","PRESENT"
"gbif172",-60.49513,50.22822,"","PRESENT"
"gbif173",-70.3336,47.410614,"","PRESENT"
"gbif174",-60.49601,50.22839,"","PRESENT"
"gbif175",-70.207169,47.516264,"","PRESENT"
"gbif176",-70.605173,46.989987,"","PRESENT"
"gbif177",-64.43853,48.85441,"","PRESENT"
"gbif178",-66.401,50.2135,"","PRESENT"
"gbif179",-68.279069,48.589744,"","PRESENT"
"gbif180",-61.50638,47.55931,"","PRESENT"
"gbif181",-70.207169,47.516264,"","PRESENT"
"gbif182",-61.506783,47.5592,"","PRESENT"
"gbif183",-70.3336,47.410614,"","PRESENT"
"gbif184",-68.279069,48.589744,"","PRESENT"
"gbif185",-70.207169,47.516264,"","PRESENT"
"gbif186",-68.279069,48.589744,"","PRESENT"
"gbif187",-70.3336,47.410614,"","PRESENT"
"gbif188",-70.207169,47.516264,"","PRESENT"
"gbif189",-64.383883,48.7854,"","PRESENT"
"gbif190",-69.852768,47.582628,"","PRESENT"
"gbif191",-70.207169,47.516264,"","PRESENT"
"gbif192",-70.3336,47.410614,"","PRESENT"
"gbif193",-61.48329,47.57581,"","PRESENT"
"gbif194",-68.279069,48.589744,"","PRESENT"
"gbif195",-60.49601,50.22839,"","PRESENT"
"gbif196",-70.207169,47.516264,"","PRESENT"
"gbif197",-64.43853,48.85433,"","PRESENT"
"gbif198",-70.207169,47.516264,"","PRESENT"
"gbif199",-70.3336,47.410614,"","PRESENT"
"gbif200",-69.852768,47.582628,"","PRESENT"
"gbif201",-68.279069,48.589744,"","PRESENT"
"gbif202",-61.508962,47.557097,"","PRESENT"
"gbif203",-68.279069,48.589744,"","PRESENT"
"gbif204",-70.705233,46.9867,"","PRESENT"
"gbif205",-70.207169,47.516264,"","PRESENT"
"gbif206",-68.279069,48.589744,"","PRESENT"
"gbif207",-68.279069,48.589744,"","PRESENT"
"gbif208",-60.49601,50.22839,"","PRESENT"
"gbif209",-70.207169,47.516264,"","PRESENT"
"gbif210",-60.51469,50.23431,"","PRESENT"
