"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-128.350006,51.983334,"","PRESENT"
"gbif2",-128.691544,51.999382,"","PRESENT"
"gbif3",-130.366669,52.73,"","PRESENT"
"gbif4",-131.133331,52.549999,"","PRESENT"
"gbif5",-123.980257,49.349934,"","PRESENT"
"gbif6",-131.71666,52.803333,"","PRESENT"
"gbif7",-127.808334,51.511665,"","PRESENT"
"gbif8",-131.350006,52.858334,"","PRESENT"
"gbif9",-130.563385,54.278267,"","PRESENT"
"gbif10",-126.143333,48.408333,"","PRESENT"
"gbif11",-126.095001,48.403332,"","PRESENT"
"gbif12",-126.150002,48.389999,"","PRESENT"
"gbif13",-126.128334,48.419998,"","PRESENT"
"gbif14",-126.09333,48.436668,"","PRESENT"
"gbif15",-123.980257,49.349934,"","PRESENT"
"gbif16",-123.980257,49.349934,"","PRESENT"
"gbif17",-123.408776,49.182173,"","PRESENT"
"gbif18",-128.550003,51.5,"","PRESENT"
"gbif19",-127.790001,51.544998,"","PRESENT"
"gbif20",-131.506668,52.82,"","PRESENT"
"gbif21",-127.101666,49.805,"","PRESENT"
"gbif22",-129.443333,50.89,"","PRESENT"
"gbif23",-128.873333,50.71,"","PRESENT"
"gbif24",-128.638333,50.57,"","PRESENT"
"gbif25",-128.616666,50.696666,"","PRESENT"
"gbif26",-128.39,50.84,"","PRESENT"
"gbif27",-128.431666,50.845,"","PRESENT"
"gbif28",-128.29,50.885,"","PRESENT"
"gbif29",-128.135,50.883333,"","PRESENT"
"gbif30",-128.455,50.905,"","PRESENT"
"gbif31",-128.5,50.916666,"","PRESENT"
"gbif32",-128.016666,51.458333,"","PRESENT"
"gbif33",-128.619,52.0785,"","PRESENT"
"gbif34",-133.056666,54.431666,"","PRESENT"
"gbif35",-131.013333,54.556666,"","PRESENT"
"gbif36",-130.995,54.556666,"","PRESENT"
"gbif37",-131.466666,54.596666,"","PRESENT"
"gbif38",-132.583333,54.63,"","PRESENT"
"gbif39",-133.086666,54.403333,"","PRESENT"
"gbif40",-130.618333,54.488333,"","PRESENT"
"gbif41",-131.49,52.258333,"","PRESENT"
"gbif42",-131.026666,54.52,"","PRESENT"
"gbif43",-132.916666,53.368333,"","PRESENT"
"gbif44",-131.458333,52.22,"","PRESENT"
"gbif45",-131.221666,54.625,"","PRESENT"
"gbif46",-133.161666,54.483333,"","PRESENT"
"gbif47",-132.085,54.615,"","PRESENT"
"gbif48",-131.17,54.481666,"","PRESENT"
"gbif49",-131.066666,54.445,"","PRESENT"
"gbif50",-130.785,54.65,"","PRESENT"
"gbif51",-130.711666,54.305,"","PRESENT"
"gbif52",-131.018333,54.561666,"","PRESENT"
"gbif53",-132.391666,54.653333,"","PRESENT"
"gbif54",-131.398333,54.51,"","PRESENT"
"gbif55",-131.478333,54.545,"","PRESENT"
"gbif56",-131.531666,54.62,"","PRESENT"
"gbif57",-131.59,54.586666,"","PRESENT"
"gbif58",-133.208333,54.498333,"","PRESENT"
"gbif59",-132.898333,54.243333,"","PRESENT"
