"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-71.759292,41.327778,"","PRESENT"
"gbif3",-75.152145,38.24924,"","PRESENT"
"gbif5",-97.683349,27.31988,"","PRESENT"
"gbif6",-73.930892,40.601612,"","PRESENT"
"gbif8",-84.180687,30.07407,"","PRESENT"
"gbif9",-97.079715,27.82716,"","PRESENT"
"gbif10",-97.079739,27.827178,"","PRESENT"
"gbif11",-81.436554,30.638143,"","PRESENT"
"gbif12",-71.280121,41.670776,"","PRESENT"
"gbif13",-84.180672,30.074072,"","PRESENT"
"gbif14",-73.904629,40.555794,"","PRESENT"
"gbif16",-97.300466,27.416754,"","PRESENT"
"gbif17",-97.772778,23.785603,"","PRESENT"
"gbif20",-94.731064,29.366688,"","PRESENT"
"gbif21",-72.193134,41.325376,"","PRESENT"
"gbif22",-70.024461,41.669556,"","PRESENT"
"gbif24",-70.62997,41.651088,"","PRESENT"
"gbif25",-76.499145,38.848934,"","PRESENT"
"gbif26",-73.883755,40.560887,"","PRESENT"
"gbif28",-94.739356,29.332303,"","PRESENT"
"gbif29",-75.561872,39.722384,"","PRESENT"
"gbif30",-70.024461,41.669556,"","PRESENT"
"gbif32",-75.411261,39.144001,"","PRESENT"
"gbif33",-79.862219,32.771296,"","PRESENT"
"gbif34",-77.791306,34.217106,"","PRESENT"
"gbif35",-73.172212,40.700172,"","PRESENT"
"gbif36",-70.641853,42.685731,"","PRESENT"
"gbif37",-74.267181,40.477074,"","PRESENT"
"gbif38",-74.023989,40.143184,"","PRESENT"
"gbif39",-76.295173,37.028934,"","PRESENT"
"gbif40",-76.930424,35.475568,"","PRESENT"
"gbif41",-78.738296,33.789345,"","PRESENT"
"gbif42",-75.084906,38.336503,"","PRESENT"
"gbif43",-74.628992,39.287957,"","PRESENT"
"gbif44",-76.023246,37.266499,"","PRESENT"
"gbif46",-97.079505,27.827244,"","PRESENT"
"gbif47",-73.14564,40.747436,"","PRESENT"
"gbif48",-79.06764,33.509702,"","PRESENT"
"gbif50",-76.114481,36.909662,"","PRESENT"
"gbif51",-75.082658,38.579191,"","PRESENT"
"gbif52",-87.667396,30.248787,"","PRESENT"
"gbif53",-74.10275,39.80815,"","PRESENT"
"gbif54",-73.935489,40.769465,"","PRESENT"
"gbif55",-74.851005,39.179311,"","PRESENT"
"gbif56",-89.949358,29.25747,"","PRESENT"
