"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-125.164169,48.817108,"","PRESENT"
"gbif2",-124.055191,44.660851,"","PRESENT"
"gbif3",-125.164169,48.817108,"","PRESENT"
"gbif4",-123.107246,38.417615,"","PRESENT"
"gbif5",-122.710973,37.897347,"","PRESENT"
"gbif6",-122.025781,36.958297,"","PRESENT"
"gbif7",-122.025467,36.957506,"","PRESENT"
"gbif8",-125.164153,48.817111,"","PRESENT"
"gbif9",-118.789925,34.017118,"","PRESENT"
"gbif10",-125.163781,48.818517,"","PRESENT"
"gbif11",-123.107482,38.417729,"","PRESENT"
"gbif12",-118.788119,34.018397,"","PRESENT"
"gbif13",-122.025344,36.957431,"","PRESENT"
"gbif14",-122.53536,37.495595,"","PRESENT"
"gbif15",-120.930588,35.447862,"","PRESENT"
"gbif16",-122.5056,37.596333,"","PRESENT"
"gbif17",-124.399805,43.307745,"","PRESENT"
"gbif18",-122.025392,36.957364,"","PRESENT"
"gbif19",-121.115784,35.577038,"","PRESENT"
"gbif20",-123.802966,39.489817,"","PRESENT"
"gbif21",-117.860512,33.58355,"","PRESENT"
"gbif22",-121.906775,36.623116,"","PRESENT"
"gbif23",-121.906775,36.623116,"","PRESENT"
"gbif24",-121.906775,36.623116,"","PRESENT"
"gbif25",-122.025467,36.957375,"","PRESENT"
"gbif26",-118.39524,33.803522,"","PRESENT"
"gbif27",-121.947525,36.61079,"","PRESENT"
"gbif28",-118.790811,34.015389,"","PRESENT"
"gbif29",-122.496023,37.54658,"","PRESENT"
"gbif30",-122.505742,37.596336,"","PRESENT"
"gbif31",-118.373039,33.746056,"","PRESENT"
"gbif32",-125.467832,48.931862,"","PRESENT"
"gbif33",-118.282966,33.713056,"","PRESENT"
"gbif34",-121.901393,36.618489,"","PRESENT"
"gbif35",-123.709863,38.913827,"","PRESENT"
"gbif36",-122.719647,37.895846,"","PRESENT"
"gbif37",-121.892275,36.60297,"","PRESENT"
"gbif38",-121.945908,36.614395,"","PRESENT"
"gbif39",-118.39794,33.736158,"","PRESENT"
"gbif40",-124.112556,44.24231,"","PRESENT"
"gbif41",-125.291152,48.911118,"","PRESENT"
"gbif42",-118.787407,34.02007,"","PRESENT"
"gbif43",-120.932267,35.447587,"","PRESENT"
