"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",153.4,-20.266667,"","PRESENT"
"gbif2",153.6,-20.416667,"","PRESENT"
"gbif3",-54.333333,7.833333,"","PRESENT"
"gbif4",-109.816667,-4.433333,"","PRESENT"
"gbif5",-106.6,-7.3,"","PRESENT"
"gbif6",-90.083333,-14.866667,"","PRESENT"
"gbif7",-103.816667,-13.583333,"","PRESENT"
"gbif8",-95.55,-1.416667,"","PRESENT"
"gbif9",139.5,39.5,"","PRESENT"
"gbif10",137.05,37.15,"","PRESENT"
"gbif11",141.433333,36.656667,"","PRESENT"
"gbif12",-29.966667,30.3,"","PRESENT"
"gbif13",135.16,32.35,"","PRESENT"
"gbif14",135.158333,32.345,"","PRESENT"
"gbif15",141.373611,36.49,"","PRESENT"
"gbif16",77.25,0.333333,"","PRESENT"
"gbif17",159.06338,-31.52651,"","PRESENT"
"gbif18",-5.966905,-12.84305,"","PRESENT"
"gbif19",-5.977164,-12.88685,"","PRESENT"
"gbif20",-79.9513,27.4645,"","PRESENT"
"gbif21",-67.5528,39.9178,"","PRESENT"
"gbif22",-67.4271,39.9277,"","PRESENT"
"gbif23",-67.4793,40.0579,"","PRESENT"
"gbif24",27.259667,-37.784333,"","PRESENT"
"gbif25",-0.141,-14.803833,"","PRESENT"
"gbif26",-177.799667,-29.292,"","PRESENT"
"gbif27",33.390167,-38.497833,"","PRESENT"
"gbif28",0.133333,-14.8,"","PRESENT"
"gbif29",-177.706333,-29.336667,"","PRESENT"
"gbif30",16.25,-32.266667,"","PRESENT"
"gbif31",21.122833,-36.8005,"","PRESENT"
"gbif32",16.6,-32.766667,"","PRESENT"
"gbif33",17.716667,-34.65,"","PRESENT"
"gbif34",16.383333,-32.416694,"","PRESENT"
"gbif35",16.483667,-32.351167,"","PRESENT"
"gbif36",17.250167,-33.233611,"","PRESENT"
"gbif37",16.033,-31.917,"","PRESENT"
"gbif38",18.6795,-35.275,"","PRESENT"
"gbif39",16.478667,-32.361667,"","PRESENT"
"gbif40",18.133333,-34.833333,"","PRESENT"
"gbif41",17.3,-33.166833,"","PRESENT"
"gbif42",16.3,-32.050028,"","PRESENT"
"gbif43",23.866667,-35.133333,"","PRESENT"
"gbif44",17.666917,-34.333472,"","PRESENT"
"gbif45",17.95,-34.617,"","PRESENT"
"gbif46",16.083444,-31.966917,"","PRESENT"
"gbif47",16.688167,-32.613333,"","PRESENT"
"gbif48",17.95,-34.567,"","PRESENT"
"gbif49",149.6198,-38.2266,"","PRESENT"
"gbif50",-67.329667,39.909,"","PRESENT"
"gbif51",-67.501333,39.912167,"","PRESENT"
"gbif52",-67.406333,39.8435,"","PRESENT"
"gbif53",-67.357833,39.935333,"","PRESENT"
"gbif54",-67.416317,39.916683,"","PRESENT"
"gbif55",177.016,-22.716,"","PRESENT"
"gbif56",114.79305,-31.86111,"","PRESENT"
"gbif57",148.616,-42.583,"","PRESENT"
"gbif58",150.88,-38.18,"","PRESENT"
"gbif59",150.97,-38.57,"","PRESENT"
"gbif60",151.03,-38.1,"","PRESENT"
"gbif61",151.05,-38.28,"","PRESENT"
"gbif62",151.2,-38.22,"","PRESENT"
"gbif63",152.578,-33.2,"","PRESENT"
"gbif64",151.08,-38.28,"","PRESENT"
"gbif65",-58.7647,43.7319,"","PRESENT"
"gbif66",-58.7647,43.7319,"","PRESENT"
"gbif67",-120.5333,32.38333,"NATIVE","PRESENT"
"gbif68",-12.77,-11.04,"","PRESENT"
"gbif69",-39.8994,46.7456,"","PRESENT"
"gbif70",-31,30.27,"","PRESENT"
"gbif71",-31,30.27,"","PRESENT"
"gbif72",-177.8,-29.292,"","PRESENT"
"gbif73",153.166,-31.84166,"","PRESENT"
"gbif74",153,-32.283,"","PRESENT"
"gbif75",152.61902,-33.24652,"","PRESENT"
"gbif76",151.05833,-35.066,"","PRESENT"
"gbif77",153.133,-33.066,"","PRESENT"
"gbif78",151.866,-32.9,"","PRESENT"
"gbif79",151.65,-34.39166,"","PRESENT"
