"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",121.493987,22.677687,"","PRESENT"
"gbif2",121.479149,22.678673,"","PRESENT"
"gbif3",134.237491,7.101617,"","PRESENT"
"gbif4",34.978178,24.912222,"","PRESENT"
"gbif5",34.796937,25.335758,"","PRESENT"
"gbif6",73.111724,5.208874,"","PRESENT"
"gbif7",99.314214,6.492537,"","PRESENT"
"gbif8",34.740917,25.337219,"","PRESENT"
"gbif9",34.796938,25.335918,"","PRESENT"
"gbif10",34.999555,24.988087,"","PRESENT"
"gbif11",34.741878,25.337398,"","PRESENT"
"gbif12",34.738576,25.339025,"","PRESENT"
"gbif13",118.633468,4.253618,"","PRESENT"
"gbif14",99.334511,6.489278,"","PRESENT"
"gbif15",34.739234,25.340473,"","PRESENT"
"gbif16",34.740819,25.337147,"","PRESENT"
"gbif17",-176.273264,-13.293941,"","PRESENT"
"gbif18",98.366353,7.603838,"","PRESENT"
"gbif19",145.646628,-16.043449,"","PRESENT"
"gbif20",145.680241,-15.000377,"","PRESENT"
"gbif21",153.174398,-26.639148,"","PRESENT"
"gbif22",145.986794,-16.931725,"","PRESENT"
"gbif23",118.633468,4.253618,"","PRESENT"
"gbif24",152.408325,-23.902773,"","PRESENT"
"gbif25",131,30.816667,"","PRESENT"
"gbif26",130.033889,28.365,"","PRESENT"
"gbif27",179.402046,-17.002543,"","PRESENT"
"gbif28",143.573,-11.6198,"","PRESENT"
"gbif29",143.8627,-11.4395,"","PRESENT"
"gbif30",143.9,-11.15,"","PRESENT"
"gbif31",143.9018,-11.241,"","PRESENT"
"gbif32",143.625,-11.5671,"","PRESENT"
"gbif33",143.8783,-11.3537,"","PRESENT"
"gbif34",32.686,-27.5231,"","PRESENT"
"gbif35",32.688,-27.5299,"","PRESENT"
"gbif36",32.688,-27.5299,"","PRESENT"
"gbif37",32.8939,-26.8411,"","PRESENT"
"gbif38",30.8276,-30.2644,"","PRESENT"
"gbif39",32.6799,-27.5339,"","PRESENT"
"gbif40",32.6867,-27.532,"","PRESENT"
"gbif41",32.70816,-27.531889,"","PRESENT"
"gbif42",55.82176,-21.1469,"","PRESENT"
"gbif43",55.46472,-21.34908,"","PRESENT"
"gbif44",55.73661,-21.37035,"","PRESENT"
"gbif45",55.8079,-21.25379,"","PRESENT"
"gbif46",55.65609,-21.36669,"","PRESENT"
"gbif47",55.80783,-21.24677,"","PRESENT"
"gbif48",55.22368,-21.07384,"","PRESENT"
"gbif49",145.45386,-14.647759,"","PRESENT"
"gbif50",166.467246,-22.477891,"","PRESENT"
"gbif51",32.679065,-27.535205,"","PRESENT"
"gbif52",151.2963,-33.7994,"","PRESENT"
"gbif53",179.888687,-16.790089,"","PRESENT"
"gbif54",-149.48771,-23.319643,"","PRESENT"
"gbif55",39.29,-5.72,"","PRESENT"
"gbif56",-149.48771,-23.319643,"","PRESENT"
"gbif57",119.671264,-8.444895,"","PRESENT"
"gbif58",124.102512,24.413394,"","PRESENT"
"gbif59",121.763503,25.162196,"","PRESENT"
"gbif60",177.320821,-18.110743,"","PRESENT"
"gbif61",120.901223,13.799858,"","PRESENT"
"gbif62",115.660296,-8.338144,"","PRESENT"
"gbif63",114.385184,22.392017,"","PRESENT"
"gbif64",151.281487,-33.799498,"","PRESENT"
"gbif65",151.281517,-33.7995,"","PRESENT"
"gbif66",151.295054,-33.799337,"","PRESENT"
"gbif67",178.187668,-19.012712,"","PRESENT"
"gbif68",55.207977,-21.07268,"","PRESENT"
"gbif69",151.281522,-33.799472,"","PRESENT"
"gbif70",151.296078,-33.799224,"","PRESENT"
"gbif71",151.14597,-34.072267,"","PRESENT"
"gbif72",177.315707,-18.109686,"","PRESENT"
"gbif73",121.517265,22.087225,"","PRESENT"
"gbif74",153.368065,-27.162404,"","PRESENT"
"gbif75",125.159066,1.735105,"","PRESENT"
"gbif76",39.07705,21.720134,"","PRESENT"
"gbif77",121.472458,22.65108,"","PRESENT"
"gbif78",151.293224,-33.799576,"","PRESENT"
"gbif79",151.281495,-33.799485,"","PRESENT"
"gbif80",55.21433,-21.03507,"","PRESENT"
"gbif81",55.78815,-21.12364,"","PRESENT"
"gbif82",55.54613,-21.37126,"","PRESENT"
"gbif83",55.33244,-21.27763,"","PRESENT"
"gbif84",55.83186,-21.19079,"","PRESENT"
"gbif85",55.80428,-21.12857,"","PRESENT"
"gbif86",55.62573,-21.38533,"","PRESENT"
"gbif87",55.27962,-21.20596,"","PRESENT"
"gbif88",55.5304,-21.36521,"","PRESENT"
"gbif89",55.58722,-21.3757,"","PRESENT"
"gbif90",55.7292,-21.04087,"","PRESENT"
"gbif91",55.33943,-21.28248,"","PRESENT"
"gbif92",55.54547,-21.372,"","PRESENT"
"gbif93",55.28416,-21.18209,"","PRESENT"
"gbif94",55.32625,-21.26822,"","PRESENT"
"gbif95",55.83124,-21.18976,"","PRESENT"
"gbif96",55.32716,-21.26411,"","PRESENT"
"gbif97",55.27898,-21.20515,"","PRESENT"
"gbif98",55.82298,-21.2066,"","PRESENT"
"gbif99",55.83662,-21.16069,"","PRESENT"
"gbif100",55.23405,-21.015,"","PRESENT"
"gbif101",55.28503,-21.1654,"","PRESENT"
"gbif102",55.27931,-21.17037,"","PRESENT"
"gbif103",55.2341,-21.01554,"","PRESENT"
"gbif104",55.42345,-21.32984,"","PRESENT"
"gbif105",55.24858,-21.11095,"","PRESENT"
"gbif106",55.82128,-21.20692,"","PRESENT"
"gbif107",55.22677,-21.02182,"","PRESENT"
"gbif108",55.2375,-21.01782,"","PRESENT"
"gbif109",55.21977,-21.05721,"","PRESENT"
"gbif110",34.518325,28.494126,"","PRESENT"
"gbif111",34.517574,28.49735,"","PRESENT"
"gbif112",34.517538,28.497336,"","PRESENT"
"gbif113",34.518325,28.494126,"","PRESENT"
"gbif114",-149.754338,-17.497747,"","PRESENT"
"gbif115",34.518325,28.494126,"","PRESENT"
"gbif116",124.742778,1.687607,"","PRESENT"
"gbif117",39.290488,-5.72725,"","PRESENT"
"gbif118",124.747402,1.677216,"","PRESENT"
"gbif119",98.305833,7.771944,"","PRESENT"
"gbif120",168.262065,-17.696614,"","PRESENT"
"gbif121",151.282614,-33.799468,"","PRESENT"
"gbif122",35.84365,23.500898,"","PRESENT"
"gbif123",98.888266,7.427588,"","PRESENT"
"gbif124",177.133808,-17.741817,"","PRESENT"
"gbif125",151.282499,-33.799391,"","PRESENT"
"gbif126",151.14573,-34.072071,"","PRESENT"
"gbif127",145.787972,-15.501778,"","PRESENT"
"gbif128",145.766194,-15.385861,"","PRESENT"
"gbif129",177.31766,-18.109763,"","PRESENT"
"gbif130",118.727442,4.283431,"","PRESENT"
"gbif131",113.81029,-28.748281,"","PRESENT"
"gbif132",121.451915,13.722898,"","PRESENT"
"gbif133",123.440552,9.342711,"","PRESENT"
"gbif134",123.251857,9.086364,"","PRESENT"
"gbif135",123.32773,9.308754,"","PRESENT"
"gbif136",121.193496,13.428625,"","PRESENT"
"gbif137",122.189549,13.515251,"","PRESENT"
"gbif138",121.193496,13.428625,"","PRESENT"
"gbif139",121.18959,13.433251,"","PRESENT"
"gbif140",35.081211,24.83471,"","PRESENT"
"gbif141",153.579109,-28.196141,"","PRESENT"
"gbif142",-151.566187,-16.603943,"","PRESENT"
"gbif143",153.629028,-28.611388,"","PRESENT"
"gbif144",93.0517,11.954913,"","PRESENT"
"gbif145",125.882217,-8.475993,"","PRESENT"
"gbif146",167.027311,-20.764044,"","PRESENT"
"gbif147",167.02849,-20.765852,"","PRESENT"
"gbif148",35.804345,-23.964216,"","PRESENT"
"gbif149",125.508634,-8.555566,"","PRESENT"
"gbif150",128.590414,-3.494551,"","PRESENT"
"gbif151",127.905195,0.422603,"","PRESENT"
"gbif152",127.905195,0.422603,"","PRESENT"
"gbif153",153.43699,-27.402435,"","PRESENT"
"gbif154",-149.873,-17.4825,"","PRESENT"
"gbif155",121.099,13.5394,"","PRESENT"
"gbif156",-178.07,-14.3317,"","PRESENT"
"gbif157",-149.874,-17.4822,"","PRESENT"
"gbif158",120.977,13.5073,"","PRESENT"
"gbif159",-149.841,-17.4753,"","PRESENT"
"gbif160",-147.624,-14.9748,"","PRESENT"
"gbif161",-149.841,-17.4753,"","PRESENT"
"gbif162",-149.9,-17.4826,"","PRESENT"
"gbif163",-178.07,-14.3317,"","PRESENT"
"gbif164",-149.9,-17.4826,"","PRESENT"
"gbif165",121.043,13.5673,"","PRESENT"
"gbif166",-149.922,-17.4783,"","PRESENT"
"gbif167",-145.46107,-16.51928,"","PRESENT"
"gbif168",-149.87272,-17.48816,"","PRESENT"
"gbif169",-145.71101,-16.07541,"","PRESENT"
"gbif170",167.1205,-20.78745,"","PRESENT"
"gbif171",-151.785,-16.5014,"","PRESENT"
"gbif172",166.45661,-22.55435,"","PRESENT"
"gbif173",166.43318,-22.31183,"","PRESENT"
"gbif174",-145.71101,-16.07541,"","PRESENT"
"gbif175",-151.71,-16.4935,"","PRESENT"
"gbif176",-145.46107,-16.51928,"","PRESENT"
"gbif177",45.27593,-12.87284,"","PRESENT"
"gbif178",166.29073,-22.29467,"","PRESENT"
"gbif179",55.2167,-21.06265,"","PRESENT"
"gbif180",-145.46107,-16.51928,"","PRESENT"
"gbif181",-139.09973,-9.89385,"","PRESENT"
"gbif182",-151.785,-16.5014,"","PRESENT"
"gbif183",166.38765,-22.47447,"","PRESENT"
"gbif184",-149.90779,-17.48951,"","PRESENT"
"gbif185",-149.85594,-17.48075,"","PRESENT"
"gbif186",45.2701,-12.86039,"","PRESENT"
"gbif187",45.27957,-12.8762,"","PRESENT"
"gbif188",-145.71101,-16.07541,"","PRESENT"
"gbif189",-151.03835,-16.69201,"","PRESENT"
"gbif190",-151.78624,-16.49714,"","PRESENT"
"gbif191",55.2167,-21.06265,"","PRESENT"
"gbif192",-151.04745,-16.7262,"","PRESENT"
"gbif193",55.21582,-21.0318,"","PRESENT"
"gbif194",-149.76273,-17.53691,"","PRESENT"
"gbif195",-145.46107,-16.51928,"","PRESENT"
"gbif196",166.44601,-22.49953,"","PRESENT"
"gbif197",165.50785,-21.74608,"","PRESENT"
"gbif198",164.96442,-20.67674,"","PRESENT"
"gbif199",55.21915,-21.05823,"","PRESENT"
"gbif200",-149.90779,-17.48951,"","PRESENT"
"gbif201",166.29073,-22.29467,"","PRESENT"
"gbif202",-151.04745,-16.7262,"","PRESENT"
"gbif203",153.196567,-26.631722,"","PRESENT"
"gbif204",34.256747,27.726047,"","PRESENT"
"gbif205",-149.83408,-17.485,"","PRESENT"
"gbif206",34.256747,27.726047,"","PRESENT"
"gbif207",130.045876,-4.581732,"","PRESENT"
"gbif208",130.045014,-4.581005,"","PRESENT"
"gbif209",146.028716,-16.657802,"","PRESENT"
"gbif210",-150.991555,-16.813004,"","PRESENT"
"gbif211",34.291076,27.823288,"","PRESENT"
"gbif212",39.594696,-4.279763,"","PRESENT"
"gbif213",121.492761,22.675761,"","PRESENT"
"gbif214",171.310323,7.127525,"","PRESENT"
"gbif215",117.458496,-8.235272,"","PRESENT"
"gbif216",123.759157,-5.476725,"","PRESENT"
"gbif217",117.458496,-8.235272,"","PRESENT"
"gbif218",116.051488,-8.352308,"","PRESENT"
"gbif219",117.48701,-8.335238,"","PRESENT"
"gbif220",119.563367,-8.613936,"","PRESENT"
"gbif221",153.577632,-28.196238,"","PRESENT"
"gbif222",146.267103,-16.801183,"","PRESENT"
"gbif223",119.563367,-8.613936,"","PRESENT"
"gbif224",177.315672,-18.112078,"","PRESENT"
"gbif225",119.59934,-8.501322,"","PRESENT"
"gbif226",119.598915,-8.501345,"","PRESENT"
"gbif227",43.30368,-11.376656,"","PRESENT"
"gbif228",134.237933,7.10277,"","PRESENT"
"gbif229",134.420891,7.294618,"","PRESENT"
"gbif230",43.708301,-12.390449,"","PRESENT"
"gbif231",134.456954,7.291966,"","PRESENT"
"gbif232",146.73352,-17.8575,"","PRESENT"
"gbif233",146.73352,-17.8575,"","PRESENT"
"gbif234",39.571101,-4.345102,"","PRESENT"
"gbif235",134.457011,7.292032,"","PRESENT"
"gbif236",97.991859,10.138544,"","PRESENT"
"gbif237",43.263868,-11.672515,"","PRESENT"
"gbif238",154.645913,-5.469639,"","PRESENT"
"gbif239",154.668611,-5.441667,"","PRESENT"
"gbif240",134.219721,7.316432,"","PRESENT"
"gbif241",127.309634,26.221187,"","PRESENT"
"gbif242",121.806173,25.144035,"","PRESENT"
"gbif243",153.57746,-28.197859,"","PRESENT"
"gbif244",133.029205,-5.635237,"","PRESENT"
"gbif245",114.363794,22.309756,"","PRESENT"
"gbif246",153.099505,-30.937796,"","PRESENT"
"gbif247",-149.426042,-17.649175,"","PRESENT"
"gbif248",167.02889,-20.75889,"","PRESENT"
"gbif249",139.47611,34.06528,"","PRESENT"
"gbif250",-155.06667,19.73333,"","PRESENT"
"gbif251",167.12222,-20.78639,"","PRESENT"
"gbif252",45.118864,-12.687744,"","PRESENT"
"gbif253",114.36268,22.308809,"","PRESENT"
"gbif254",121.559501,22.080994,"","PRESENT"
"gbif255",121.559501,22.080994,"","PRESENT"
"gbif256",-149.83408,-17.485,"","PRESENT"
"gbif257",-149.761182,-17.502089,"","PRESENT"
"gbif258",39.377667,-4.693675,"","PRESENT"
"gbif259",40.002994,-3.371153,"","PRESENT"
"gbif260",152.228728,-4.2999,"","PRESENT"
"gbif261",151.885093,7.320603,"","PRESENT"
"gbif262",125.234621,1.443941,"","PRESENT"
"gbif263",35.55109,-23.820771,"","PRESENT"
"gbif264",167.234425,-15.524033,"","PRESENT"
"gbif265",34.518023,28.496959,"","PRESENT"
"gbif266",116.087726,-8.36232,"","PRESENT"
"gbif267",34.51752,28.495733,"","PRESENT"
"gbif268",40.012951,-3.361103,"","PRESENT"
"gbif269",55.223889,-21.025278,"","PRESENT"
"gbif270",151.293593,-33.79994,"","PRESENT"
"gbif271",-149.83408,-17.485,"","PRESENT"
"gbif272",-149.844223,-17.484254,"","PRESENT"
