"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-55.50579,-61.493863,"","PRESENT"
"gbif2",-36.166435,-54.443844,"","PRESENT"
"gbif3",-54.859444,-61.099304,"","PRESENT"
"gbif4",51.723755,-46.356133,"","PRESENT"
"gbif5",-36.75778,-54.155,"","PRESENT"
"gbif6",-59.920555,-62.59528,"","PRESENT"
"gbif7",-59.092155,-52.429127,"","PRESENT"
"gbif8",-59.920555,-62.59528,"","PRESENT"
"gbif9",-59.585255,-51.318806,"","PRESENT"
"gbif10",-54.698612,-61.142223,"","PRESENT"
"gbif11",-36.66643,-54.122753,"","PRESENT"
"gbif12",-60.433613,-62.71361,"","PRESENT"
"gbif13",-37.967506,-54.02068,"","PRESENT"
"gbif14",-55.095554,-61.128613,"","PRESENT"
"gbif15",-60.664444,-62.92361,"","PRESENT"
"gbif16",-60.2333,-51.30774,"","PRESENT"
"gbif17",-35.81189,-54.785988,"","PRESENT"
"gbif18",-65.56641,-60.28341,"","PRESENT"
"gbif19",-35.81189,-54.785988,"","PRESENT"
"gbif20",-37.34608,-54.05703,"","PRESENT"
"gbif21",-60.19203,-51.32735,"","PRESENT"
"gbif22",-36.66753,-54.12433,"","PRESENT"
"gbif23",-60.63639,-62.95889,"","PRESENT"
"gbif24",-59.920555,-62.59528,"","PRESENT"
"gbif25",-37.31266,-53.88292,"","PRESENT"
"gbif26",-36.80024,-54.13416,"","PRESENT"
"gbif27",-55.523815,-63.129356,"","PRESENT"
"gbif28",-60.61,-62.65403,"","PRESENT"
"gbif29",-59.585255,-51.318806,"","PRESENT"
"gbif30",-59.092155,-52.429127,"","PRESENT"
"gbif31",70.30496,-49.057888,"","PRESENT"
"gbif32",-73.02647,-54.490074,"","PRESENT"
"gbif33",-37.96809,-54.02119,"","PRESENT"
"gbif34",37.736496,-46.90725,"","PRESENT"
"gbif35",-55.095554,-61.128613,"","PRESENT"
"gbif36",-59.78008,-62.39805,"","PRESENT"
"gbif37",-35.81189,-54.785988,"","PRESENT"
"gbif38",-34.813328,-55.03449,"","PRESENT"
"gbif39",-60.61,-62.65403,"","PRESENT"
"gbif40",-37.8923,-53.9482,"","PRESENT"
"gbif41",-54.798347,-61.043682,"","PRESENT"
"gbif42",-58.465347,-51.300404,"","PRESENT"
"gbif43",-59.092155,-52.429127,"","PRESENT"
"gbif44",-36.1604,-54.4359,"","PRESENT"
"gbif45",-59.092155,-52.429127,"","PRESENT"
"gbif46",-59.092155,-52.429127,"","PRESENT"
"gbif47",70.30496,-49.057888,"","PRESENT"
"gbif48",-35.79277,-54.913883,"","PRESENT"
"gbif49",70.30496,-49.057888,"","PRESENT"
"gbif50",-59.52303,-51.61204,"","PRESENT"
"gbif51",-36.290997,-54.29812,"","PRESENT"
"gbif52",-54.798347,-61.043682,"","PRESENT"
"gbif53",-35.81189,-54.785988,"","PRESENT"
"gbif54",-59.09961,-52.43378,"","PRESENT"
"gbif55",-37.967506,-54.02068,"","PRESENT"
"gbif56",-59.920555,-62.59528,"","PRESENT"
"gbif57",-35.81189,-54.785988,"","PRESENT"
"gbif58",-36.290997,-54.29812,"","PRESENT"
"gbif59",-54.351665,-61.277344,"","PRESENT"
"gbif60",-55.205,-61.279,"","PRESENT"
"gbif61",-35.94353,-54.623623,"","PRESENT"
"gbif62",-59.57756,-62.54323,"","PRESENT"
"gbif63",-41.060745,-56.66443,"","PRESENT"
"gbif64",-37.975212,-54.021416,"","PRESENT"
"gbif65",-36.290997,-54.29812,"","PRESENT"
"gbif66",-37.967506,-54.02068,"","PRESENT"
"gbif67",-65.71601,-47.907738,"","PRESENT"
"gbif68",-59.920555,-62.59528,"","PRESENT"
"gbif69",-56.5461,-55.798992,"","PRESENT"
"gbif70",-36.29778,-54.279446,"","PRESENT"
"gbif71",-36.66643,-54.122753,"","PRESENT"
"gbif72",-59.092155,-52.429127,"","PRESENT"
"gbif73",-43.884903,-53.23302,"","PRESENT"
"gbif74",-60.61,-62.65403,"","PRESENT"
"gbif75",-55.168457,-61.302166,"","PRESENT"
"gbif76",-36.66643,-54.122753,"","PRESENT"
"gbif77",70.30496,-49.057888,"","PRESENT"
"gbif78",-56.5461,-55.798992,"","PRESENT"
"gbif79",-35.79277,-54.913883,"","PRESENT"
"gbif80",-59.092155,-52.429127,"","PRESENT"
"gbif81",-54.74754,-61.154488,"","PRESENT"
"gbif82",-55.209248,-60.241203,"","PRESENT"
"gbif83",-59.920555,-62.59528,"","PRESENT"
"gbif84",-54.527058,-61.09207,"","PRESENT"
"gbif85",-59.578083,-62.542973,"","PRESENT"
"gbif86",-54.858112,-61.15311,"","PRESENT"
"gbif87",-56.5461,-55.798992,"","PRESENT"
"gbif88",-61.254528,-62.770412,"","PRESENT"
"gbif89",-65.71601,-47.907738,"","PRESENT"
"gbif90",-26.477505,-57.799183,"","PRESENT"
"gbif91",-38.053616,-53.95647,"","PRESENT"
"gbif92",-55.205,-61.279,"","PRESENT"
"gbif93",-54.798347,-61.043682,"","PRESENT"
"gbif94",-54.798347,-61.043682,"","PRESENT"
"gbif95",-37.967506,-54.02068,"","PRESENT"
"gbif96",-37.967506,-54.02068,"","PRESENT"
"gbif97",-35.81189,-54.785988,"","PRESENT"
"gbif98",-37.967506,-54.02068,"","PRESENT"
"gbif99",-35.81189,-54.785988,"","PRESENT"
"gbif100",-55.265453,-61.270798,"","PRESENT"
"gbif101",-55.209248,-60.241203,"","PRESENT"
"gbif102",-38.053616,-53.95647,"","PRESENT"
"gbif103",-55.209248,-60.241203,"","PRESENT"
"gbif104",69.60167,-50.017776,"","PRESENT"
"gbif105",-56.5461,-55.798992,"","PRESENT"
"gbif106",-54.798347,-61.043682,"","PRESENT"
"gbif107",-55.166916,-61.245213,"","PRESENT"
"gbif108",-55.209248,-60.241203,"","PRESENT"
"gbif109",-35.861614,-54.434303,"","PRESENT"
"gbif110",-35.81189,-54.785988,"","PRESENT"
"gbif111",-36.030945,-54.80156,"","PRESENT"
"gbif112",-61.212677,-60.480843,"","PRESENT"
"gbif113",-65.71601,-47.907738,"","PRESENT"
"gbif114",-59.092155,-52.429127,"","PRESENT"
"gbif115",-36.66643,-54.122753,"","PRESENT"
"gbif116",-55.209248,-60.241203,"","PRESENT"
"gbif117",-55.209248,-60.241203,"","PRESENT"
"gbif118",-35.81189,-54.785988,"","PRESENT"
"gbif119",-55.209248,-60.241203,"","PRESENT"
"gbif120",-54.798347,-61.043682,"","PRESENT"
"gbif121",-59.092155,-52.429127,"","PRESENT"
"gbif122",-60.61,-62.65403,"","PRESENT"
"gbif123",-54.798347,-61.043682,"","PRESENT"
"gbif124",-54.720154,-61.146606,"","PRESENT"
"gbif125",-55.209248,-60.241203,"","PRESENT"
"gbif126",-35.81189,-54.785988,"","PRESENT"
"gbif127",-35.81189,-54.785988,"","PRESENT"
"gbif128",-36.030945,-54.80156,"","PRESENT"
"gbif129",-54.798347,-61.043682,"","PRESENT"
"gbif130",-59.920555,-62.59528,"","PRESENT"
"gbif131",-54.88272,-61.095585,"","PRESENT"
"gbif132",-58.465347,-51.300404,"","PRESENT"
"gbif133",-55.166916,-61.245213,"","PRESENT"
"gbif134",-35.81189,-54.785988,"","PRESENT"
"gbif135",-35.81189,-54.785988,"","PRESENT"
"gbif136",-60.61,-62.65403,"","PRESENT"
"gbif137",-36.50816,-54.28085,"","PRESENT"
"gbif138",-35.94353,-54.623623,"","PRESENT"
"gbif139",-35.81189,-54.785988,"","PRESENT"
"gbif140",-36.800938,-54.12744,"","PRESENT"
"gbif141",52.1374,-46.4623,"","PRESENT"
"gbif142",-35.81189,-54.785988,"","PRESENT"
"gbif143",-60.2333,-51.30774,"","PRESENT"
"gbif144",-67.057526,-55.44598,"","PRESENT"
"gbif145",51.862732,-46.426235,"","PRESENT"
"gbif146",51.862732,-46.426235,"","PRESENT"
"gbif147",-37.967506,-54.02068,"","PRESENT"
"gbif148",-35.79277,-54.913883,"","PRESENT"
"gbif149",-59.585255,-51.318806,"","PRESENT"
"gbif150",-61.307026,-51.73795,"","PRESENT"
"gbif151",37.736496,-46.90725,"","PRESENT"
"gbif152",-36.29778,-54.279446,"","PRESENT"
"gbif153",-35.81189,-54.785988,"","PRESENT"
"gbif154",150.2304,-35.793938,"","PRESENT"
"gbif155",-59.09359,-51.41248,"","PRESENT"
"gbif156",-58.881912,-52.22267,"","PRESENT"
"gbif157",-59.920555,-62.59528,"","PRESENT"
"gbif158",-37.96137,-54.021374,"","PRESENT"
"gbif159",-58.881912,-52.22267,"","PRESENT"
"gbif160",-35.878128,-54.687798,"","PRESENT"
"gbif161",-35.94353,-54.623623,"","PRESENT"
"gbif162",-60.19203,-51.32735,"","PRESENT"
"gbif163",-57.822918,-51.61172,"","PRESENT"
"gbif164",-35.94353,-54.623623,"","PRESENT"
"gbif165",-37.33195,-54.057575,"","PRESENT"
"gbif166",-57.89267,-51.669334,"","PRESENT"
"gbif167",-59.920555,-62.59528,"","PRESENT"
"gbif168",-55.095554,-61.128613,"","PRESENT"
"gbif169",-36.0779,-54.521927,"","PRESENT"
"gbif170",-55.095554,-61.128613,"","PRESENT"
"gbif171",-59.585255,-51.318806,"","PRESENT"
"gbif172",-35.81189,-54.785988,"","PRESENT"
"gbif173",-59.920555,-62.59528,"","PRESENT"
"gbif174",-37.967506,-54.02068,"","PRESENT"
"gbif175",-35.94353,-54.623623,"","PRESENT"
"gbif176",-36.166435,-54.443844,"","PRESENT"
"gbif177",-38.0481,-54.00675,"","PRESENT"
"gbif178",-59.092155,-52.429127,"","PRESENT"
"gbif179",-55.93306,-60.847996,"","PRESENT"
"gbif180",-36.50843,-54.28107,"","PRESENT"
"gbif181",-57.843,-51.607914,"","PRESENT"
"gbif182",-42.033333,-53.55,"","PRESENT"
"gbif183",-37.961517,-54.025402,"","PRESENT"
"gbif184",-59.63004,-51.28206,"","PRESENT"
"gbif185",-54.02361,-61.22,"","PRESENT"
"gbif186",-55.35034,-61.07939,"","PRESENT"
"gbif187",-60.2333,-51.30774,"","PRESENT"
"gbif188",-35.79277,-54.913883,"","PRESENT"
"gbif189",-35.81189,-54.785988,"","PRESENT"
"gbif190",-59.092155,-52.429127,"","PRESENT"
"gbif191",-59.920555,-62.59528,"","PRESENT"
"gbif192",-37.96137,-54.021374,"","PRESENT"
"gbif193",-60.61,-62.65403,"","PRESENT"
"gbif194",-35.78958,-54.81651,"","PRESENT"
"gbif195",-54.79415,-61.1338,"","PRESENT"
"gbif196",-37.968887,-54.021065,"","PRESENT"
"gbif197",-55.209248,-60.241203,"","PRESENT"
"gbif198",-56.5461,-55.798992,"","PRESENT"
"gbif199",-36.50816,-54.28085,"","PRESENT"
"gbif200",-55.095554,-61.128613,"","PRESENT"
"gbif201",-36.50816,-54.28085,"","PRESENT"
"gbif202",-59.63004,-51.28206,"","PRESENT"
"gbif203",-37.967506,-54.02068,"","PRESENT"
"gbif204",-59.9133,-61.3419,"","PRESENT"
"gbif205",-58.84843,-52.19982,"","PRESENT"
"gbif206",-60.604336,-62.65312,"","PRESENT"
"gbif207",-42.033333,-53.55,"","PRESENT"
"gbif208",-35.81189,-54.785988,"","PRESENT"
"gbif209",-57.8084,-51.676403,"","PRESENT"
"gbif210",-59.920555,-62.59528,"","PRESENT"
"gbif211",70.535,-49.75111,"","PRESENT"
"gbif212",69.60167,-50.017776,"","PRESENT"
"gbif213",-59.092155,-52.429127,"","PRESENT"
"gbif214",-35.861614,-54.434303,"","PRESENT"
"gbif215",-37.967506,-54.02068,"","PRESENT"
"gbif216",-27.577011,-56.29939,"","PRESENT"
"gbif217",-59.920555,-62.59528,"","PRESENT"
"gbif218",-65.71601,-47.907738,"","PRESENT"
"gbif219",-34.687,-55.035,"","PRESENT"
"gbif220",-36.66643,-54.122753,"","PRESENT"
"gbif221",-62.20972,-63.232224,"","PRESENT"
"gbif222",70.535,-49.75111,"","PRESENT"
"gbif223",-56.5461,-55.798992,"","PRESENT"
"gbif224",-35.81189,-54.785988,"","PRESENT"
"gbif225",-27.305054,-59.45899,"","PRESENT"
"gbif226",-55.205,-61.279,"","PRESENT"
"gbif227",70.246,-49.676834,"","PRESENT"
"gbif228",-55.095554,-61.128613,"","PRESENT"
"gbif229",-55.209248,-60.241203,"","PRESENT"
"gbif230",-35.81189,-54.785988,"","PRESENT"
"gbif231",-60.61,-62.65403,"","PRESENT"
"gbif232",70.5543,-49.238663,"","PRESENT"
"gbif233",-36.50816,-54.28085,"","PRESENT"
"gbif234",-56.43029,-60.861797,"","PRESENT"
"gbif235",-59.092155,-52.429127,"","PRESENT"
"gbif236",-59.092155,-52.429127,"","PRESENT"
"gbif237",-37.967506,-54.02068,"","PRESENT"
"gbif238",-37.967506,-54.02068,"","PRESENT"
"gbif239",-35.81189,-54.785988,"","PRESENT"
"gbif240",-35.79277,-54.913883,"","PRESENT"
"gbif241",-36.66643,-54.122753,"","PRESENT"
"gbif242",-65.71601,-47.907738,"","PRESENT"
"gbif243",-54.798347,-61.043682,"","PRESENT"
"gbif244",-56.5461,-55.798992,"","PRESENT"
"gbif245",-35.81189,-54.785988,"","PRESENT"
"gbif246",-37.967506,-54.02068,"","PRESENT"
"gbif247",-55.205,-61.279,"","PRESENT"
"gbif248",-41.784046,-53.54902,"","PRESENT"
"gbif249",-59.578083,-62.542973,"","PRESENT"
"gbif250",-55.357,-61.234,"","PRESENT"
"gbif251",-36.66643,-54.122753,"","PRESENT"
"gbif252",-56.5461,-55.798992,"","PRESENT"
