"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-163.3265,72.2384,NA,"PRESENT"
"gbif2",-161.4057,71.586,NA,"PRESENT"
"gbif3",-162.6364,71.2331,NA,"PRESENT"
"gbif4",-160.726,71.0771,NA,"PRESENT"
"gbif5",-165.3648,72.1168,NA,"PRESENT"
"gbif6",-166.4162,71.2675,NA,"PRESENT"
"gbif7",-163.7733,71.6151,NA,"PRESENT"
"gbif8",-161.0416,71.4536,NA,"PRESENT"
"gbif9",-163.3265,72.2384,NA,"PRESENT"
"gbif10",-163.7247,72.3655,NA,"PRESENT"
"gbif11",-162.6069,71.4796,NA,"PRESENT"
"gbif12",-168.6034,67.786,NA,"PRESENT"
"gbif13",-164.5784,71.8684,NA,"PRESENT"
"gbif14",-159.6978,71.3588,NA,"PRESENT"
"gbif15",-163.7247,72.3655,NA,"PRESENT"
"gbif16",-164.1065,72.4971,NA,"PRESENT"
"gbif17",-162.6096,71.4812,NA,"PRESENT"
"gbif18",-168.2343,67.8974,NA,"PRESENT"
"gbif19",-161.4057,71.586,NA,"PRESENT"
"gbif20",-163.0053,71.3611,NA,"PRESENT"
"gbif21",-160.6519,71.3219,NA,"PRESENT"
"gbif22",-159.5208,70.9298,NA,"PRESENT"
"gbif23",-163.3952,71.4881,NA,"PRESENT"
"gbif24",-162.5446,71.9795,NA,"PRESENT"
"gbif25",-164.1864,71.7426,NA,"PRESENT"
"gbif26",-164.9635,71.9928,NA,"PRESENT"
"gbif27",-162.9285,72.108,NA,"PRESENT"
"gbif28",-164.9619,71.993,NA,"PRESENT"
"gbif29",128.3683,-52.5351,NA,"PRESENT"
"gbif30",127.183,-52.9612,NA,"PRESENT"
"gbif31",135.6612,-49.6237,NA,"PRESENT"
"gbif32",133.0371,-49.7885,NA,"PRESENT"
"gbif33",129.3389,-49.0048,NA,"PRESENT"
"gbif34",138.1356,-48.7914,NA,"PRESENT"
"gbif35",126.5903,-53.1725,NA,"PRESENT"
"gbif36",131.1005,-51.4047,NA,"PRESENT"
"gbif37",108.9411,-54.9738,NA,"PRESENT"
"gbif38",132.2177,-50.9584,NA,"PRESENT"
"gbif39",128.526,-49.2469,NA,"PRESENT"
"gbif40",128.9914,-49.1118,NA,"PRESENT"
"gbif41",135.849,-52.4965,NA,"PRESENT"
"gbif42",130.0738,-51.7997,NA,"PRESENT"
"gbif43",131.56,-51.2393,NA,"PRESENT"
"gbif44",136.0229,-49.5367,NA,"PRESENT"
"gbif45",128.409,-49.2806,NA,"PRESENT"
"gbif46",131.2129,-51.3633,NA,"PRESENT"
"gbif47",129.8224,-51.9228,NA,"PRESENT"
"gbif48",131.4464,-51.2819,NA,"PRESENT"
"gbif49",133.6333,-49.3513,NA,"PRESENT"
"gbif50",133.5479,-49.4106,NA,"PRESENT"
"gbif51",135.4183,-52.8235,NA,"PRESENT"
"gbif52",-65.806016,44.979852,NA,"PRESENT"
"gbif53",7.54,81.32,NA,"PRESENT"
"gbif54",7.84,79.69,NA,"PRESENT"
"gbif55",-138.37,69.83,NA,"PRESENT"
"gbif56",60,83.8,NA,"PRESENT"
"gbif57",7.54,81.32,NA,"PRESENT"
"gbif58",7.84,79.69,NA,"PRESENT"
"gbif59",-140.3,70.28,NA,"PRESENT"
"gbif60",7.54,81.32,NA,"PRESENT"
"gbif61",15.15,82.11,NA,"PRESENT"
"gbif62",60,83.8,NA,"PRESENT"
"gbif63",-55.15,63.08,NA,"PRESENT"
"gbif64",15.65,81.94,NA,"PRESENT"
"gbif65",-53.43,63.69,NA,"PRESENT"
"gbif66",15.15,82.11,NA,"PRESENT"
"gbif67",-140.3,70.28,NA,"PRESENT"
"gbif68",60,83.8,NA,"PRESENT"
"gbif69",-55.15,63.08,NA,"PRESENT"
"gbif70",9.77,79.64,NA,"PRESENT"
"gbif71",15.15,82.11,NA,"PRESENT"
"gbif72",-140.3,70.28,NA,"PRESENT"
"gbif73",60,83.8,NA,"PRESENT"
"gbif74",-55.15,63.08,NA,"PRESENT"
"gbif75",9.77,79.64,NA,"PRESENT"
