"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",12.657282,55.63406,NA,"PRESENT"
"gbif2",10.301641,56.222853,NA,"PRESENT"
"gbif3",10.301497,56.222725,NA,"PRESENT"
"gbif4",10.300203,56.222808,NA,"PRESENT"
"gbif5",-69.354088,48.387527,NA,"PRESENT"
"gbif6",-23.325195,64.931922,NA,"PRESENT"
"gbif7",-4.617966,53.27631,NA,"PRESENT"
"gbif8",-4.205458,53.308426,NA,"PRESENT"
"gbif9",12.348293,56.931847,NA,"PRESENT"
"gbif10",10.302905,56.224068,NA,"PRESENT"
"gbif11",-9.300429,39.385725,NA,"PRESENT"
"gbif12",-70.374578,43.565965,NA,"PRESENT"
"gbif13",-2.955182,51.392807,NA,"PRESENT"
"gbif14",-1.40978,46.039831,NA,"PRESENT"
"gbif15",-1.500861,46.21642,NA,"PRESENT"
"gbif16",10.302237,56.223218,NA,"PRESENT"
"gbif17",-9.216945,38.610857,NA,"PRESENT"
"gbif18",10.303531,56.224418,NA,"PRESENT"
"gbif19",-4.099546,52.580063,NA,"PRESENT"
"gbif20",-4.619716,53.27986,NA,"PRESENT"
"gbif21",-4.208857,53.304589,NA,"PRESENT"
"gbif22",13.831561,54.134534,NA,"PRESENT"
"gbif23",-6.122042,55.213318,NA,"PRESENT"
"gbif24",-2.219887,49.200005,NA,"PRESENT"
"gbif25",-66.07579,45.245992,NA,"PRESENT"
"gbif26",10.228691,54.948334,NA,"PRESENT"
"gbif27",21.071032,55.975391,NA,"PRESENT"
"gbif28",15.088768,54.992641,NA,"PRESENT"
"gbif29",33.051644,68.995614,NA,"PRESENT"
"gbif30",-5.652662,54.484203,NA,"PRESENT"
"gbif31",-69.354001,48.387556,NA,"PRESENT"
"gbif32",33.963488,66.26209,NA,"PRESENT"
"gbif33",-6.545357,55.219296,NA,"PRESENT"
"gbif34",-9.097326,54.219719,NA,"PRESENT"
"gbif35",-2.135208,50.612513,NA,"PRESENT"
"gbif36",35.121614,69.168962,NA,"PRESENT"
"gbif37",7.498858,57.967598,NA,"PRESENT"
"gbif38",9.221718,58.685152,NA,"PRESENT"
"gbif39",9.624119,63.7317,NA,"PRESENT"
"gbif40",6.205948,62.686729,NA,"PRESENT"
"gbif41",6.699797,62.700456,NA,"PRESENT"
"gbif42",23.330377,59.926311,NA,"PRESENT"
"gbif43",-73.33255,41.111386,NA,"PRESENT"
"gbif44",-4.214222,51.065281,NA,"PRESENT"
"gbif45",-67.166585,44.87961,NA,"PRESENT"
"gbif46",-3.354461,48.942833,NA,"PRESENT"
"gbif47",-70.710962,43.072208,NA,"PRESENT"
"gbif48",21.594192,61.525906,NA,"PRESENT"
"gbif49",-3.149167,47.343333,NA,"PRESENT"
"gbif50",11.304168,55.974651,NA,"PRESENT"
"gbif51",-68.208725,44.392635,NA,"PRESENT"
"gbif52",34.839588,66.596061,NA,"PRESENT"
"gbif53",-1.388081,45.955106,NA,"PRESENT"
