"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-73.931316,40.601935,"","PRESENT"
"gbif2",-76.930371,35.475061,"","PRESENT"
"gbif3",-76.68273,37.385997,"","PRESENT"
"gbif4",-76.584288,37.274263,"","PRESENT"
"gbif5",-75.561872,39.722325,"","PRESENT"
"gbif6",-76.146709,38.437862,"","PRESENT"
"gbif7",-76.545717,38.88162,"","PRESENT"
"gbif8",-76.584433,37.27418,"","PRESENT"
"gbif9",-74.018432,40.653627,"","PRESENT"
"gbif10",-74.018433,40.653634,"","PRESENT"
"gbif11",-76.596327,39.243873,"","PRESENT"
"gbif12",-74.104731,39.808142,"","PRESENT"
"gbif13",-74.255617,39.548574,"","PRESENT"
"gbif14",-73.91389,41.038939,"","PRESENT"
"gbif15",-76.584431,37.274308,"","PRESENT"
"gbif16",-76.584297,37.274163,"","PRESENT"
"gbif17",-73.481306,40.66804,"","PRESENT"
"gbif18",-72.927058,41.267523,"","PRESENT"
"gbif19",-76.584197,37.274147,"","PRESENT"
"gbif20",-64.944863,46.837306,"","PRESENT"
"gbif21",-75.061875,38.43231,"","PRESENT"
"gbif22",-75.277979,37.957664,"","PRESENT"
"gbif23",-75.059252,38.431625,"","PRESENT"
"gbif24",-79.836239,32.864499,"","PRESENT"
"gbif25",-64.356485,45.093293,"","PRESENT"
"gbif26",-74.101217,40.781851,"","PRESENT"
"gbif27",-75.057304,38.431895,"","PRESENT"
"gbif28",-75.061873,38.432311,"","PRESENT"
"gbif29",-76.530947,38.877018,"","PRESENT"
"gbif30",-75.361453,38.040984,"","PRESENT"
"gbif31",-70.7604,42.570177,"","PRESENT"
"gbif32",-76.604753,37.782757,"","PRESENT"
"gbif33",-76.360022,37.845433,"","PRESENT"
"gbif34",-76.528402,38.350884,"","PRESENT"
"gbif35",-64.368227,45.213932,"","PRESENT"
"gbif36",-76.622433,39.260103,"","PRESENT"
"gbif37",-76.598847,39.266171,"","PRESENT"
"gbif38",-76.495603,39.24402,"","PRESENT"
"gbif39",-76.596379,39.245389,"","PRESENT"
"gbif40",-70.00356,41.88322,"","PRESENT"
"gbif41",-64.399241,45.299282,"","PRESENT"
"gbif42",-77.165961,38.682944,"","PRESENT"
"gbif43",-70.717997,42.170658,"","PRESENT"
"gbif44",-72.47238,41.05352,"","PRESENT"
"gbif45",-74.105111,40.023278,"","PRESENT"
"gbif46",-72.472763,41.054067,"","PRESENT"
"gbif47",-76.592055,37.772995,"","PRESENT"
"gbif48",-66.110288,43.830948,"","PRESENT"
"gbif49",-75.074622,38.58642,"","PRESENT"
"gbif50",-76.592055,37.772975,"","PRESENT"
"gbif51",-76.710924,38.781056,"","PRESENT"
"gbif52",-69.732253,43.77427,"","PRESENT"
"gbif53",-76.72119,37.923676,"","PRESENT"
"gbif54",-66.109921,43.831,"","PRESENT"
"gbif55",-75.561323,35.819718,"","PRESENT"
"gbif56",-73.537616,40.876293,"","PRESENT"
"gbif57",-77.057108,38.683186,"","PRESENT"
"gbif58",-64.823596,43.909145,"","PRESENT"
"gbif59",-76.549016,38.410808,"","PRESENT"
"gbif60",-64.285297,45.133115,"","PRESENT"
"gbif61",-64.242336,45.111149,"","PRESENT"
"gbif62",-76.550784,38.405634,"","PRESENT"
"gbif63",-79.909697,32.894437,"","PRESENT"
"gbif64",-70.661989,42.615884,"","PRESENT"
"gbif65",-81.510262,31.339737,"","PRESENT"
"gbif66",-76.940214,38.936838,"","PRESENT"
"gbif67",-76.495535,39.243374,"","PRESENT"
"gbif68",-72.956484,41.314193,"","PRESENT"
"gbif69",-69.525466,44.060358,"","PRESENT"
"gbif70",-76.710517,38.811567,"","PRESENT"
"gbif71",-73.236915,41.151975,"","PRESENT"
"gbif72",-75.245913,38.831264,"","PRESENT"
"gbif73",-76.71048,38.811578,"","PRESENT"
"gbif74",-74.909028,38.949863,"","PRESENT"
"gbif75",-64.972196,48.160616,"","PRESENT"
"gbif76",-63.927242,44.494835,"","PRESENT"
"gbif77",-63.915833,44.483333,"","PRESENT"
"gbif78",-61.78,47.63,"","PRESENT"
"gbif79",-76.94018,38.93679,"","PRESENT"
"gbif80",-77.917472,34.029358,"","PRESENT"
"gbif81",-64.289087,45.090061,"","PRESENT"
"gbif82",-71.248519,41.493121,"","PRESENT"
"gbif83",-75.161607,38.206141,"","PRESENT"
"gbif84",-75.193884,39.857669,"","PRESENT"
"gbif85",-75.563845,35.813832,"","PRESENT"
"gbif86",-76.50222,38.348225,"","PRESENT"
"gbif87",-76.357174,35.438139,"","PRESENT"
"gbif88",-77.230318,38.638927,"","PRESENT"
"gbif89",-77.274721,38.611828,"","PRESENT"
"gbif91",-76.607972,39.285538,"","PRESENT"
"gbif92",-77.134475,38.442508,"","PRESENT"
"gbif93",-76.721995,39.043402,"","PRESENT"
"gbif94",-71.007531,42.468528,"","PRESENT"
"gbif95",-71.007501,42.468596,"","PRESENT"
"gbif96",-71.007078,42.468756,"","PRESENT"
"gbif97",-71.007771,42.468946,"","PRESENT"
"gbif98",-64.490534,45.080197,"","PRESENT"
"gbif99",-71.007186,42.468708,"","PRESENT"
"gbif100",-71.0075,42.468587,"","PRESENT"
"gbif101",-76.340863,38.893176,"","PRESENT"
"gbif102",-77.052645,38.680371,"","PRESENT"
"gbif103",-76.724472,39.042106,"","PRESENT"
"gbif104",-77.052645,38.680371,"","PRESENT"
"gbif105",-76.096916,36.902906,"","PRESENT"
"gbif106",-77.428165,34.497231,"","PRESENT"
"gbif107",-75.264988,39.881213,"","PRESENT"
"gbif108",-76.308889,37.736359,"","PRESENT"
"gbif109",-74.840632,38.97337,"","PRESENT"
"gbif110",-60.87367,45.660933,"","PRESENT"
"gbif111",-76.041072,38.630557,"","PRESENT"
"gbif112",-78.572788,33.856332,"","PRESENT"
"gbif113",-75.242262,38.832068,"","PRESENT"
"gbif114",-78.575886,33.856876,"","PRESENT"
"gbif115",-72.556664,41.264187,"","PRESENT"
"gbif116",-70.010458,41.79999,"","PRESENT"
"gbif117",-75.445309,39.160025,"","PRESENT"
"gbif118",-75.499389,39.114192,"","PRESENT"
"gbif119",-75.24836,38.829952,"","PRESENT"
"gbif120",-69.946083,41.796178,"","PRESENT"
"gbif121",-69.946128,41.79618,"","PRESENT"
