"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-122.989924,48.53485,"","PRESENT"
"gbif4",-132.979295,56.784008,"","PRESENT"
"gbif5",-128.59046,52.422342,"","PRESENT"
"gbif6",-122.69908,48.562597,"","PRESENT"
"gbif7",-146.602772,61.030281,"","PRESENT"
"gbif8",-146.344528,61.127047,"","PRESENT"
"gbif9",-134.079636,56.992717,"","PRESENT"
"gbif10",-151.838556,59.592355,"","PRESENT"
"gbif11",139.58,39.9,"","PRESENT"
"gbif12",-123.50314,48.940764,"","PRESENT"
"gbif13",-123.502884,48.940602,"","PRESENT"
"gbif14",-123.590188,49.002312,"","PRESENT"
"gbif15",-123.321934,48.909249,"","PRESENT"
"gbif16",-135.861603,58.333662,"","PRESENT"
"gbif17",-125.247496,50.042693,"","PRESENT"
"gbif33",-125.836744,49.146903,"","PRESENT"
"gbif55",-125.545442,48.943762,"","PRESENT"
"gbif56",-128.116666,51.796666,"","PRESENT"
"gbif57",-127.976666,51.198333,"","PRESENT"
"gbif58",-126.98,49.331166,"","PRESENT"
"gbif59",-128.13,51.118333,"","PRESENT"
"gbif60",-127.988333,51.098333,"","PRESENT"
"gbif61",-128.338333,51.215,"","PRESENT"
"gbif62",-128.411666,51.256666,"","PRESENT"
"gbif63",-127.811666,51.106666,"","PRESENT"
"gbif64",-128.113333,51.253333,"","PRESENT"
"gbif65",-127.821666,51.115,"","PRESENT"
"gbif66",-127.871666,51.138333,"","PRESENT"
"gbif67",-127.356666,49.753333,"","PRESENT"
"gbif68",-128.355166,52.020666,"","PRESENT"
"gbif69",-128.275,51.728333,"","PRESENT"
"gbif70",-128.281666,51.881666,"","PRESENT"
"gbif71",-128.143333,51.716666,"","PRESENT"
"gbif72",-128.213333,51.72,"","PRESENT"
"gbif73",-127.81,51.188333,"","PRESENT"
"gbif74",-127.873333,51.395,"","PRESENT"
"gbif75",-127.931666,51.348333,"","PRESENT"
"gbif76",-127.906666,51.32,"","PRESENT"
