"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif2",4.458953,52.282176,NA,"PRESENT"
"gbif3",4.490777,52.324428,NA,"PRESENT"
"gbif5",5.099024,53.300686,NA,"PRESENT"
"gbif9",3.504466,51.569454,NA,"PRESENT"
"gbif13",7.002822,53.683004,NA,"PRESENT"
"gbif20",-4.692588,51.672645,NA,"PRESENT"
"gbif21",3.907377,51.83126,NA,"PRESENT"
"gbif22",-3.512878,50.405322,NA,"PRESENT"
"gbif28",-63.548681,44.627498,NA,"PRESENT"
"gbif30",-4.202646,56.355235,NA,"PRESENT"
"gbif31",-0.492597,54.408175,NA,"PRESENT"
"gbif707",3.700147,51.671839,NA,"PRESENT"
"gbif712",-6.963311,62.286622,NA,"PRESENT"
"gbif716",-0.490745,54.407635,NA,"PRESENT"
"gbif718",-69.959766,41.68209,NA,"PRESENT"
"gbif720",3.978711,51.844898,NA,"PRESENT"
"gbif722",4.682883,53.101587,NA,"PRESENT"
"gbif723",-66.739634,44.494386,NA,"PRESENT"
"gbif727",1.092859,52.956606,NA,"PRESENT"
"gbif728",4.713212,52.930771,NA,"PRESENT"
"gbif729",-64.162517,48.494834,NA,"PRESENT"
"gbif730",-5.55206,50.213525,NA,"PRESENT"
"gbif731",-70.654589,42.612331,NA,"PRESENT"
"gbif736",7.830538,54.081201,NA,"PRESENT"
"gbif738",-6.507304,55.679985,NA,"PRESENT"
"gbif739",-2.898655,53.341668,NA,"PRESENT"
"gbif740",-66.333255,44.281953,NA,"PRESENT"
"gbif741",0.993779,52.976163,NA,"PRESENT"
"gbif742",4.250093,52.093944,NA,"PRESENT"
"gbif1062",4.60496,52.558533,NA,"PRESENT"
"gbif1064",5.55619,53.435165,NA,"PRESENT"
"gbif1067",3.824203,51.748571,NA,"PRESENT"
"gbif1068",5.057991,53.290427,NA,"PRESENT"
"gbif1069",0.96151,52.966653,NA,"PRESENT"
"gbif1071",5.099024,53.300686,NA,"PRESENT"
"gbif1072",1.655913,52.757352,NA,"PRESENT"
"gbif1073",-3.163555,54.084903,NA,"PRESENT"
"gbif1074",-69.950958,41.68782,NA,"PRESENT"
"gbif1075",-69.967719,41.289508,NA,"PRESENT"
"gbif1079",-68.751016,43.884536,NA,"PRESENT"
"gbif1082",-68.74276,43.884591,NA,"PRESENT"
"gbif1083",-70.418515,41.746813,NA,"PRESENT"
"gbif1085",3.824435,51.748207,NA,"PRESENT"
"gbif1086",-4.812937,54.046122,NA,"PRESENT"
"gbif1088",-5.309497,51.902878,NA,"PRESENT"
"gbif1089",-66.143556,43.689178,NA,"PRESENT"
"gbif1095",-5.273077,51.730345,NA,"PRESENT"
"gbif1100",6.199923,53.446495,NA,"PRESENT"
"gbif1931",-3.436265,48.901707,NA,"PRESENT"
"gbif1934",-7.682782,62.095389,NA,"PRESENT"
"gbif1935",4.487678,52.320807,NA,"PRESENT"
"gbif1936",4.424984,52.247446,NA,"PRESENT"
"gbif1938",-68.141045,44.349553,NA,"PRESENT"
"gbif1940",4.029294,51.986915,NA,"PRESENT"
"gbif1942",-1.534424,55.339989,NA,"PRESENT"
"gbif1943",3.824307,51.748644,NA,"PRESENT"
"gbif1944",-69.962425,41.278512,NA,"PRESENT"
"gbif1945",7.828439,54.05365,NA,"PRESENT"
"gbif1947",-70.216204,42.042243,NA,"PRESENT"
"gbif1949",-1.627659,55.631712,NA,"PRESENT"
