"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-63.33207,44.643632,NA,"PRESENT"
"gbif2",-64.893312,43.818292,NA,"PRESENT"
"gbif3",-60.338732,46.685878,NA,"PRESENT"
"gbif4",-69.408051,43.983612,NA,"PRESENT"
"gbif5",-62.253114,46.351963,NA,"PRESENT"
"gbif6",-69.483581,43.880096,NA,"PRESENT"
"gbif7",-60.214808,45.757408,NA,"PRESENT"
"gbif8",-62.27603,46.354642,NA,"PRESENT"
"gbif9",-69.096297,44.038586,NA,"PRESENT"
"gbif10",-70.613587,42.977878,NA,"PRESENT"
"gbif11",-69.493501,43.873515,NA,"PRESENT"
"gbif12",-74.023369,39.62462,NA,"PRESENT"
"gbif13",-73.32975,41.110497,NA,"PRESENT"
"gbif14",-70.614697,43.165943,NA,"PRESENT"
"gbif15",-59.90443,45.93645,NA,"PRESENT"
"gbif16",-64.45323,45.25005,NA,"PRESENT"
"gbif17",-64.819472,43.847912,NA,"PRESENT"
"gbif18",-60.46215,46.939147,NA,"PRESENT"
"gbif19",-70.825308,41.333909,NA,"PRESENT"
"gbif20",-60.416667,46.333333,NA,"PRESENT"
"gbif21",-70.252819,43.655523,NA,"PRESENT"
"gbif22",-61.391705,45.419986,NA,"PRESENT"
"gbif23",-60.355787,46.703972,NA,"PRESENT"
"gbif24",-59.929878,46.179945,NA,"PRESENT"
"gbif25",-54.7561,49.668063,NA,"PRESENT"
"gbif26",-64.329262,45.372875,NA,"PRESENT"
"gbif27",-70.56735,42.672306,NA,"PRESENT"
"gbif28",-70.907992,42.417467,NA,"PRESENT"
"gbif29",-70.567481,42.672184,NA,"PRESENT"
"gbif30",-70.906677,42.417075,NA,"PRESENT"
"gbif31",-63.894451,44.523143,NA,"PRESENT"
"gbif32",-63.861587,44.421931,NA,"PRESENT"
"gbif33",-66.795395,44.659837,NA,"PRESENT"
"gbif34",-64.903242,47.395238,NA,"PRESENT"
"gbif35",-62.034184,45.64065,NA,"PRESENT"
"gbif36",-63.699803,46.559178,NA,"PRESENT"
"gbif37",-64.903258,47.395283,NA,"PRESENT"
"gbif38",-64.903185,47.395124,NA,"PRESENT"
"gbif39",-63.103951,44.68552,NA,"PRESENT"
"gbif40",-63.697442,46.559017,NA,"PRESENT"
"gbif41",-62.375225,46.303692,NA,"PRESENT"
"gbif42",-69.719987,43.78412,NA,"PRESENT"
"gbif43",-72.439957,41.030986,NA,"PRESENT"
"gbif44",-68.051672,44.336282,NA,"PRESENT"
"gbif45",-66.050194,48.110517,NA,"PRESENT"
"gbif46",-66.047775,48.112061,NA,"PRESENT"
"gbif47",-70.642072,42.685932,NA,"PRESENT"
"gbif48",-66.059172,48.105872,NA,"PRESENT"
"gbif49",-70.591873,42.628266,NA,"PRESENT"
"gbif50",-71.049147,42.359248,NA,"PRESENT"
"gbif51",-70.599889,42.662728,NA,"PRESENT"
"gbif52",-64.913356,47.35661,NA,"PRESENT"
"gbif53",-64.477264,47.964584,NA,"PRESENT"
"gbif54",-64.872354,47.485672,NA,"PRESENT"
