"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",129.9175,28.296389,"","PRESENT"
"gbif2",129.9175,28.296389,"","PRESENT"
"gbif3",129.985833,28.304722,"","PRESENT"
"gbif4",142.66667,-9.4,"","PRESENT"
"gbif5",74.49583,3.92,"","PRESENT"
"gbif6",153.298203,-29.776515,"","PRESENT"
"gbif7",130.262222,31.706667,"","PRESENT"
"gbif8",128.601389,27.343056,"","PRESENT"
"gbif9",127.643333,26.176667,"","PRESENT"
"gbif10",127.643333,26.176667,"","PRESENT"
"gbif11",127.643333,26.176667,"","PRESENT"
"gbif12",179.418593,-16.799898,"","PRESENT"
"gbif13",179.418627,-16.799938,"","PRESENT"
"gbif14",179.418595,-16.799917,"","PRESENT"
"gbif15",77,8.21,"","PRESENT"
"gbif16",112.75,9.58,"","PRESENT"
"gbif17",121.512306,23.483972,"","PRESENT"
"gbif18",55.457278,-4.568667,"","PRESENT"
"gbif19",120.365111,22.351278,"","PRESENT"
"gbif20",120.745083,21.932417,"","PRESENT"
"gbif21",120.701667,21.998,"","PRESENT"
"gbif22",127.876072,26.710994,"","PRESENT"
"gbif23",55.457278,-4.568667,"","PRESENT"
"gbif24",128.204808,26.775044,"","PRESENT"
"gbif25",130.483611,30.230833,"","PRESENT"
"gbif26",127.876111,26.711111,"","PRESENT"
"gbif27",108.2075,4.275,"","PRESENT"
"gbif28",106.219444,3.309722,"","PRESENT"
"gbif29",107.922222,3.903611,"","PRESENT"
"gbif30",128.438611,27.023889,"","PRESENT"
"gbif31",128.438611,27.023889,"","PRESENT"
"gbif32",128.438611,27.023889,"","PRESENT"
"gbif33",128.399167,27.037222,"","PRESENT"
"gbif34",128.399167,27.037222,"","PRESENT"
"gbif35",133.094722,33.023611,"","PRESENT"
"gbif36",128.399167,27.037222,"","PRESENT"
"gbif37",133.094722,33.023611,"","PRESENT"
"gbif38",133.094722,33.023611,"","PRESENT"
"gbif39",128.399167,27.037222,"","PRESENT"
"gbif40",128.399167,27.037222,"","PRESENT"
"gbif41",128.399167,27.037222,"","PRESENT"
"gbif42",130.129722,31.412222,"","PRESENT"
"gbif43",110.5765,-8.1381,"","PRESENT"
"gbif44",121.7297,12.9339,"","PRESENT"
"gbif45",73.514866,4.197081,"","PRESENT"
"gbif46",114.164026,-21.785508,"","PRESENT"
"gbif47",127.643333,26.176667,"","PRESENT"
"gbif48",127.643333,26.176667,"","PRESENT"
"gbif49",127.643333,26.176667,"","PRESENT"
"gbif50",128.528889,27.355833,"","PRESENT"
"gbif51",127.643333,26.176667,"","PRESENT"
"gbif52",128.528889,27.355833,"","PRESENT"
"gbif53",128.528889,27.355833,"","PRESENT"
"gbif54",128.970833,27.8475,"","PRESENT"
"gbif55",128.417222,27.061111,"","PRESENT"
"gbif56",128.417222,27.061111,"","PRESENT"
"gbif57",130.193333,30.462778,"","PRESENT"
"gbif58",128.417222,27.061111,"","PRESENT"
"gbif59",103.439167,4.782778,"","PRESENT"
"gbif60",103.416944,4.828333,"","PRESENT"
"gbif61",103.186111,5.268611,"","PRESENT"
"gbif62",103.186111,5.268611,"","PRESENT"
"gbif63",130.96,30.690833,"","PRESENT"
"gbif64",130.96,30.690833,"","PRESENT"
"gbif65",130.5075,31.193333,"","PRESENT"
"gbif66",130.5075,31.193333,"","PRESENT"
"gbif67",130.5075,31.193333,"","PRESENT"
"gbif68",130.5075,31.193333,"","PRESENT"
"gbif69",130.5075,31.193333,"","PRESENT"
"gbif70",130.5075,31.193333,"","PRESENT"
"gbif71",130.5075,31.193333,"","PRESENT"
"gbif72",130.5075,31.193333,"","PRESENT"
"gbif73",127.6963,26.0856,"","PRESENT"
"gbif74",179.116667,-16.233333,"","PRESENT"
"gbif75",179.116667,-16.233333,"","PRESENT"
"gbif76",179.116667,-16.233333,"","PRESENT"
"gbif77",178.833333,-17.75,"","PRESENT"
"gbif78",124.251667,24.377222,"","PRESENT"
"gbif79",115.5761,-20.43525,"","PRESENT"
"gbif80",115.5761,-20.43525,"","PRESENT"
"gbif81",162.25,11.5,"NATIVE","PRESENT"
"gbif82",122.992,9.0522,"","PRESENT"
"gbif83",128.242,-3.625,"","PRESENT"
"gbif84",150.365,-10.7617,"","PRESENT"
"gbif85",-172.171,-4.4881,"","PRESENT"
"gbif86",-174.043,-18.715,"","PRESENT"
"gbif87",-174.537,-4.6689,"","PRESENT"
"gbif88",150.365,-10.7617,"","PRESENT"
"gbif89",123.296,9.4208,"","PRESENT"
"gbif90",-174.971,-21.3375,"","PRESENT"
"gbif91",145.806,-4.8547,"","PRESENT"
"gbif92",-175.343,-21.1342,"","PRESENT"
"gbif93",152.152,-4.2206,"","PRESENT"
"gbif94",123.448,9.1778,"","PRESENT"
"gbif95",120.773,21.9467,"","PRESENT"
"gbif96",168.417,-17.8231,"","PRESENT"
"gbif97",-174.11,-18.7422,"","PRESENT"
"gbif98",121.73,12.9339,"","PRESENT"
"gbif99",150.365,-10.7617,"","PRESENT"
"gbif100",123.448,9.1778,"","PRESENT"
"gbif101",-175.2,-21.23,"","PRESENT"
"gbif102",-171.093,-3.14158,"","PRESENT"
"gbif103",177,-12.5,"","PRESENT"
"gbif104",168.417,-17.8231,"","PRESENT"
"gbif105",120.773,21.9467,"","PRESENT"
"gbif106",-171.093,-3.14158,"","PRESENT"
"gbif107",128.1,-3.78,"","PRESENT"
"gbif108",121.75,20.8125,"","PRESENT"
"gbif109",145.806,-4.8547,"","PRESENT"
"gbif110",169.006,-18.8275,"","PRESENT"
"gbif111",120.817,21.93,"","PRESENT"
"gbif112",122.142,10.5847,"","PRESENT"
"gbif113",128.1,-3.78,"","PRESENT"
"gbif114",152.152,-4.2206,"","PRESENT"
"gbif115",-171.073,-11.0597,"","PRESENT"
"gbif116",-172.182,-4.4914,"","PRESENT"
"gbif117",-171.073,-11.0597,"","PRESENT"
"gbif118",168.502,-17.8044,"","PRESENT"
"gbif119",122.992,9.0522,"","PRESENT"
"gbif120",121.37,18.85,"","PRESENT"
"gbif121",168.417,-17.8231,"","PRESENT"
"gbif122",-172.171,-4.4878,"","PRESENT"
"gbif123",177,-12.5,"","PRESENT"
"gbif124",162.875,-8.38,"","PRESENT"
"gbif125",169.006,-18.8275,"","PRESENT"
"gbif126",123.296,9.4208,"","PRESENT"
"gbif127",-178.52,-18.92,"","PRESENT"
"gbif128",123.296,9.4208,"","PRESENT"
"gbif129",128.242,-3.625,"","PRESENT"
"gbif130",121.97,21.3667,"","PRESENT"
"gbif131",-174.067,-18.6397,"","PRESENT"
"gbif132",120.817,21.93,"","PRESENT"
"gbif133",-172.171,-4.4881,"","PRESENT"
"gbif134",60.6,25.3,"","PRESENT"
"gbif135",145.784729,15.1775,"","PRESENT"
"gbif136",55.833332,-4.366667,"","PRESENT"
"gbif137",43.700001,-17.033333,"","PRESENT"
"gbif138",98.416111,7.800833,"","PRESENT"
"gbif139",123.453889,9.204444,"","PRESENT"
"gbif140",178.528611,-18.757222,"","PRESENT"
"gbif141",178.53306,-18.75417,"","PRESENT"
"gbif142",177.6,-16.71667,"","PRESENT"
"gbif143",178.51,-18.736944,"","PRESENT"
"gbif144",179.39611,-17.81111,"","PRESENT"
"gbif145",178.38556,-18.14528,"","PRESENT"
"gbif146",59.538889,22.6,"","PRESENT"
"gbif147",145.460556,-14.678657,"","PRESENT"
"gbif148",114.166,-21.833,"","PRESENT"
"gbif149",114.166,-21.833,"","PRESENT"
"gbif150",114.166,-21.833,"","PRESENT"
"gbif151",114.166,-21.833,"","PRESENT"
"gbif152",114.166,-21.833,"","PRESENT"
"gbif153",114.166,-21.833,"","PRESENT"
"gbif154",115,-8,"","PRESENT"
"gbif155",115,-8,"","PRESENT"
"gbif156",115,-8,"","PRESENT"
"gbif157",115,-8,"","PRESENT"
"gbif158",115,-8,"","PRESENT"
"gbif159",115,-8,"","PRESENT"
"gbif160",115,-8,"","PRESENT"
"gbif161",115,-8,"","PRESENT"
"gbif162",115,-8,"","PRESENT"
