"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-18.418577,66.06223,"","PRESENT"
"gbif2",-21.954644,64.203382,"","PRESENT"
"gbif3",-21.960137,64.196357,"","PRESENT"
"gbif4",-21.943658,64.198748,"","PRESENT"
"gbif5",-17.573177,66.139028,"","PRESENT"
"gbif6",5.854789,57.535837,"","PRESENT"
"gbif7",-17.410702,66.051243,"","PRESENT"
"gbif8",-18.39798,66.065763,"","PRESENT"
"gbif9",-17.529115,66.085694,"","PRESENT"
"gbif10",5.836806,57.621511,"","PRESENT"
"gbif11",-18.428116,66.096647,"","PRESENT"
"gbif12",16.09754,73.367788,"","PRESENT"
"gbif13",30.014411,69.864233,"","PRESENT"
"gbif14",28.216829,71.089718,"","PRESENT"
"gbif15",23.287728,70.153811,"","PRESENT"
"gbif16",12.701837,66.217037,"","PRESENT"
"gbif17",30.79865,69.791538,"","PRESENT"
"gbif18",22.3291,70.322172,"","PRESENT"
"gbif19",-23.663675,64.918519,"","PRESENT"
"gbif20",-23.656809,64.93464,"","PRESENT"
"gbif21",-23.773325,65.027117,"","PRESENT"
"gbif22",8.5012,57.0436,"","PRESENT"
"gbif23",1.30863,50.81981,"","PRESENT"
"gbif24",1.97329,50.99158,"","PRESENT"
"gbif25",-6.117923,58.26291,"","PRESENT"
"gbif26",-6.124055,58.24924,"","PRESENT"
"gbif27",-6.105706,58.27399,"","PRESENT"
"gbif28",-6.13374,58.248203,"","PRESENT"
"gbif29",-6.099398,58.25304,"","PRESENT"
"gbif30",-6.1258,58.262965,"","PRESENT"
"gbif31",-6.120515,58.263029,"","PRESENT"
"gbif32",-6.125989,58.263254,"","PRESENT"
"gbif33",-6.123253,58.277005,"","PRESENT"
"gbif34",-6.116651,58.254408,"","PRESENT"
"gbif35",-6.119073,58.248799,"","PRESENT"
"gbif36",-6.16664,58.272528,"","PRESENT"
"gbif37",-6.126312,58.255223,"","PRESENT"
"gbif38",-6.110315,58.259396,"","PRESENT"
"gbif39",-6.12403,58.262397,"","PRESENT"
"gbif40",-6.115037,58.251517,"","PRESENT"
"gbif41",-6.122474,58.262772,"","PRESENT"
"gbif42",-6.097252,58.261074,"","PRESENT"
"gbif43",-6.10755,58.270733,"","PRESENT"
"gbif44",-6.158383,58.4159,"","PRESENT"
"gbif45",22.91843,73.579709,"","PRESENT"
"gbif46",21.586471,69.932921,"","PRESENT"
"gbif47",21.481431,70.263432,"","PRESENT"
"gbif48",25.064371,73.275527,"","PRESENT"
"gbif49",18.560245,72.350169,"","PRESENT"
"gbif50",22.91843,73.579709,"","PRESENT"
"gbif51",18.995541,69.817858,"","PRESENT"
"gbif52",22.91843,73.579709,"","PRESENT"
"gbif53",19.025312,69.793952,"","PRESENT"
"gbif54",15.965865,72.242343,"","PRESENT"
"gbif55",20.652673,69.523586,"","PRESENT"
"gbif56",20.177096,69.395603,"","PRESENT"
"gbif57",10.64513,57.74457,"","PRESENT"
"gbif58",-23.719776,64.945132,"","PRESENT"
"gbif59",-21.96612,64.207042,"","PRESENT"
"gbif60",8.12872,56.25396,"","PRESENT"
"gbif61",-17.574072,66.080628,"","PRESENT"
"gbif62",-17.556583,66.075769,"","PRESENT"
"gbif63",-17.454529,66.067573,"","PRESENT"
"gbif64",-17.4724,66.1205,"","PRESENT"
"gbif65",-17.454529,66.067573,"","PRESENT"
"gbif66",-17.5,66.1,"","PRESENT"
"gbif67",-17.5,66.1,"","PRESENT"
"gbif68",-17.5,66.1,"","PRESENT"
