"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",118.1,24.48,NA,"PRESENT"
"gbif2",118.89,25.2,NA,"PRESENT"
"gbif3",119.76,25.5,NA,"PRESENT"
"gbif4",118.89,24.9,NA,"PRESENT"
"gbif5",126.96558,36.22284,NA,"PRESENT"
"gbif6",126.96558,36.22284,NA,"PRESENT"
"gbif7",126.96558,36.22284,NA,"PRESENT"
"gbif8",126.96558,36.22284,NA,"PRESENT"
"gbif9",126.96558,36.22284,NA,"PRESENT"
"gbif10",126.96558,36.22284,NA,"PRESENT"
"gbif11",126.63693,36.07383,NA,"PRESENT"
"gbif12",126.63693,36.07383,NA,"PRESENT"
"gbif13",126.63693,36.07383,NA,"PRESENT"
"gbif14",126.63693,36.07383,NA,"PRESENT"
"gbif15",126.63693,36.07383,NA,"PRESENT"
"gbif16",126.63693,36.07383,NA,"PRESENT"
"gbif17",126.63693,36.07383,NA,"PRESENT"
"gbif18",126.63693,36.07383,NA,"PRESENT"
"gbif19",126.63693,36.07383,NA,"PRESENT"
"gbif20",118.05,23.67,NA,"PRESENT"
"gbif21",113.42,21.12,NA,"PRESENT"
"gbif22",113.42,21.12,NA,"PRESENT"
"gbif23",113.42,21.12,NA,"PRESENT"
"gbif24",119.93,26.04,NA,"PRESENT"
"gbif25",113.28,17.31,NA,"PRESENT"
"gbif26",118.05,23.67,NA,"PRESENT"
"gbif27",113.42,21.12,NA,"PRESENT"
"gbif28",113.28,17.31,NA,"PRESENT"
"gbif29",109.38,21.23,NA,"PRESENT"
"gbif30",109.38,21.23,NA,"PRESENT"
"gbif31",109.38,21.23,NA,"PRESENT"
"gbif32",119.93,26.04,NA,"PRESENT"
"gbif33",113.42,21.12,NA,"PRESENT"
"gbif34",118.05,23.67,NA,"PRESENT"
"gbif35",113.42,21.12,NA,"PRESENT"
"gbif36",113.28,17.31,NA,"PRESENT"
"gbif37",119.93,26.04,NA,"PRESENT"
"gbif38",113.28,17.31,NA,"PRESENT"
"gbif39",117.51,23.51,NA,"PRESENT"
"gbif40",109.38,21.23,NA,"PRESENT"
"gbif41",118.05,23.67,NA,"PRESENT"
"gbif42",120.17,26.52,NA,"PRESENT"
"gbif43",113.42,21.12,NA,"PRESENT"
"gbif44",113.42,21.12,NA,"PRESENT"
"gbif45",119.76,25.5,NA,"PRESENT"
"gbif46",118.89,25.2,NA,"PRESENT"
"gbif47",118.89,24.9,NA,"PRESENT"
"gbif48",118.1,24.48,NA,"PRESENT"
"gbif49",109.378,21.233,NA,"PRESENT"
"gbif50",113.421,21.125,NA,"PRESENT"
"gbif51",113.421,21.125,NA,"PRESENT"
"gbif52",118.05,23.667,NA,"PRESENT"
"gbif53",113.276,17.311,NA,"PRESENT"
"gbif54",113.42,21.125,NA,"PRESENT"
"gbif55",113.276,17.311,NA,"PRESENT"
"gbif56",118.05,23.666,NA,"PRESENT"
"gbif57",113.42,21.125,NA,"PRESENT"
"gbif58",109.377,21.232,NA,"PRESENT"
"gbif59",119.93,26.04,NA,"PRESENT"
"gbif60",120.17,26.52,NA,"PRESENT"
"gbif61",119.93,26.04,NA,"PRESENT"
"gbif62",117.51,23.51,NA,"PRESENT"
"gbif63",119.93,26.04,NA,"PRESENT"
"gbif64",121.965364,31.299791,NA,"PRESENT"
"gbif65",129.080727,35.09556,NA,"PRESENT"
"gbif66",126.3025,30.845833,NA,"PRESENT"
"gbif67",126.3025,30.845833,NA,"PRESENT"
"gbif68",126.3025,30.845833,NA,"PRESENT"
"gbif69",126.3025,30.845833,NA,"PRESENT"
"gbif70",126.3025,30.845833,NA,"PRESENT"
"gbif71",126.3025,30.845833,NA,"PRESENT"
"gbif72",126.3025,30.845833,NA,"PRESENT"
"gbif73",126.3025,30.845833,NA,"PRESENT"
"gbif74",126.3025,30.845833,NA,"PRESENT"
"gbif75",126.3025,30.845833,NA,"PRESENT"
"gbif76",126.3025,30.845833,NA,"PRESENT"
"gbif77",126.3025,30.845833,NA,"PRESENT"
"gbif78",126.3025,30.845833,NA,"PRESENT"
"gbif79",126.3025,30.845833,NA,"PRESENT"
"gbif80",126.3025,30.845833,NA,"PRESENT"
"gbif81",126.3025,30.845833,NA,"PRESENT"
"gbif82",126.3025,30.845833,NA,"PRESENT"
"gbif83",126.3025,30.845833,NA,"PRESENT"
"gbif84",126.3025,30.845833,NA,"PRESENT"
"gbif85",126.3025,30.845833,NA,"PRESENT"
"gbif86",126.3025,30.845833,NA,"PRESENT"
"gbif87",126.3025,30.845833,NA,"PRESENT"
"gbif88",126.3025,30.845833,NA,"PRESENT"
"gbif89",126.3025,30.845833,NA,"PRESENT"
"gbif90",126.3025,30.845833,NA,"PRESENT"
"gbif91",126.3025,30.845833,NA,"PRESENT"
"gbif92",126.3025,30.845833,NA,"PRESENT"
"gbif93",126.3025,30.845833,NA,"PRESENT"
"gbif94",126.3025,30.845833,NA,"PRESENT"
"gbif95",126.3025,30.845833,NA,"PRESENT"
"gbif96",126.3025,30.845833,NA,"PRESENT"
"gbif97",126.3025,30.845833,NA,"PRESENT"
"gbif98",126.3025,30.845833,NA,"PRESENT"
"gbif99",126.3025,30.845833,NA,"PRESENT"
"gbif100",126.742222,31.256944,NA,"PRESENT"
"gbif101",126.3025,30.845833,NA,"PRESENT"
"gbif102",126.3025,30.845833,NA,"PRESENT"
"gbif103",126.3025,30.845833,NA,"PRESENT"
"gbif104",126.3025,30.845833,NA,"PRESENT"
"gbif105",126.742222,31.256944,NA,"PRESENT"
"gbif106",126.3025,30.845833,NA,"PRESENT"
"gbif107",126.742222,31.256944,NA,"PRESENT"
"gbif108",126.3025,30.845833,NA,"PRESENT"
"gbif109",126.750278,31.736944,NA,"PRESENT"
"gbif110",126.750278,31.736944,NA,"PRESENT"
"gbif111",126.3025,30.845833,NA,"PRESENT"
"gbif112",126.3025,30.845833,NA,"PRESENT"
"gbif113",126.3025,30.845833,NA,"PRESENT"
"gbif114",126.3025,30.845833,NA,"PRESENT"
"gbif115",126.3025,30.845833,NA,"PRESENT"
"gbif116",126.3025,30.845833,NA,"PRESENT"
"gbif117",126.3025,30.845833,NA,"PRESENT"
"gbif118",126.750278,31.736944,NA,"PRESENT"
"gbif119",126.76,30.241111,NA,"PRESENT"
"gbif120",126.76,30.241111,NA,"PRESENT"
"gbif121",126.76,30.241111,NA,"PRESENT"
"gbif122",126.76,30.241111,NA,"PRESENT"
"gbif123",126.25,30.760833,NA,"PRESENT"
"gbif124",126.25,30.760833,NA,"PRESENT"
"gbif125",126.25,30.760833,NA,"PRESENT"
"gbif126",126.25,30.760833,NA,"PRESENT"
"gbif127",126.632778,31.234722,NA,"PRESENT"
"gbif128",126.632778,31.234722,NA,"PRESENT"
"gbif129",126.632778,31.234722,NA,"PRESENT"
"gbif130",126.632778,31.234722,NA,"PRESENT"
"gbif131",126.632778,31.234722,NA,"PRESENT"
"gbif132",126.632778,31.234722,NA,"PRESENT"
"gbif133",123,36,NA,"PRESENT"
"gbif134",125.39976,38.704138,NA,"PRESENT"
"gbif135",121.283146,38.76146,NA,"PRESENT"
"gbif136",122.079623,30.003107,NA,"PRESENT"
"gbif137",122.079623,30.003107,NA,"PRESENT"
"gbif138",122.479167,34.721111,NA,"PRESENT"
"gbif139",126.51,30.834167,NA,"PRESENT"
"gbif140",126.116944,30.477222,NA,"PRESENT"
"gbif141",125.942778,30.304722,NA,"PRESENT"
"gbif142",126.032778,30.420556,NA,"PRESENT"
"gbif143",121.76,25.16,NA,"PRESENT"
"gbif144",120.52,24.25,NA,"PRESENT"
"gbif145",120.52,24.25,NA,"PRESENT"
"gbif146",120.52,24.25,NA,"PRESENT"
