"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-156.496275,20.633161,"","PRESENT"
"gbif2",118.633468,4.253618,"","PRESENT"
"gbif3",-147.690432,-15.23408,"","PRESENT"
"gbif4",-157.824478,21.273067,"","PRESENT"
"gbif5",-148.189836,-15.015187,"","PRESENT"
"gbif6",-148.189836,-15.015187,"","PRESENT"
"gbif7",-159.818036,-18.876593,"","PRESENT"
"gbif8",-159.791328,-18.837769,"","PRESENT"
"gbif9",80.250445,12.787002,"","PRESENT"
"gbif10",-158.111591,21.594435,"","PRESENT"
"gbif11",-157.695278,21.272222,"","PRESENT"
"gbif12",-158.065891,21.648453,"","PRESENT"
"gbif13",130.000833,28.366944,"","PRESENT"
"gbif14",130.0075,28.338611,"","PRESENT"
"gbif15",129.918889,28.296111,"","PRESENT"
"gbif16",123.8875,24.384167,"","PRESENT"
"gbif17",129.441667,28.290833,"","PRESENT"
"gbif18",130.959167,30.45,"","PRESENT"
"gbif19",129.917778,28.296111,"","PRESENT"
"gbif20",130.959167,30.45,"","PRESENT"
"gbif21",55.82176,-21.1469,"","PRESENT"
"gbif22",55.37652,-20.8948,"","PRESENT"
"gbif23",55.30145,-21.23971,"","PRESENT"
"gbif24",55.22368,-21.07384,"","PRESENT"
"gbif25",32.679624,-27.526275,"","PRESENT"
"gbif26",146.549578,-13.798003,"","PRESENT"
"gbif27",-156.667182,21.001767,"","PRESENT"
"gbif28",-155.862883,19.952714,"","PRESENT"
"gbif29",-156.639005,21.015029,"","PRESENT"
"gbif30",-155.864826,19.952894,"","PRESENT"
"gbif31",57.753297,-20.140625,"","PRESENT"
"gbif32",55.76863,-21.10393,"","PRESENT"
"gbif33",55.27931,-21.17037,"","PRESENT"
"gbif34",55.22677,-21.02182,"","PRESENT"
"gbif35",55.31402,-20.92319,"","PRESENT"
"gbif36",55.42345,-21.32984,"","PRESENT"
"gbif37",55.23405,-21.015,"","PRESENT"
"gbif38",55.80428,-21.12857,"","PRESENT"
"gbif39",55.2375,-21.01782,"","PRESENT"
"gbif40",55.32625,-21.26822,"","PRESENT"
"gbif41",55.21977,-21.05721,"","PRESENT"
"gbif42",55.33175,-21.26861,"","PRESENT"
"gbif43",55.28503,-21.1654,"","PRESENT"
"gbif44",55.29266,-21.2331,"","PRESENT"
"gbif45",124.742778,1.687607,"","PRESENT"
"gbif46",168.262418,-17.696502,"","PRESENT"
"gbif47",-149.914535,-17.489914,"","PRESENT"
"gbif48",-154.819502,19.48786,"","PRESENT"
"gbif49",-157.694994,21.270516,"","PRESENT"
"gbif50",177.320684,-18.11077,"","PRESENT"
"gbif51",-155.066422,19.729295,"","PRESENT"
"gbif52",122.189549,13.515251,"","PRESENT"
"gbif53",93.137884,12.104368,"","PRESENT"
"gbif54",84.9035,19.2527,"","PRESENT"
"gbif55",171.373261,7.102881,"","PRESENT"
"gbif56",-153.943,-16.7832,"","PRESENT"
"gbif57",-178.15,-14.3129,"","PRESENT"
"gbif58",-157.806,21.4372,"","PRESENT"
"gbif59",-157.796,21.444,"","PRESENT"
"gbif60",-157.806,21.4372,"","PRESENT"
"gbif61",-149.85,-17.5133,"","PRESENT"
"gbif62",119.708,15.1293,"","PRESENT"
"gbif63",-153.943,-16.7832,"","PRESENT"
"gbif64",-157.806,21.4372,"","PRESENT"
"gbif65",-157.806,21.4372,"","PRESENT"
"gbif66",-157.796,21.444,"","PRESENT"
"gbif67",-149.925,-17.5027,"","PRESENT"
"gbif68",-178.15,-14.3129,"","PRESENT"
"gbif69",-149.85,-17.5133,"","PRESENT"
"gbif70",-149.925,-17.5027,"","PRESENT"
"gbif71",-135.047,-23.1457,"","PRESENT"
"gbif72",-149.769,-17.5563,"","PRESENT"
"gbif73",-157.806,21.4372,"","PRESENT"
"gbif74",-135.044,-23.1471,"","PRESENT"
"gbif75",-135.047,-23.1457,"","PRESENT"
"gbif76",-149.85,-17.5133,"","PRESENT"
"gbif77",-149.87,-17.4833,"","PRESENT"
"gbif78",-149.85,-17.5133,"","PRESENT"
"gbif79",55.21915,-21.05823,"","PRESENT"
"gbif80",-151.72762,-16.54103,"","PRESENT"
"gbif81",-151.04745,-16.7262,"","PRESENT"
"gbif82",-151.04075,-16.72719,"","PRESENT"
"gbif83",-151.785,-16.5014,"","PRESENT"
"gbif84",-140.10739,-8.91737,"","PRESENT"
"gbif85",-151.785,-16.5014,"","PRESENT"
"gbif86",-151.03835,-16.69201,"","PRESENT"
"gbif87",55.22583,-21.02483,"","PRESENT"
"gbif88",-151.05002,-16.71502,"","PRESENT"
"gbif89",-151.7438,-16.46555,"","PRESENT"
"gbif90",55.22054,-21.0866,"","PRESENT"
"gbif91",-149.82127,-17.47077,"","PRESENT"
"gbif92",-148.27879,-15.00903,"","PRESENT"
"gbif93",-151.03835,-16.69201,"","PRESENT"
"gbif94",-151.04745,-16.7262,"","PRESENT"
"gbif95",55.21915,-21.05823,"","PRESENT"
"gbif96",-145.46107,-16.51928,"","PRESENT"
"gbif97",-149.76273,-17.53691,"","PRESENT"
"gbif98",-148.27879,-15.00903,"","PRESENT"
"gbif99",-145.46107,-16.51928,"","PRESENT"
"gbif100",-157.696667,21.269196,"","PRESENT"
"gbif101",-156.43787,20.613301,"","PRESENT"
"gbif102",55.75066,-4.320552,"","PRESENT"
"gbif103",-156.495723,20.631379,"","PRESENT"
"gbif104",93.01786,11.980075,"","PRESENT"
"gbif105",153.577632,-28.196238,"","PRESENT"
"gbif106",139.827889,34.927361,"","PRESENT"
"gbif107",140.357806,35.183472,"","PRESENT"
"gbif108",-158.067167,21.649564,"","PRESENT"
"gbif109",167.005839,11.364611,"","PRESENT"
"gbif110",120.085841,23.189639,"","PRESENT"
"gbif111",-158.111159,21.595405,"","PRESENT"
"gbif112",74.32722,14.016927,"","PRESENT"
"gbif113",-158.111159,21.595405,"","PRESENT"
"gbif114",133.75607,33.529973,"","PRESENT"
"gbif115",167.01167,-22.31889,"","PRESENT"
"gbif116",-158.06633,21.645744,"","PRESENT"
"gbif117",128.009332,27.16134,"","PRESENT"
"gbif118",-158.11257,21.594292,"","PRESENT"
"gbif119",151.897371,7.311062,"","PRESENT"
"gbif120",130.4558,-0.510767,"","PRESENT"
"gbif121",119.63378,-8.5583,"","PRESENT"
"gbif122",124.781184,1.608989,"","PRESENT"
"gbif123",119.550148,-8.473645,"","PRESENT"
"gbif124",-149.844069,-17.484189,"","PRESENT"
"gbif125",120.154833,22.987667,"","PRESENT"
"gbif126",167.234928,-15.523927,"","PRESENT"
"gbif127",-156.331925,20.798363,"","PRESENT"
"gbif128",-158.111159,21.595405,"","PRESENT"
"gbif129",153.549565,-28.169845,"","PRESENT"
"gbif130",-158.111159,21.595405,"","PRESENT"
"gbif131",167.235035,-15.523529,"","PRESENT"
"gbif132",121.9,25,"","PRESENT"
"gbif133",121.89,24.94,"","PRESENT"
"gbif134",121.89,24.94,"","PRESENT"
"gbif135",-158.111921,21.594926,"","PRESENT"
"gbif136",167.200275,-15.506433,"","PRESENT"
"gbif137",125.837323,-8.483144,"","PRESENT"
"gbif138",-158.111041,21.594891,"","PRESENT"
"gbif139",121.296896,22.954618,"","PRESENT"
"gbif140",-158.070579,21.656517,"","PRESENT"
"gbif141",177.358035,-16.935881,"","PRESENT"
"gbif142",92.3234,20.6237,"","PRESENT"
"gbif143",-153.943,-16.7832,"","PRESENT"
"gbif144",128.183,-3.68757,"","PRESENT"
"gbif145",-135.047,-23.1457,"","PRESENT"
"gbif146",-135.044,-23.1471,"","PRESENT"
"gbif147",-135.047,-23.1457,"","PRESENT"
"gbif148",128.183,-3.68757,"","PRESENT"
"gbif149",128.183,-3.68757,"","PRESENT"
"gbif150",128.183,-3.68757,"","PRESENT"
"gbif151",-157.796,21.444,"","PRESENT"
"gbif152",128.183,-3.68757,"","PRESENT"
"gbif153",-178.15,-14.3129,"","PRESENT"
"gbif154",128.183,-3.68757,"","PRESENT"
"gbif155",-157.806,21.4372,"","PRESENT"
"gbif156",163.037508,5.311156,"","PRESENT"
"gbif157",162.954952,5.266578,"","PRESENT"
"gbif158",171.345108,7.083322,"","PRESENT"
"gbif159",163.037508,5.311156,"","PRESENT"
"gbif160",171.345108,7.083322,"","PRESENT"
"gbif161",171.317796,7.120366,"","PRESENT"
"gbif162",162.989691,5.258907,"","PRESENT"
"gbif163",171.317796,7.120366,"","PRESENT"
"gbif164",162.962626,5.278058,"","PRESENT"
"gbif165",162.962626,5.278058,"","PRESENT"
"gbif166",162.962626,5.278058,"","PRESENT"
"gbif167",163.037508,5.311156,"","PRESENT"
"gbif168",163.0236,5.35628,"","PRESENT"
"gbif169",163.0236,5.35628,"","PRESENT"
"gbif170",163.0236,5.35628,"","PRESENT"
"gbif171",158.249571,7.044737,"","PRESENT"
"gbif172",163.028941,5.285044,"","PRESENT"
"gbif173",171.221553,7.053618,"","PRESENT"
"gbif174",163.028941,5.285044,"","PRESENT"
"gbif175",163.028941,5.285044,"","PRESENT"
"gbif176",163.028941,5.285044,"","PRESENT"
"gbif177",163.028941,5.285044,"","PRESENT"
"gbif178",171.221553,7.053618,"","PRESENT"
"gbif179",171.221553,7.053618,"","PRESENT"
"gbif180",162.948361,5.361431,"","PRESENT"
"gbif181",162.948361,5.361431,"","PRESENT"
"gbif182",162.948361,5.361431,"","PRESENT"
"gbif183",158.296877,7.009661,"","PRESENT"
"gbif184",158.296877,7.009661,"","PRESENT"
"gbif185",162.962626,5.278058,"","PRESENT"
"gbif186",162.962626,5.278058,"","PRESENT"
"gbif187",162.962626,5.278058,"","PRESENT"
"gbif188",162.962626,5.278058,"","PRESENT"
"gbif189",162.962626,5.278058,"","PRESENT"
"gbif190",158.296877,7.009661,"","PRESENT"
"gbif191",158.296877,7.009661,"","PRESENT"
"gbif192",158.140836,6.960269,"","PRESENT"
"gbif193",158.140836,6.960269,"","PRESENT"
"gbif194",163.028941,5.285044,"","PRESENT"
"gbif195",138.200087,9.569032,"","PRESENT"
"gbif196",158.296877,7.009661,"","PRESENT"
"gbif197",171.345108,7.083322,"","PRESENT"
"gbif198",162.946761,5.34348,"","PRESENT"
"gbif199",138.096489,9.565751,"","PRESENT"
"gbif200",138.096489,9.565751,"","PRESENT"
"gbif201",163.0236,5.35628,"","PRESENT"
"gbif202",162.902359,5.289466,"","PRESENT"
"gbif203",138.055546,9.477104,"","PRESENT"
"gbif204",138.055546,9.477104,"","PRESENT"
"gbif205",138.055546,9.477104,"","PRESENT"
"gbif206",138.055546,9.477104,"","PRESENT"
"gbif207",162.900703,5.312297,"","PRESENT"
"gbif208",162.900703,5.312297,"","PRESENT"
"gbif209",162.900703,5.312297,"","PRESENT"
"gbif210",162.9846,5.37288,"","PRESENT"
"gbif211",163.028941,5.285044,"","PRESENT"
"gbif212",162.946989,5.3564,"","PRESENT"
"gbif213",162.946989,5.3564,"","PRESENT"
"gbif214",152.012322,7.238475,"","PRESENT"
"gbif215",138.055546,9.477104,"","PRESENT"
"gbif216",162.946989,5.3564,"","PRESENT"
"gbif217",158.110279,6.8625,"","PRESENT"
"gbif218",163.0236,5.35628,"","PRESENT"
"gbif219",163.0236,5.35628,"","PRESENT"
"gbif220",162.900703,5.312297,"","PRESENT"
"gbif221",162.9846,5.37288,"","PRESENT"
"gbif222",162.968423,5.361263,"","PRESENT"
"gbif223",158.129008,6.978283,"","PRESENT"
"gbif224",162.900703,5.312297,"","PRESENT"
"gbif225",138.107153,9.58538,"","PRESENT"
"gbif226",163.0236,5.35628,"","PRESENT"
"gbif227",163.0236,5.35628,"","PRESENT"
"gbif228",163.0236,5.35628,"","PRESENT"
"gbif229",162.968423,5.361263,"","PRESENT"
"gbif230",162.968423,5.361263,"","PRESENT"
"gbif231",171.221553,7.053618,"","PRESENT"
"gbif232",171.221553,7.053618,"","PRESENT"
"gbif233",171.221553,7.053618,"","PRESENT"
"gbif234",171.221553,7.053618,"","PRESENT"
"gbif235",162.897989,5.29615,"","PRESENT"
"gbif236",138.096489,9.565751,"","PRESENT"
"gbif237",138.096489,9.565751,"","PRESENT"
"gbif238",138.096489,9.565751,"","PRESENT"
"gbif239",162.954952,5.266578,"","PRESENT"
"gbif240",162.954952,5.266578,"","PRESENT"
"gbif241",162.954952,5.266578,"","PRESENT"
"gbif242",162.954952,5.266578,"","PRESENT"
"gbif243",162.897989,5.29615,"","PRESENT"
"gbif244",158.34504,6.87253,"","PRESENT"
"gbif245",162.954952,5.266578,"","PRESENT"
"gbif246",162.954952,5.266578,"","PRESENT"
"gbif247",158.129008,6.978283,"","PRESENT"
"gbif248",162.9846,5.37288,"","PRESENT"
"gbif249",162.962626,5.278058,"","PRESENT"
"gbif250",158.296877,7.009661,"","PRESENT"
