"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-157.860509,21.272402,NA,"PRESENT"
"gbif2",-159.591846,22.283774,NA,"PRESENT"
"gbif3",-156.76124,20.883557,NA,"PRESENT"
"gbif4",-157.945404,21.490416,NA,"PRESENT"
"gbif5",-157.917137,21.515974,NA,"PRESENT"
"gbif6",-157.881211,21.463125,NA,"PRESENT"
"gbif7",-157.889277,21.502782,NA,"PRESENT"
"gbif8",-157.900412,21.494262,NA,"PRESENT"
"gbif9",-157.83596,21.48526,NA,"PRESENT"
"gbif10",-157.898705,21.438419,NA,"PRESENT"
"gbif11",-157.928572,21.517922,NA,"PRESENT"
"gbif12",-157.809664,21.592542,NA,"PRESENT"
"gbif13",-157.906365,21.555868,NA,"PRESENT"
"gbif14",-157.840285,21.43607,NA,"PRESENT"
"gbif15",-157.818918,21.425655,NA,"PRESENT"
"gbif16",-154.810474,19.416413,NA,"PRESENT"
"gbif17",-157.676701,21.349119,NA,"PRESENT"
"gbif18",-157.855845,21.294472,NA,"PRESENT"
"gbif19",-157.998857,21.363227,NA,"PRESENT"
"gbif20",-157.787342,21.545647,NA,"PRESENT"
"gbif21",-157.658726,21.450561,NA,"PRESENT"
"gbif22",-157.792192,21.479915,NA,"PRESENT"
"gbif23",-157.67219,21.484496,NA,"PRESENT"
"gbif24",-157.651285,21.444845,NA,"PRESENT"
"gbif25",-157.616272,21.497451,NA,"PRESENT"
"gbif26",-159.510853,22.228216,NA,"PRESENT"
"gbif27",-156.729652,20.804246,NA,"PRESENT"
"gbif28",-159.58965,21.834198,NA,"PRESENT"
"gbif29",-159.432751,22.297315,NA,"PRESENT"
"gbif30",-156.787828,20.913719,NA,"PRESENT"
"gbif31",-156.674182,20.828577,NA,"PRESENT"
"gbif32",-156.752264,20.965879,NA,"PRESENT"
"gbif33",-156.687044,20.994643,NA,"PRESENT"
"gbif34",-156.633708,20.930498,NA,"PRESENT"
"gbif35",-158.153699,21.567792,NA,"PRESENT"
"gbif36",-156.487836,20.702369,NA,"PRESENT"
"gbif37",-156.786729,20.85598,NA,"PRESENT"
"gbif38",-156.684976,20.821638,NA,"PRESENT"
"gbif39",-156.513874,20.777545,NA,"PRESENT"
"gbif40",-156.706274,20.95263,NA,"PRESENT"
"gbif41",-158.118649,21.20409,NA,"PRESENT"
"gbif42",-166.259995,23.77,NA,"PRESENT"
"gbif43",-166.110001,23.83,NA,"PRESENT"
"gbif44",-162.369995,6.41,NA,"PRESENT"
"gbif45",-167.919998,25,NA,"PRESENT"
"gbif46",-166.210007,23.780001,NA,"PRESENT"
"gbif47",-157.830002,21.27,NA,"PRESENT"
"gbif48",-177.363007,28.214001,NA,"PRESENT"
"gbif49",-166.289993,23.85,NA,"PRESENT"
"gbif50",-166.220001,23.65,NA,"PRESENT"
"gbif51",-166.169998,23.75,NA,"PRESENT"
"gbif52",-159.050003,21.57,NA,"PRESENT"
"gbif53",-166.169998,23.65,NA,"PRESENT"
"gbif54",-166.25,23.82,NA,"PRESENT"
"gbif55",-166.199997,23.77,NA,"PRESENT"
"gbif56",-166.199997,23.709999,NA,"PRESENT"
"gbif57",-166.309998,23.870001,NA,"PRESENT"
"gbif58",-166.289993,23.879999,NA,"PRESENT"
"gbif59",-166.169998,23.76,NA,"PRESENT"
"gbif60",-166.169998,23.67,NA,"PRESENT"
"gbif61",-166.169998,23.73,NA,"PRESENT"
"gbif62",-166.169998,23.639999,NA,"PRESENT"
"gbif63",-166.259995,23.77,NA,"PRESENT"
"gbif64",-166.119995,23.629999,NA,"PRESENT"
"gbif65",-166.330002,23.860001,NA,"PRESENT"
"gbif66",-166.259995,23.879999,NA,"PRESENT"
"gbif67",-166.300003,23.870001,NA,"PRESENT"
"gbif68",-162.399994,5.8,NA,"PRESENT"
"gbif69",-174,26.030001,NA,"PRESENT"
"gbif70",-166.119995,23.83,NA,"PRESENT"
"gbif71",-166.100006,23.639999,NA,"PRESENT"
"gbif72",-166.179993,23.790001,NA,"PRESENT"
"gbif73",-171.729996,25.77,NA,"PRESENT"
"gbif74",-170.582993,25.417,NA,"PRESENT"
"gbif75",-166.160004,23.690001,NA,"PRESENT"
