"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",118,-5,"","PRESENT"
"gbif2",147.610032,-19.769238,"","PRESENT"
"gbif3",153.20868,-25.326678,"","PRESENT"
"gbif4",145.441262,-16.173092,"","PRESENT"
"gbif5",147.755658,-19.707969,"","PRESENT"
"gbif6",146.973185,-19.288769,"","PRESENT"
"gbif7",119.654731,-8.781933,"","PRESENT"
"gbif8",144.87418,-4.17188,"","PRESENT"
"gbif9",122,13,"","PRESENT"
"gbif10",107.97826,3.96072,"","PRESENT"
"gbif11",178,-18,"","PRESENT"
"gbif12",93.5,8,"","PRESENT"
"gbif13",122,13,"","PRESENT"
"gbif14",92.75004,12.50029,"","PRESENT"
"gbif15",144.87418,-4.17188,"","PRESENT"
"gbif16",107.97826,3.96072,"","PRESENT"
"gbif17",178,-18,"","PRESENT"
"gbif18",93.5,8,"","PRESENT"
"gbif19",92.75004,12.50029,"","PRESENT"
"gbif20",121.933442,24.727081,"","PRESENT"
"gbif21",102.584872,2.063052,"","PRESENT"
"gbif22",153.152751,-26.006027,"","PRESENT"
"gbif23",173.12753,-34.75609,"","PRESENT"
"gbif24",152.974433,-31.595055,"","PRESENT"
"gbif25",115.18,-8.75,"","PRESENT"
"gbif26",177.369,-16.942,"","PRESENT"
"gbif27",130.83,-12.45,"","PRESENT"
"gbif28",122.23,-17.97,"","PRESENT"
"gbif29",130.45,-11.3,"","PRESENT"
"gbif30",125.234934,1.443019,"","PRESENT"
"gbif31",151.076828,-17.439787,"","PRESENT"
"gbif32",149.095887,-11.505353,"","PRESENT"
"gbif33",125.81,-7.9,"","PRESENT"
"gbif34",124.03,10.02,"","PRESENT"
"gbif35",119.89,0.25,"","PRESENT"
"gbif37",-159.999556,0.371752,"","PRESENT"
"gbif38",146.147902,-16.866812,"","PRESENT"
"gbif39",166.716667,-22.5,"","PRESENT"
"gbif40",160.110833,-9.097222,"","PRESENT"
"gbif41",146.076643,-17.207364,"","PRESENT"
"gbif42",145.465256,-14.68157,"","PRESENT"
"gbif43",122.0777,7.46,"","PRESENT"
"gbif44",124.0333,10.4,"","PRESENT"
"gbif45",118.6167,4.5,"","PRESENT"
"gbif46",145.447816,-14.688742,"","PRESENT"
"gbif47",-171.666581,-2.814614,"","PRESENT"
"gbif48",170.202902,-19.528867,"","PRESENT"
"gbif49",123.7,10.3,"","PRESENT"
"gbif55",121.766667,12.866667,"","PRESENT"
"gbif56",72.4199,-7.2297,"","PRESENT"
"gbif57",150.411137,-9.363814,"","PRESENT"
"gbif58",145.45,-14.666,"","PRESENT"
"gbif59",167.5,-16.25,"","PRESENT"
"gbif60",145.46971,-14.67971,"","PRESENT"
"gbif61",134.58,7.25,"","PRESENT"
"gbif62",128.17,-3.67,"","PRESENT"
"gbif63",123.714893,11.482423,"","PRESENT"
"gbif64",127.75926,26.12752,"","PRESENT"
"gbif65",151.2304,-33.7847,"","PRESENT"
"gbif66",151.2254,-33.7937,"","PRESENT"
"gbif67",151.2204,-33.7847,"","PRESENT"
"gbif68",151.2351,-33.8118,"","PRESENT"
"gbif69",151.2254,-33.7937,"","PRESENT"
"gbif70",151.2254,-33.7937,"","PRESENT"
"gbif71",151.2351,-33.8118,"","PRESENT"
"gbif72",151.2204,-33.7847,"","PRESENT"
"gbif73",151.231,-33.8019,"","PRESENT"
"gbif74",151.2254,-33.7937,"","PRESENT"
"gbif75",151.2304,-33.7847,"","PRESENT"
"gbif76",151.2254,-33.7937,"","PRESENT"
"gbif77",151.2254,-33.7937,"","PRESENT"
"gbif78",151.2254,-33.7937,"","PRESENT"
"gbif79",150.5581,-34.8657,"","PRESENT"
"gbif80",151.2304,-33.7847,"","PRESENT"
"gbif81",151.2254,-33.7937,"","PRESENT"
"gbif82",151.2204,-33.7847,"","PRESENT"
"gbif83",151.2254,-33.7937,"","PRESENT"
"gbif84",151.2304,-33.7847,"","PRESENT"
"gbif85",151.2304,-33.7847,"","PRESENT"
"gbif86",151.2254,-33.7937,"","PRESENT"
"gbif87",151.2304,-33.7847,"","PRESENT"
"gbif88",151.2254,-33.7937,"","PRESENT"
"gbif89",151.2204,-33.7847,"","PRESENT"
"gbif90",151.2254,-33.7937,"","PRESENT"
"gbif91",151.2254,-33.7937,"","PRESENT"
"gbif92",151.2304,-33.7847,"","PRESENT"
"gbif93",151.2254,-33.7937,"","PRESENT"
"gbif94",151.2204,-33.7847,"","PRESENT"
"gbif95",151.2304,-33.7847,"","PRESENT"
"gbif96",151.2304,-33.7847,"","PRESENT"
"gbif97",151.2204,-33.7847,"","PRESENT"
"gbif98",151.2254,-33.7937,"","PRESENT"
"gbif99",151.2304,-33.7847,"","PRESENT"
"gbif100",151.2254,-33.7937,"","PRESENT"
"gbif101",151.2351,-33.8118,"","PRESENT"
"gbif102",150.5581,-34.8657,"","PRESENT"
"gbif103",151.2254,-33.7937,"","PRESENT"
"gbif104",150.5581,-34.8657,"","PRESENT"
"gbif105",151.2304,-33.7847,"","PRESENT"
"gbif106",150.5728,-34.8689,"","PRESENT"
"gbif107",150.5581,-34.8657,"","PRESENT"
"gbif108",151.2304,-33.7847,"","PRESENT"
"gbif109",150.5581,-34.8657,"","PRESENT"
"gbif110",151.2304,-33.7847,"","PRESENT"
"gbif111",151.2254,-33.7937,"","PRESENT"
"gbif112",151.2204,-33.7847,"","PRESENT"
"gbif113",150.5728,-34.8689,"","PRESENT"
"gbif114",150.5581,-34.8657,"","PRESENT"
"gbif115",151.2204,-33.7847,"","PRESENT"
"gbif116",151.2351,-33.8118,"","PRESENT"
"gbif117",150.5581,-34.8657,"","PRESENT"
"gbif118",150.5741,-34.8635,"","PRESENT"
"gbif119",150.5581,-34.8657,"","PRESENT"
"gbif120",151.2304,-33.7847,"","PRESENT"
"gbif121",151.231,-33.8019,"","PRESENT"
"gbif122",150.5581,-34.8657,"","PRESENT"
"gbif123",151.2304,-33.7847,"","PRESENT"
"gbif124",150.5581,-34.8657,"","PRESENT"
"gbif125",150.5581,-34.8657,"","PRESENT"
"gbif126",150.5581,-34.8657,"","PRESENT"
"gbif127",150.5581,-34.8657,"","PRESENT"
"gbif128",150.5581,-34.8657,"","PRESENT"
"gbif129",150.5581,-34.8657,"","PRESENT"
"gbif130",151.2204,-33.7847,"","PRESENT"
"gbif131",150.5581,-34.8657,"","PRESENT"
"gbif132",150.5581,-34.8657,"","PRESENT"
"gbif133",150.5581,-34.8657,"","PRESENT"
"gbif134",150.5581,-34.8657,"","PRESENT"
"gbif135",150.5581,-34.8657,"","PRESENT"
"gbif136",150.5581,-34.8657,"","PRESENT"
"gbif137",150.5581,-34.8657,"","PRESENT"
"gbif138",150.5581,-34.8657,"","PRESENT"
"gbif139",150.5581,-34.8657,"","PRESENT"
"gbif140",150.5581,-34.8657,"","PRESENT"
"gbif141",150.5581,-34.8657,"","PRESENT"
"gbif142",150.5581,-34.8657,"","PRESENT"
"gbif143",150.5581,-34.8657,"","PRESENT"
"gbif144",150.5581,-34.8657,"","PRESENT"
"gbif145",150.5728,-34.8689,"","PRESENT"
"gbif146",150.5581,-34.8657,"","PRESENT"
"gbif147",150.5581,-34.8657,"","PRESENT"
"gbif148",150.5581,-34.8657,"","PRESENT"
"gbif149",150.5581,-34.8657,"","PRESENT"
"gbif150",150.5581,-34.8657,"","PRESENT"
"gbif151",150.5581,-34.8657,"","PRESENT"
"gbif152",150.5581,-34.8657,"","PRESENT"
"gbif153",150.5581,-34.8657,"","PRESENT"
"gbif154",150.5581,-34.8657,"","PRESENT"
"gbif155",150.5581,-34.8657,"","PRESENT"
"gbif156",150.5581,-34.8657,"","PRESENT"
"gbif157",150.5581,-34.8657,"","PRESENT"
"gbif158",150.5581,-34.8657,"","PRESENT"
"gbif159",150.5581,-34.8657,"","PRESENT"
"gbif160",150.5581,-34.8657,"","PRESENT"
"gbif161",150.5581,-34.8657,"","PRESENT"
"gbif162",150.5581,-34.8657,"","PRESENT"
"gbif163",150.5581,-34.8657,"","PRESENT"
"gbif164",150.5581,-34.8657,"","PRESENT"
"gbif165",150.5581,-34.8657,"","PRESENT"
"gbif166",150.5581,-34.8657,"","PRESENT"
"gbif167",150.5581,-34.8657,"","PRESENT"
"gbif168",150.5581,-34.8657,"","PRESENT"
"gbif169",150.5581,-34.8657,"","PRESENT"
"gbif170",150.5581,-34.8657,"","PRESENT"
"gbif171",150.5581,-34.8657,"","PRESENT"
"gbif172",150.5581,-34.8657,"","PRESENT"
"gbif173",150.5581,-34.8657,"","PRESENT"
"gbif174",150.5581,-34.8657,"","PRESENT"
"gbif175",150.5581,-34.8657,"","PRESENT"
"gbif176",150.5581,-34.8657,"","PRESENT"
"gbif177",150.5581,-34.8657,"","PRESENT"
"gbif178",150.5581,-34.8657,"","PRESENT"
"gbif179",150.5581,-34.8657,"","PRESENT"
"gbif180",150.5581,-34.8657,"","PRESENT"
"gbif181",150.5581,-34.8657,"","PRESENT"
"gbif182",150.5581,-34.8657,"","PRESENT"
"gbif183",150.5636,-34.8703,"","PRESENT"
"gbif184",150.5581,-34.8657,"","PRESENT"
"gbif185",150.5581,-34.8657,"","PRESENT"
"gbif186",150.5581,-34.8657,"","PRESENT"
"gbif187",150.5581,-34.8657,"","PRESENT"
"gbif188",150.5581,-34.8657,"","PRESENT"
"gbif189",150.5581,-34.8657,"","PRESENT"
"gbif190",150.5581,-34.8657,"","PRESENT"
"gbif191",150.5581,-34.8657,"","PRESENT"
"gbif192",150.5581,-34.8657,"","PRESENT"
"gbif193",150.5581,-34.8657,"","PRESENT"
"gbif194",150.5581,-34.8657,"","PRESENT"
"gbif195",150.5581,-34.8657,"","PRESENT"
"gbif196",150.5581,-34.8657,"","PRESENT"
"gbif197",150.5581,-34.8657,"","PRESENT"
"gbif198",150.5581,-34.8657,"","PRESENT"
"gbif199",150.5581,-34.8657,"","PRESENT"
"gbif200",150.5581,-34.8657,"","PRESENT"
"gbif201",151.2254,-33.7937,"","PRESENT"
"gbif202",146.551,-13.885,"","PRESENT"
"gbif203",151.2204,-33.7847,"","PRESENT"
"gbif204",151.2204,-33.7847,"","PRESENT"
"gbif205",151.2351,-33.8118,"","PRESENT"
"gbif206",151.2254,-33.7937,"","PRESENT"
"gbif207",150.1307,-35.6966,"","PRESENT"
"gbif208",151.231,-33.8019,"","PRESENT"
"gbif209",151.2254,-33.7937,"","PRESENT"
"gbif210",151.2254,-33.7937,"","PRESENT"
"gbif211",151.2254,-33.7937,"","PRESENT"
"gbif212",151.2254,-33.7937,"","PRESENT"
"gbif213",151.231,-33.8019,"","PRESENT"
"gbif214",151.2254,-33.7937,"","PRESENT"
"gbif215",151.231,-33.8019,"","PRESENT"
"gbif216",151.231,-33.8019,"","PRESENT"
"gbif217",151.2204,-33.7847,"","PRESENT"
"gbif218",151.2204,-33.7847,"","PRESENT"
"gbif219",151.231,-33.8019,"","PRESENT"
"gbif220",151.2351,-33.8118,"","PRESENT"
"gbif221",151.2254,-33.7937,"","PRESENT"
"gbif222",151.231,-33.8019,"","PRESENT"
"gbif223",151.2204,-33.7847,"","PRESENT"
"gbif224",151.2204,-33.7847,"","PRESENT"
"gbif225",151.2304,-33.7847,"","PRESENT"
"gbif226",151.2254,-33.7937,"","PRESENT"
"gbif227",151.2204,-33.7847,"","PRESENT"
"gbif228",151.2304,-33.7847,"","PRESENT"
"gbif229",151.2304,-33.7847,"","PRESENT"
"gbif230",151.2254,-33.7937,"","PRESENT"
"gbif231",151.231,-33.8019,"","PRESENT"
"gbif232",151.2254,-33.7937,"","PRESENT"
"gbif233",151.2304,-33.7847,"","PRESENT"
"gbif234",151.231,-33.8019,"","PRESENT"
"gbif235",151.2254,-33.7937,"","PRESENT"
"gbif236",151.2254,-33.7937,"","PRESENT"
"gbif237",151.2254,-33.7937,"","PRESENT"
"gbif238",151.2204,-33.7847,"","PRESENT"
"gbif239",151.2304,-33.7847,"","PRESENT"
"gbif240",151.2254,-33.7937,"","PRESENT"
"gbif241",151.2254,-33.7937,"","PRESENT"
"gbif242",146.551,-13.885,"","PRESENT"
"gbif243",151.2254,-33.7937,"","PRESENT"
"gbif244",151.2254,-33.7937,"","PRESENT"
"gbif245",151.2304,-33.7847,"","PRESENT"
"gbif246",151.2304,-33.7847,"","PRESENT"
"gbif247",151.2254,-33.7937,"","PRESENT"
"gbif248",150.5908,-34.8718,"","PRESENT"
"gbif249",151.2254,-33.7937,"","PRESENT"
"gbif250",151.2254,-33.7937,"","PRESENT"
"gbif251",151.231,-33.8019,"","PRESENT"
"gbif252",151.2254,-33.7937,"","PRESENT"
"gbif253",151.2254,-33.7937,"","PRESENT"
"gbif254",150.5728,-34.8689,"","PRESENT"
"gbif255",151.2204,-33.7847,"","PRESENT"
"gbif256",151.2204,-33.7847,"","PRESENT"
"gbif257",150.597,-34.8667,"","PRESENT"
"gbif258",151.2254,-33.7937,"","PRESENT"
"gbif259",151.231,-33.8019,"","PRESENT"
"gbif260",150.5728,-34.8689,"","PRESENT"
"gbif261",150.5741,-34.8635,"","PRESENT"
"gbif262",150.597,-34.8667,"","PRESENT"
"gbif263",151.2951,-33.7997,"","PRESENT"
"gbif264",151.2254,-33.7937,"","PRESENT"
"gbif265",150.5741,-34.8635,"","PRESENT"
"gbif266",150.5581,-34.8657,"","PRESENT"
