"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-64.364436,45.194221,NA,"PRESENT"
"gbif3",-64.388869,45.003046,NA,"PRESENT"
"gbif4",-65.806016,44.979852,NA,"PRESENT"
"gbif21",-76.553132,38.803722,NA,"PRESENT"
"gbif22",-76.442616,38.808698,NA,"PRESENT"
"gbif36",-76.5417,38.8858,NA,"PRESENT"
"gbif37",-76.5417,38.8858,NA,"PRESENT"
"gbif38",-76.5417,38.8858,NA,"PRESENT"
"gbif39",-76.5417,38.8858,NA,"PRESENT"
"gbif40",-76.5417,38.8858,NA,"PRESENT"
"gbif41",-76.5417,38.8858,NA,"PRESENT"
"gbif42",-76.5281,38.8878,NA,"PRESENT"
"gbif43",-76.5417,38.8858,NA,"PRESENT"
"gbif44",-76.5281,38.8878,NA,"PRESENT"
"gbif45",-76.5417,38.8858,NA,"PRESENT"
"gbif46",-76.5417,38.8858,NA,"PRESENT"
"gbif47",-76.5417,38.8858,NA,"PRESENT"
"gbif48",-76.5417,38.8858,NA,"PRESENT"
"gbif49",-76.5417,38.8858,NA,"PRESENT"
"gbif50",-76.5417,38.8858,NA,"PRESENT"
"gbif51",-76.5417,38.8858,NA,"PRESENT"
"gbif52",-76.5417,38.8858,NA,"PRESENT"
"gbif53",-76.5417,38.8858,NA,"PRESENT"
"gbif54",-76.5281,38.8878,NA,"PRESENT"
"gbif55",-76.5417,38.8858,NA,"PRESENT"
"gbif56",-76.5417,38.8858,NA,"PRESENT"
"gbif258",-64.370003,45.16,NA,"PRESENT"
"gbif260",-70.68,41.52,NA,"PRESENT"
"gbif263",-70.25,42.049999,NA,"PRESENT"
"gbif267",-70.68,41.52,NA,"PRESENT"
"gbif268",-70.68,41.52,NA,"PRESENT"
"gbif271",-70.260002,43.580002,NA,"PRESENT"
"gbif272",-76.699997,34.700001,NA,"PRESENT"
"gbif273",-76,38.599998,NA,"PRESENT"
"gbif275",-64.370003,45.16,NA,"PRESENT"
"gbif276",-64.18,45.290001,NA,"PRESENT"
"gbif280",-70.75,43,NA,"PRESENT"
"gbif282",-73.199997,40.799999,NA,"PRESENT"
"gbif283",-70.75,43,NA,"PRESENT"
"gbif284",-70.68,41.52,NA,"PRESENT"
"gbif292",-64.370003,45.16,NA,"PRESENT"
"gbif297",-75.300003,39,NA,"PRESENT"
"gbif302",-74.199997,39.66,NA,"PRESENT"
"gbif303",-64.370003,45.169998,NA,"PRESENT"
"gbif304",-81.25,31.5,NA,"PRESENT"
"gbif306",-71.410004,41.400002,NA,"PRESENT"
"gbif307",-91,29,NA,"PRESENT"
"gbif310",-70.709999,43.040001,NA,"PRESENT"
"gbif313",-72.529999,41.259998,NA,"PRESENT"
"gbif317",-69.230003,43.869999,NA,"PRESENT"
"gbif318",-70.68,41.52,NA,"PRESENT"
"gbif323",-76.699997,34.700001,NA,"PRESENT"
"gbif325",-76.260002,38.279999,NA,"PRESENT"
"gbif326",-76.260002,38.279999,NA,"PRESENT"
"gbif334",-70.75,42.950001,NA,"PRESENT"
"gbif335",-81.25,31.5,NA,"PRESENT"
"gbif336",-70.269997,43.549999,NA,"PRESENT"
"gbif347",-72.830002,41.25,NA,"PRESENT"
"gbif349",-64.370003,45.16,NA,"PRESENT"
"gbif350",-71.43,41.549999,NA,"PRESENT"
"gbif355",-70.75,42.950001,NA,"PRESENT"
"gbif364",-64.370003,45.16,NA,"PRESENT"
"gbif366",-76.510002,38.860001,NA,"PRESENT"
"gbif367",-70.68,41.52,NA,"PRESENT"
"gbif368",-90.269997,29.379999,NA,"PRESENT"
"gbif369",-70.300003,43.599998,NA,"PRESENT"
"gbif373",-81.199997,31.4,NA,"PRESENT"
"gbif377",-81.25,31.5,NA,"PRESENT"
"gbif378",-70.269997,43.549999,NA,"PRESENT"
"gbif380",-70.730003,43.02,NA,"PRESENT"
"gbif382",-70.75,43,NA,"PRESENT"
"gbif387",-88.809998,30.389999,NA,"PRESENT"
"gbif388",-72.800003,41.25,NA,"PRESENT"
"gbif391",-97.190002,26.08,NA,"PRESENT"
"gbif393",-70.637197,41.575651,NA,"PRESENT"
"gbif394",-76.54,38.89,NA,"PRESENT"
"gbif395",-76.54,38.89,NA,"PRESENT"
"gbif396",-76.54,38.89,NA,"PRESENT"
"gbif397",-76.54,38.89,NA,"PRESENT"
"gbif398",-76.54,38.89,NA,"PRESENT"
