"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-57.315667,-63.668,NA,"PRESENT"
"gbif2",-57.315667,-63.668,NA,"PRESENT"
"gbif3",-57.315667,-63.668,NA,"PRESENT"
"gbif4",-57.315667,-63.668,NA,"PRESENT"
"gbif5",-57.315667,-63.668,NA,"PRESENT"
"gbif6",72.57861,-66.78778,NA,"PRESENT"
"gbif7",70.7075,-66.88972,NA,"PRESENT"
"gbif8",72.57861,-66.78778,NA,"PRESENT"
"gbif9",77.23292,-67.42722,NA,"PRESENT"
"gbif10",72.57861,-66.78778,NA,"PRESENT"
"gbif11",24.217778,-70.334861,NA,"PRESENT"
"gbif12",-23.966667,-70.300014,NA,"PRESENT"
"gbif13",-23.966667,-70.300014,NA,"PRESENT"
"gbif14",24.201667,-70.317778,NA,"PRESENT"
"gbif15",24.25,-70.283333,NA,"PRESENT"
"gbif16",24.218056,-70.319167,NA,"PRESENT"
"gbif17",24.201667,-70.317778,NA,"PRESENT"
"gbif18",24.217778,-70.333889,NA,"PRESENT"
"gbif19",-23.966667,-70.300014,NA,"PRESENT"
"gbif20",16.40626,-78.15856,NA,"PRESENT"
"gbif21",16.40626,-78.15856,NA,"PRESENT"
"gbif22",24.25,-70.283333,NA,"PRESENT"
"gbif23",24.201667,-70.317778,NA,"PRESENT"
"gbif24",-23.966667,-70.300014,NA,"PRESENT"
"gbif25",24.217778,-70.333889,NA,"PRESENT"
"gbif26",24.218056,-70.319167,NA,"PRESENT"
"gbif27",24.217778,-70.334861,NA,"PRESENT"
"gbif28",-23.966667,-70.300014,NA,"PRESENT"
"gbif29",24.201667,-70.317778,NA,"PRESENT"
"gbif30",-23.966667,-70.300014,NA,"PRESENT"
"gbif31",161.048004,-65.475502,NA,"PRESENT"
"gbif32",170.110992,-71.529999,NA,"PRESENT"
"gbif33",172.134171,-71.994667,NA,"PRESENT"
"gbif34",171.448669,-72.134003,NA,"PRESENT"
"gbif35",170.110992,-71.529999,NA,"PRESENT"
"gbif36",172.073669,-71.696671,NA,"PRESENT"
"gbif37",170.110992,-71.529999,NA,"PRESENT"
"gbif38",171.425171,-71.512001,NA,"PRESENT"
"gbif39",171.96434,-71.480835,NA,"PRESENT"
"gbif40",171.425171,-71.512001,NA,"PRESENT"
"gbif41",170.94133,-71.801002,NA,"PRESENT"
"gbif42",171.425171,-71.512001,NA,"PRESENT"
"gbif43",171.826828,-71.713997,NA,"PRESENT"
"gbif44",162.757004,-66.675163,NA,"PRESENT"
"gbif45",170.940506,-71.201164,NA,"PRESENT"
"gbif46",163.00383,-66.551498,NA,"PRESENT"
"gbif47",170.932831,-71.798668,NA,"PRESENT"
"gbif48",172.178497,-71.985336,NA,"PRESENT"
"gbif49",170.500671,-72.335167,NA,"PRESENT"
"gbif50",162.267334,-66.175331,NA,"PRESENT"
"gbif51",163.00267,-66.551002,NA,"PRESENT"
"gbif52",170.180161,-71.647667,NA,"PRESENT"
