"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-2.194288,36.722207,NA,"PRESENT"
"gbif2",2.25779,41.452172,NA,"PRESENT"
"gbif3",-96.058555,19.225608,NA,"PRESENT"
"gbif4",-1.936494,37.10715,NA,"PRESENT"
"gbif5",-3.274319,36.746859,NA,"PRESENT"
"gbif6",3.214601,42.086713,NA,"PRESENT"
"gbif7",7.16755,43.65638,NA,"PRESENT"
"gbif8",8.75847,41.85132,NA,"PRESENT"
"gbif9",8.61584,42.11306,NA,"PRESENT"
"gbif10",9.40496,41.77458,NA,"PRESENT"
"gbif11",6.77323,43.40714,NA,"PRESENT"
"gbif12",7.16755,43.65638,NA,"PRESENT"
"gbif13",5.393049,43.172696,NA,"PRESENT"
"gbif14",5.401337,43.175298,NA,"PRESENT"
"gbif15",3.030683,41.770587,NA,"PRESENT"
"gbif16",3.221766,41.92015,NA,"PRESENT"
"gbif17",-96.058556,19.225608,NA,"PRESENT"
"gbif18",8.5,44.279999,NA,"PRESENT"
"gbif19",5.39328,43.17276,NA,"PRESENT"
"gbif20",2.665058,39.778258,NA,"PRESENT"
"gbif21",0.760072,40.826997,NA,"PRESENT"
"gbif22",3.204898,41.888488,NA,"PRESENT"
"gbif23",3.204898,41.888488,NA,"PRESENT"
"gbif24",-94.78225,18.510417,NA,"PRESENT"
"gbif25",-94.78225,18.510417,NA,"PRESENT"
"gbif26",-94.808361,18.539778,NA,"PRESENT"
"gbif27",-94.781889,18.515944,NA,"PRESENT"
"gbif28",-94.876361,18.551167,NA,"PRESENT"
"gbif29",-94.377889,18.1685,NA,"PRESENT"
"gbif30",-94.807972,18.539333,NA,"PRESENT"
"gbif31",-94.782167,18.511167,NA,"PRESENT"
"gbif32",-94.780555,18.500944,NA,"PRESENT"
"gbif33",-94.808361,18.539778,NA,"PRESENT"
"gbif34",-94.781889,18.515944,NA,"PRESENT"
"gbif35",-94.876833,18.551417,NA,"PRESENT"
"gbif36",-94.780555,18.500944,NA,"PRESENT"
"gbif37",-94.786889,18.515806,NA,"PRESENT"
"gbif38",-94.78225,18.510417,NA,"PRESENT"
"gbif39",-94.807972,18.539333,NA,"PRESENT"
"gbif40",-94.876833,18.551417,NA,"PRESENT"
"gbif41",-94.786889,18.515806,NA,"PRESENT"
"gbif42",-94.377889,18.1685,NA,"PRESENT"
"gbif43",-94.781028,18.501778,NA,"PRESENT"
"gbif44",-94.807972,18.539333,NA,"PRESENT"
"gbif45",-94.786889,18.515806,NA,"PRESENT"
"gbif46",-94.876555,18.551417,NA,"PRESENT"
"gbif47",-94.786305,18.51625,NA,"PRESENT"
"gbif48",-94.786889,18.515806,NA,"PRESENT"
"gbif49",-94.781889,18.515944,NA,"PRESENT"
"gbif50",-94.817805,18.542722,NA,"PRESENT"
"gbif51",-94.827583,18.54425,NA,"PRESENT"
"gbif52",-94.786305,18.51625,NA,"PRESENT"
"gbif53",-94.876555,18.551417,NA,"PRESENT"
"gbif54",-94.808361,18.539778,NA,"PRESENT"
"gbif55",-94.808361,18.539778,NA,"PRESENT"
"gbif56",-94.876361,18.551167,NA,"PRESENT"
"gbif57",-94.808361,18.539778,NA,"PRESENT"
"gbif58",-94.807972,18.539333,NA,"PRESENT"
"gbif59",-94.775833,18.486861,NA,"PRESENT"
"gbif60",-94.377889,18.1685,NA,"PRESENT"
"gbif61",-94.78225,18.510417,NA,"PRESENT"
"gbif62",0.15,40.08,NA,"PRESENT"
"gbif63",-0.04,39.84,NA,"PRESENT"
"gbif64",-0.03,39.84,NA,"PRESENT"
"gbif65",0.12,40.06,NA,"PRESENT"
"gbif66",0.11,40.06,NA,"PRESENT"
"gbif67",0.16,38.71,NA,"PRESENT"
"gbif68",0.16,38.71,NA,"PRESENT"
"gbif69",-0.07,39.85,NA,"PRESENT"
"gbif70",0.14,38.69,NA,"PRESENT"
"gbif71",-0.23,39.64,NA,"PRESENT"
"gbif72",0.008,38.62,NA,"PRESENT"
"gbif73",-0.34,38.45,NA,"PRESENT"
"gbif74",-0.34,38.45,NA,"PRESENT"
"gbif75",-0.12,38.5,NA,"PRESENT"
"gbif76",-0.16,38.52,NA,"PRESENT"
"gbif77",-0.17,38.52,NA,"PRESENT"
"gbif78",-0.38,38.43,NA,"PRESENT"
"gbif79",-0.12,38.5,NA,"PRESENT"
"gbif80",-0.34,38.45,NA,"PRESENT"
"gbif81",-0.1,38.52,NA,"PRESENT"
"gbif82",-0.34,38.45,NA,"PRESENT"
"gbif83",0.19,38.8,NA,"PRESENT"
"gbif84",-0.16,38.52,NA,"PRESENT"
"gbif85",-0.16,38.52,NA,"PRESENT"
"gbif86",-0.16,38.52,NA,"PRESENT"
"gbif87",-0.46,38.16,NA,"PRESENT"
"gbif88",-0.46,38.16,NA,"PRESENT"
"gbif89",-0.46,38.16,NA,"PRESENT"
"gbif90",-0.46,38.16,NA,"PRESENT"
"gbif91",-0.46,38.16,NA,"PRESENT"
"gbif92",-0.47,38.16,NA,"PRESENT"
"gbif93",-0.47,38.16,NA,"PRESENT"
"gbif94",-0.47,38.16,NA,"PRESENT"
"gbif95",-0.47,38.16,NA,"PRESENT"
"gbif96",-0.47,38.16,NA,"PRESENT"
"gbif97",-0.47,38.16,NA,"PRESENT"
"gbif98",-0.47,38.16,NA,"PRESENT"
"gbif99",-0.47,38.16,NA,"PRESENT"
"gbif100",-0.47,38.16,NA,"PRESENT"
"gbif101",-0.47,38.16,NA,"PRESENT"
"gbif102",-0.47,38.15,NA,"PRESENT"
"gbif103",-0.47,38.15,NA,"PRESENT"
"gbif104",-0.5,38.22,NA,"PRESENT"
"gbif105",-0.5,38.22,NA,"PRESENT"
"gbif106",-0.21,39.19,NA,"PRESENT"
