"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-122.410958,37.942138,"","PRESENT"
"gbif2",-125.249901,48.928179,"","PRESENT"
"gbif3",-122.372253,37.8114,"","PRESENT"
"gbif4",-118.404945,33.867175,"","PRESENT"
"gbif5",-123.350253,48.404064,"","PRESENT"
"gbif6",-117.131128,32.557925,"","PRESENT"
"gbif7",-122.245439,37.557142,"","PRESENT"
"gbif8",-122.373162,37.738513,"","PRESENT"
"gbif9",-122.366713,37.812425,"","PRESENT"
"gbif10",-122.126518,37.500251,"","PRESENT"
"gbif11",-122.462696,38.0034,"","PRESENT"
"gbif12",-122.372283,37.811333,"","PRESENT"
"gbif13",-118.93328,34.044491,"","PRESENT"
"gbif14",-122.454284,37.805452,"","PRESENT"
"gbif15",-118.861082,34.034981,"","PRESENT"
"gbif16",-118.861189,34.03475,"","PRESENT"
"gbif17",-118.406045,33.869542,"","PRESENT"
"gbif18",-117.130283,32.556703,"","PRESENT"
"gbif19",-122.669128,37.907897,"","PRESENT"
"gbif20",-123.9368,49.1712,"","PRESENT"
"gbif21",-127.72,50.2975,"","PRESENT"
"gbif22",-123.659,48.3902,"","PRESENT"
"gbif23",-127.72,50.2975,"","PRESENT"
"gbif24",-127.72,50.2975,"","PRESENT"
"gbif25",-127.72,50.2975,"","PRESENT"
"gbif26",-127.72,50.2975,"","PRESENT"
"gbif27",-127.72,50.2975,"","PRESENT"
"gbif28",-127.72,50.2975,"","PRESENT"
"gbif29",-127.72,50.2975,"","PRESENT"
"gbif30",-127.72,50.2975,"","PRESENT"
"gbif31",-127.72,50.2975,"","PRESENT"
"gbif32",-123.4162,48.4507,"","PRESENT"
"gbif33",-127.72,50.2975,"","PRESENT"
"gbif34",-127.72,50.2975,"","PRESENT"
"gbif35",-127.72,50.2975,"","PRESENT"
"gbif36",-123.9226,49.8367,"","PRESENT"
"gbif37",-123.8073,48.9929,"","PRESENT"
"gbif38",-127.72,50.2975,"","PRESENT"
"gbif39",-127.72,50.2975,"","PRESENT"
"gbif40",-127.72,50.2975,"","PRESENT"
"gbif41",-123.8073,48.9929,"","PRESENT"
"gbif42",-123.4162,48.4507,"","PRESENT"
"gbif43",-127.72,50.2975,"","PRESENT"
"gbif44",-127.72,50.2975,"","PRESENT"
"gbif45",-127.72,50.2975,"","PRESENT"
"gbif46",-126.033,49.4527,"","PRESENT"
"gbif47",-127.027,49.9201,"","PRESENT"
"gbif48",-123.659,48.3902,"","PRESENT"
"gbif49",-123.9368,49.1712,"","PRESENT"
"gbif50",-127.72,50.2975,"","PRESENT"
"gbif51",-125.3183,48.9134,"","PRESENT"
"gbif52",-125.3248,49.032,"","PRESENT"
"gbif53",-123.659,48.3902,"","PRESENT"
"gbif54",-127.72,50.2975,"","PRESENT"
"gbif55",-126.2918,49.448,"","PRESENT"
"gbif56",-127.72,50.2975,"","PRESENT"
"gbif57",-127.72,50.2975,"","PRESENT"
"gbif58",-127.72,50.2975,"","PRESENT"
"gbif59",-127.72,50.2975,"","PRESENT"
"gbif60",-127.72,50.2975,"","PRESENT"
"gbif61",-127.72,50.2975,"","PRESENT"
"gbif62",-127.72,50.2975,"","PRESENT"
"gbif63",-127.72,50.2975,"","PRESENT"
"gbif64",-127.72,50.2975,"","PRESENT"
"gbif65",-125.3248,49.032,"","PRESENT"
"gbif66",-127.72,50.2975,"","PRESENT"
"gbif67",-123.8073,48.9929,"","PRESENT"
"gbif68",-127.72,50.2975,"","PRESENT"
"gbif69",-127.72,50.2975,"","PRESENT"
"gbif70",-127.72,50.2975,"","PRESENT"
"gbif71",-127.72,50.2975,"","PRESENT"
"gbif72",-127.72,50.2975,"","PRESENT"
"gbif73",-127.72,50.2975,"","PRESENT"
"gbif74",-127.72,50.2975,"","PRESENT"
"gbif75",-127.72,50.2975,"","PRESENT"
"gbif76",-127.72,50.2975,"","PRESENT"
"gbif77",-127.72,50.2975,"","PRESENT"
"gbif78",-127.72,50.2975,"","PRESENT"
"gbif79",-127.72,50.2975,"","PRESENT"
"gbif80",-127.72,50.2975,"","PRESENT"
"gbif81",-127.72,50.2975,"","PRESENT"
"gbif82",-127.72,50.2975,"","PRESENT"
"gbif83",-127.72,50.2975,"","PRESENT"
"gbif84",-123.9226,49.8367,"","PRESENT"
"gbif85",-127.72,50.2975,"","PRESENT"
"gbif86",-127.72,50.2975,"","PRESENT"
"gbif87",-127.72,50.2975,"","PRESENT"
"gbif88",-127.72,50.2975,"","PRESENT"
"gbif89",-125.3248,49.032,"","PRESENT"
"gbif90",-127.72,50.2975,"","PRESENT"
"gbif91",-127.72,50.2975,"","PRESENT"
"gbif92",-127.72,50.2975,"","PRESENT"
"gbif93",-127.72,50.2975,"","PRESENT"
"gbif94",-127.72,50.2975,"","PRESENT"
"gbif95",-127.72,50.2975,"","PRESENT"
"gbif96",-127.72,50.2975,"","PRESENT"
"gbif97",-127.72,50.2975,"","PRESENT"
"gbif98",-127.72,50.2975,"","PRESENT"
"gbif99",-123.9226,49.8367,"","PRESENT"
"gbif100",-125.3248,49.032,"","PRESENT"
"gbif101",-127.027,49.9201,"","PRESENT"
"gbif102",-123.9368,49.1712,"","PRESENT"
"gbif103",-125.3248,49.032,"","PRESENT"
"gbif104",-123.659,48.3902,"","PRESENT"
"gbif105",-126.2918,49.448,"","PRESENT"
"gbif106",-125.3145,49.0159,"","PRESENT"
"gbif107",-125.3183,48.9134,"","PRESENT"
"gbif108",-127.72,50.2975,"","PRESENT"
"gbif109",-123.4162,48.4507,"","PRESENT"
"gbif110",-125.3248,49.032,"","PRESENT"
"gbif111",-125.3248,49.032,"","PRESENT"
"gbif112",-125.3248,49.032,"","PRESENT"
"gbif113",-127.1017,50.0227,"","PRESENT"
"gbif114",-125.3248,49.032,"","PRESENT"
"gbif115",-127.1017,50.0227,"","PRESENT"
"gbif116",-127.1017,50.0227,"","PRESENT"
"gbif117",-125.3248,49.032,"","PRESENT"
"gbif118",-125.3248,49.032,"","PRESENT"
"gbif119",-127.72,50.2975,"","PRESENT"
"gbif120",-127.72,50.2975,"","PRESENT"
"gbif121",-123.4162,48.4507,"","PRESENT"
"gbif122",-125.3248,49.032,"","PRESENT"
"gbif123",-125.3248,49.032,"","PRESENT"
"gbif124",-123.9226,49.8367,"","PRESENT"
"gbif125",-125.3248,49.032,"","PRESENT"
"gbif126",-123.4162,48.4507,"","PRESENT"
"gbif127",-123.4162,48.4507,"","PRESENT"
"gbif128",-123.9368,49.1712,"","PRESENT"
"gbif129",-123.4162,48.4507,"","PRESENT"
"gbif130",-123.4162,48.4507,"","PRESENT"
"gbif131",-125.3248,49.032,"","PRESENT"
"gbif132",-125.3248,49.032,"","PRESENT"
"gbif133",-125.3248,49.032,"","PRESENT"
"gbif134",-123.9368,49.1712,"","PRESENT"
"gbif135",-127.1017,50.0227,"","PRESENT"
"gbif136",-125.3248,49.032,"","PRESENT"
"gbif137",-125.3248,49.032,"","PRESENT"
"gbif138",-127.72,50.2975,"","PRESENT"
"gbif139",-125.3248,49.032,"","PRESENT"
"gbif140",-125.3145,49.0159,"","PRESENT"
"gbif141",-125.3248,49.032,"","PRESENT"
"gbif142",-123.659,48.3902,"","PRESENT"
"gbif143",-123.9226,49.8367,"","PRESENT"
"gbif144",-123.9368,49.1712,"","PRESENT"
"gbif145",-125.3248,49.032,"","PRESENT"
"gbif146",-123.8073,48.9929,"","PRESENT"
"gbif147",-127.027,49.9201,"","PRESENT"
"gbif148",-123.9368,49.1712,"","PRESENT"
"gbif149",-125.3248,49.032,"","PRESENT"
"gbif150",-125.3248,49.032,"","PRESENT"
"gbif151",-125.3183,48.9134,"","PRESENT"
"gbif152",-125.3248,49.032,"","PRESENT"
"gbif153",-125.3248,49.032,"","PRESENT"
"gbif154",-125.3248,49.032,"","PRESENT"
"gbif155",-125.3248,49.032,"","PRESENT"
"gbif156",-125.3248,49.032,"","PRESENT"
"gbif157",-125.3248,49.032,"","PRESENT"
"gbif158",-125.3248,49.032,"","PRESENT"
"gbif159",-125.3248,49.032,"","PRESENT"
"gbif160",-125.3248,49.032,"","PRESENT"
"gbif161",-125.3248,49.032,"","PRESENT"
"gbif162",-125.3248,49.032,"","PRESENT"
"gbif163",-125.3248,49.032,"","PRESENT"
"gbif164",-125.3248,49.032,"","PRESENT"
"gbif165",-125.3248,49.032,"","PRESENT"
"gbif166",-125.3248,49.032,"","PRESENT"
"gbif167",-124.0359,49.932,"","PRESENT"
"gbif168",-125.3248,49.032,"","PRESENT"
"gbif169",-125.3248,49.032,"","PRESENT"
"gbif170",-125.3248,49.032,"","PRESENT"
"gbif171",-125.3248,49.032,"","PRESENT"
"gbif172",-125.3248,49.032,"","PRESENT"
"gbif173",-125.3248,49.032,"","PRESENT"
"gbif174",-125.3248,49.032,"","PRESENT"
"gbif175",-125.3248,49.032,"","PRESENT"
"gbif176",-125.3248,49.032,"","PRESENT"
"gbif177",-125.3248,49.032,"","PRESENT"
